# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.356
metadata : {}


# id : NWRW1800000049.356.1.1
“김형준 검사, 모친 적금 깨 스폰서비 돌려막아”

“김형준	“/SS+김형준/NNP
검사,	검사/NNG+,/SP
모친	모친/NNG
적금	적금/NNG
깨	깨/VV+어/EC
스폰서비	스폰서비/NNG
돌려막아”	돌리/VV+어/EC+막/VV+아/EF+”/SS


# id : NWRW1800000049.356.2.1
檢, 감찰서 수사로 전환… 출국금지

檢,	檢/SH+,/SP
감찰서	감찰/NNG+서/JKB
수사로	수사/NNG+로/JKB
전환…	전환/NNG+…/SE
출국금지	출국/NNG+금지/NNG


# id : NWRW1800000049.356.3.1
‘스폰서, 수사 무마 청탁’ 의혹을 받고 있는 김형준 부장검사(46·사법연수원 25기)가 “그간의 스폰서 비용 1억 원을 반환하라”는 고교 동창 김희석 씨(46·구속)의 요구에 ‘분할 상환’을 조건으로 2일 2000만 원을 돌려준 것으로 9일 드러났다.

‘스폰서,	‘/SS+스폰서/NNG+,/SP
수사	수사/NNG
무마	무마/NNG
청탁’	청탁/NNG+’/SS
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
김형준	김형준/NNP
부장검사(46·사법연수원	부장/NNG+검사/NNG+(/SS+46/SN+·/SP+사법/NNG+연수원/NNG
25기)가	25/SN+기/NNG+)/SS+가/JKS
“그간의	“/SS+그/NP+간/XSN+의/JKG
스폰서	스폰서/NNG
비용	비용/NNG
1억	1/SN+억/NR
원을	원/NNB+을/JKO
반환하라”는	반환/NNG+하/XSV+라/EF+”/SS+는/ETM
고교	고교/NNG
동창	동창/NNG
김희석	김희석/NNP
씨(46·구속)의	씨/NNB+(/SS+46/SN+·/SP+구속/NNG+)/SS+의/JKG
요구에	요구/NNG+에/JKB
‘분할	‘/SS+분할/NNG
상환’을	상환/NNG+’/SS+을/JKO
조건으로	조건/NNG+으로/JKB
2일	2/SN+일/NNB
2000만	2000/SN+만/NR
돌려준	돌려주/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
9일	9/SN+일/NNB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.356.3.2
김 부장검사 측은 자신의 비위에 대해 이미 언론사에 제보가 들어간 사실을 알고 “보름간 보도가 나지 않으면 추가로 금품을 주겠다”고 설득했으나 물밑협상은 끝내 결렬된 것으로 알려졌다.

김	김/NNP
부장검사	부장/NNG+검사/NNG
측은	측/NNB+은/JX
자신의	자신/NNG+의/JKG
비위에	비위/NNG+에/JKB
대해	대하/VV+아/EC
이미	이미/MAG
언론사에	언론사/NNG+에/JKB
제보가	제보/NNG+가/JKS
들어간	들어가/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
“보름간	“/SS+보름/NNG+간/XSN
보도가	보도/NNG+가/JKS
나지	나/VV+지/EC
않으면	않/VX+으면/EC
추가로	추가/NNG+로/JKB
금품을	금품/NNG+을/JKO
주겠다”고	주/VV+겠/EP+다/EF+”/SS+고/JKQ
설득했으나	설득/NNG+하/XSV+았/EP+으나/EC
물밑협상은	물밑/NNG+협상/NNG+은/JX
끝내	끝내/MAG
결렬된	결렬/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.356.4.1
김 부장검사는 김 씨와 가깝게 어울릴 때도 금융 거래 기록을 남기지 않으려 노력했다.

김	김/NNP
부장검사는	부장/NNG+검사/NNG+는/JX
씨와	씨/NNB+와/JKB
가깝게	가깝/VA+게/EC
어울릴	어울리/VV+ㄹ/ETM
때도	때/NNG+도/JX
금융	금융/NNG
거래	거래/NNG
기록을	기록/NNG+을/JKO
남기지	남기/VV+지/EC
않으려	않/VX+으려/EC
노력했다.	노력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.356.4.2
김 부장검사는 3월 7일 친구 박모 변호사로부터 1000만 원을 빌린 뒤 다음 날 김 씨가 박 변호사의 처 계좌로 1000만 원을 입금케 했다.

김	김/NNP
부장검사는	부장/NNG+검사/NNG+는/JX
3월	3/SN+월/NNB
7일	7/SN+일/NNB
친구	친구/NNG
박모	박/NNP+모/NP
변호사로부터	변호사/NNG+로부터/JKB
1000만	1000/SN+만/NR
원을	원/NNB+을/JKO
빌린	빌리/VV+ㄴ/ETM
뒤	뒤/NNG
다음	다음/NNG
날	날/NNG
씨가	씨/NNB+가/JKS
박	박/NNP
변호사의	변호사/NNG+의/JKG
처	처/NNG
계좌로	계좌/NNG+로/JKB
입금케	입금/NNG+하/XSV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.356.4.3
김 부장검사가 김 씨의 돈을 빌린 것이지만 외관상으로는 김 씨와 박 변호사 간의 거래처럼 보이게 한 것이다.

김	김/NNP
부장검사가	부장/NNG+검사/NNG+가/JKS
씨의	씨/NNB+의/JKG
돈을	돈/NNG+을/JKO
빌린	빌리/VV+ㄴ/ETM
것이지만	것/NNB+이/VCP+지만/EC
외관상으로는	외관/NNG+상/XSN+으로/JKB+는/JX
씨와	씨/NNB+와/JC
박	박/NNP
변호사	변호사/NNG
간의	간/NNB+의/JKG
거래처럼	거래/NNG+처럼/JKB
보이게	보이/VV+게/EC
한	하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.356.4.4
이와 별도로 김 씨 자금 500만 원은 2월 3일 김 부장검사의 내연녀 계좌로 입금됐다.

이와	이/NP+와/JKB
