# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.384
metadata : {}


# id : NWRW1800000052.384.1.1
“진경준 들었다”vs“말한 적 없다”…검찰의 선택은?

“진경준	“/SS+진경준/NNP
들었다”vs“말한	들/VV+었/EP+다/EF+”/SS+vs/SL+“/SS+말/NNG+하/XSV+ㄴ/ETM
적	적/NNB
없다”…검찰의	없/VA+다/EF+”/SS+…/SE+검찰/NNG+의/JKG
선택은?	선택/NNG+은/JX+?/SF


# id : NWRW1800000052.384.2.1
[한겨레] 우병우 땅거래 진경준 개입여부

[한겨레]	[/SS+한겨레/NNP+]/SS
우병우	우병우/NNP
땅거래	땅/NNG+거래/NNG
진경준	진경준/NNP
개입여부	개입/NNG+여부/NNG


# id : NWRW1800000052.384.3.1
대질 부동산업자 둘 진술 엇갈려

대질	대질/NNG
부동산업자	부동산업자/NNG
둘	둘/NR
진술	진술/NNG
엇갈려	엇갈리/VV+어/EF


# id : NWRW1800000052.384.4.1
검찰, 관련자들 더 소환조사 검토

검찰,	검찰/NNG+,/SP
관련자들	관련자/NNG+들/XSN
더	더/MAG
소환조사	소환/NNG+조사/NNG
검토	검토/NNG


# id : NWRW1800000052.384.5.1
우병우 청와대 민정수석 처가의 ‘강남땅’ 거래에 진경준 전 검사장의 개입 여부를 놓고 서로 상반된 진술을 하는 부동산 중개업자 2명이 검찰에서 대질 신문을 했으나 양쪽 주장이 팽팽하게 맞선 채 별 소득없이 끝난 것으로 알려졌다.

우병우	우병우/NNP
청와대	청와대/NNP
민정수석	민정/NNG+수석/NNG
처가의	처가/NNG+의/JKG
‘강남땅’	‘/SS+강남땅/NNG+’/SS
거래에	거래/NNG+에/JKB
진경준	진경준/NNP
전	전/MMD
검사장의	검사장/NNG+의/JKG
개입	개입/NNG
여부를	여부/NNG+를/JKO
놓고	놓/VV+고/EC
서로	서로/MAG
상반된	상반/NNG+되/XSV+ㄴ/ETM
진술을	진술/NNG+을/JKO
하는	하/VV+는/ETM
부동산	부동산/NNG
중개업자	중개업자/NNG
2명이	2/SN+명/NNB+이/JKS
검찰에서	검찰/NNG+에서/JKB
대질	대질/NNG
신문을	신문/NNG+을/JKO
했으나	하/VV+았/EP+으나/EC
양쪽	양쪽/NNG
주장이	주장/NNG+이/JKS
팽팽하게	팽팽하/VA+게/EC
맞선	맞서/VV+ㄴ/ETM
채	채/NNB
별	별/MMA
소득없이	소득/NNG+없이/MAG
끝난	끝나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.384.5.2
검찰은 ‘진 전 검사장이 개입했다’는 진술의 신빙성을 확인하기 위해 관련자를 더 조사할 방침이다.

검찰은	검찰/NNG+은/JX
‘진	‘/SS+진/NNP
전	전/MMD
검사장이	검사장/NNG+이/JKS
개입했다’는	개입/NNG+하/XSV+았/EP+다/EF+’/SS+는/ETM
진술의	진술/NNG+의/JKG
신빙성을	신빙/NNG+성/XSN+을/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
관련자를	관련자/NNG+를/JKO
더	더/MAG
조사할	조사/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.384.6.1
검찰 특별수사팀(팀장 윤갑근 고검장)은 7일 “이날 새벽까지 두 사람에 대한 대질신문을 벌였다.

검찰	검찰/NNG
특별수사팀(팀장	특별/NNG+수사/NNG+팀/NNG+(/SS+팀장/NNG
윤갑근	윤갑근/NNP
고검장)은	고검장/NNG+)/SS+은/JX
7일	7/SN+일/NNB
“이날	“/SS+이날/NNG
새벽까지	새벽/NNG+까지/JX
두	두/MMN
사람에	사람/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대질신문을	대질/NNG+신문/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.384.6.2
다른 관련자를 더 조사할지 검토하고 있다”고 밝혔다.

다른	다른/MMD
관련자를	관련자/NNG+를/JKO
더	더/MAG
조사할지	조사/NNG+하/XSV+ㄹ지/EF
검토하고	검토/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.384.6.3
검찰은 지난 30일 우 수석 처가가 강남땅을 넥슨에 판 것은 “자연스러운 거래”라며 우 수석과 넥슨 간의 뇌물성 땅거래 의혹에 대해 사실상 무혐의 판단을 내렸음을 시사했다.

