# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.101
metadata : {}


# id : NWRW1800000038.101.1.1
[화제人] 대한남자간호사회 초대회장 된 서울대 어린이병원 수간호사 김장언씨

[화제人]	[/SS+화제/NNG+人/SH+]/SS
대한남자간호사회	대한남자간호사회/NNP
초대회장	초대/NNG+회장/NNG
된	되/VV+ㄴ/ETM
서울대	서울대/NNP
어린이병원	어린이/NNG+병원/NNG
수간호사	수간호사/NNG
김장언씨	김장언/NNP+씨/NNB


# id : NWRW1800000038.101.2.1
"女性천하서 30년… 처음엔 수술실서 쫓겨나기도"

"女性천하서	"/SS+女性/SH+천하/NNG+서/JKB
30년…	30/SN+년/NNB+…/SE
처음엔	처음/NNG+에/JKB+ㄴ/JX
수술실서	수술실/NNG+서/JKB
쫓겨나기도"	쫓겨나/VV+기/ETN+도/JX+"/SS


# id : NWRW1800000038.101.3.1
"처음 수술실에 들어갔는데, 수술을 집도하는 교수가 '자네 왜 이 수술실에 들어오나, 썩 나가게'라고 호통을 쳤어요.

"처음	"/SS+처음/NNG
수술실에	수술실/NNG+에/JKB
들어갔는데,	들어가/VV+았/EP+는데/EC+,/SP
수술을	수술/NNG+을/JKO
집도하는	집도/NNG+하/XSV+는/ETM
교수가	교수/NNG+가/JKS
'자네	'/SS+자네/NP
왜	왜/MAG
이	이/MMD
들어오나,	들어오/VV+나/EF+,/SP
썩	썩/MAG
나가게'라고	나가/VV+게/EF+'/SS+라고/JKQ
호통을	호통/NNG+을/JKO
쳤어요.	치/VV+었/EP+어요/EF+./SF


# id : NWRW1800000038.101.3.2
남자 간호사라니까 다짜고짜 싫다고 하시더라고요."

남자	남자/NNG
간호사라니까	간호사/NNG+이/VCP+라니까/EC
다짜고짜	다짜고짜/MAG
싫다고	싫/VA+다고/EC
하시더라고요."	하/VV+시/EP+더라고/EF+요/JX+./SF+"/SS


# id : NWRW1800000038.101.4.1
'간호사=여자'라는 고정관념을 깨고 이제 우리나라엔 남자 간호사가 6200명이 넘는다.

'간호사=여자'라는	'/SS+간호사/NNG+=/SW+여자/NNG+'/SS+이/VCP+라는/ETM
고정관념을	고정/NNG+관념/NNG+을/JKO
깨고	깨/VV+고/EC
이제	이제/MAG
우리나라엔	우리나라/NNG+에/JKB+ㄴ/JX
남자	남자/NNG
간호사가	간호사/NNG+가/JKS
6200명이	6200/SN+명/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000038.101.4.2
20일 국내 처음으로 대한남자간호사회가 발족했다.

20일	20/SN+일/NNB
국내	국내/NNG
처음으로	처음/NNG+으로/JKB
대한남자간호사회가	대한남자간호사회/NNP+가/JKS
발족했다.	발족/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.101.4.3
초대 회장은 '서울대병원 최초의 남자 간호사'인 김장언(54)씨.

초대	초대/NNG
회장은	회장/NNG+은/JX
'서울대병원	'/SS+서울대병원/NNP
최초의	최초/NNG+의/JKG
남자	남자/NNG
간호사'인	간호사/NNG+'/SS+이/VCP+ㄴ/ETM
김장언(54)씨.	김장언/NNP+(/SS+54/SN+)/SS+씨/NNB+./SF


# id : NWRW1800000038.101.4.4
1984년 간호사가 되어 그동안 8000건이 넘는 수술을 보조한 30년차 베테랑이며, 현재 서울대 어린이병원 수술실의 수간호사다.

1984년	1984/SN+년/NNB
간호사가	간호사/NNG+가/JKC
되어	되/VV+어/EC
그동안	그동안/NNG
8000건이	8000/SN+건/NNB+이/JKS
넘는	넘/VV+는/ETM
수술을	수술/NNG+을/JKO
보조한	보조/NNG+하/XSV+ㄴ/ETM
30년차	30/SN+년/NNB+차/NNB
베테랑이며,	베테랑/NNG+이/VCP+며/EC+,/SP
현재	현재/MAG
서울대	서울대/NNP
어린이병원	어린이/NNG+병원/NNG
수술실의	수술실/NNG+의/JKG
수간호사다.	수간호사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.101.5.1
