# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.27
metadata : {}


# id : NWRW1800000036.27.1.1
갤럭시S3 예약 ‘불티’

갤럭시S3	갤럭시S3/NNP
예약	예약/NNG
‘불티’	‘/SS+불티/NNG+’/SS


# id : NWRW1800000036.27.2.1
[한겨레] 삼성전자가 내놓은 최신형 스마트폰 ‘갤럭시에스(S)3’ 예약 판매에 소비자들의 반응이 뜨겁다.

[한겨레]	[/SS+한겨레/NNP+]/SS
삼성전자가	삼성전자/NNP+가/JKS
내놓은	내놓/VV+은/ETM
최신형	최신/NNG+형/XSN
스마트폰	스마트폰/NNG
‘갤럭시에스(S)3’	‘/SS+갤럭시에스/NNP+(/SS+S/SL+)/SS+3/SN+’/SS
예약	예약/NNG
판매에	판매/NNG+에/JKB
소비자들의	소비자/NNG+들/XSN+의/JKG
반응이	반응/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000036.27.2.2
지난해 출시된 ‘갤럭시에스2’를 능가하는 돌풍 조짐을 보이고 있다.

지난해	지난해/NNG
출시된	출시/NNG+되/XSV+ㄴ/ETM
‘갤럭시에스2’를	‘/SS+갤럭시에스2/NNP+’/SS+를/JKO
능가하는	능가/NNG+하/XSV+는/ETM
돌풍	돌풍/NNG
조짐을	조짐/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.27.3.1
에스케이텔레콤(SKT)은 12일 “오전 10시부터 시작된 갤럭시에스3 예약 판매에서 3세대(G) 모델 한정 수량 5000대가 2시간30분만에 모두 동났다”고 밝혔다.

에스케이텔레콤(SKT)은	에스케이텔레콤/NNP+(/SS+SKT/SL+)/SS+은/JX
12일	12/SN+일/NNB
“오전	“/SS+오전/NNG
10시부터	10/SN+시/NNB+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
갤럭시에스3	갤럭시에스3/NNP
예약	예약/NNG
판매에서	판매/NNG+에서/JKB
3세대(G)	3/SN+세대/NNG+(/SS+G/SL+)/SS
모델	모델/NNG
한정	한정/NNG
수량	수량/NNG
5000대가	5000/SN+대/NNB+가/JKS
2시간30분만에	2/SN+시간/NNB+30/SN+분/NNB+만/NNB+에/JKB
모두	모두/MAG
동났다”고	동나/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.27.3.2
회사 쪽은 “4세대(G) 망인 엘티이(LTE) 모델은 시간당 9000대 수준으로 예약가입이 이뤄졌고, 예약가입 서버에 10분당 20만명이 방문했다”며 “예약가입 첫날 5만대가 나간 갤럭시에스2를 뛰어넘는 수준의 반응”이라고 설명했다.

회사	회사/NNG
쪽은	쪽/NNB+은/JX
“4세대(G)	“/SS+4/SN+세대/NNG+(/SS+G/SL+)/SS
망인	망/NNG+이/VCP+ㄴ/ETM
엘티이(LTE)	엘티이/NNG+(/SS+LTE/SL+)/SS
모델은	모델/NNG+은/JX
시간당	시간/NNG+당/XSN
9000대	9000/SN+대/NNB
수준으로	수준/NNG+으로/JKB
예약가입이	예약/NNG+가입/NNG+이/JKS
이뤄졌고,	이뤄지/VV+었/EP+고/EC+,/SP
예약가입	예약/NNG+가입/NNG
서버에	서버/NNG+에/JKB
10분당	10/SN+분/NNB+당/XSN
20만명이	20/SN+만/NR+명/NNB+이/JKS
방문했다”며	방문/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“예약가입	“/SS+예약/NNG+가입/NNG
첫날	첫날/NNG
5만대가	5/SN+만/NR+대/NNB+가/JKS
나간	나가/VV+ㄴ/ETM
갤럭시에스2를	갤럭시에스2/NNP+를/JKO
뛰어넘는	뛰어넘/VV+는/ETM
수준의	수준/NNG+의/JKG
반응”이라고	반응/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.27.3.3
지난해 4월 출시된 갤럭시에스2는 국내에서 가장 인기있는 스마트폰이다.

지난해	지난해/NNG
4월	4/SN+월/NNB
출시된	출시/NNG+되/XSV+ㄴ/ETM
갤럭시에스2는	갤럭시에스2/NNP+는/JX
국내에서	국내/NNG+에서/JKB
가장	가장/MAG
인기있는	인기/NNG+있/VV+는/ETM
스마트폰이다.	스마트폰/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.27.4.1
이날 오전 9시부터 예약가입을 받기 시작한 케이티(KT)도 갤럭시에스3 구입자가 개시 2시간 만인 11시에 1만명을 돌파했다고 밝혔다.

이날	이날/NNG
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
예약가입을	예약/NNG+가입/NNG+을/JKO
받기	받/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
케이티(KT)도	케이티/NNP+(/SS+KT/SL+)/SS+도/JX
갤럭시에스3	갤럭시에스3/NNP
구입자가	구입자/NNG+가/JKS
개시	개시/NNG
2시간	2/SN+시간/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
11시에	11/SN+시/NNB+에/JKB
1만명을	1/SN+만/NR+명/NNB+을/JKO
돌파했다고	돌파/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.27.4.2
전체 가입자 가운데 60%가 타사 번호이동 등 신규고객이며, 10% 가량은 스마트폰으로 예약 가입을 신청했다고 회사 쪽은 설명했다.

전체	전체/NNG
가입자	가입자/NNG
가운데	가운데/NNG
60%가	60/SN+%/SW+가/JKS
타사	타사/NNG
번호이동	번호/NNG+이동/NNG
등	등/NNB
신규고객이며,	신규/NNG+고객/NNG+이/VCP+며/EC+,/SP
10%	10/SN+%/SW
가량은	가량/XSN+은/JX
스마트폰으로	스마트폰/NNG+으로/JKB
예약	예약/NNG
가입을	가입/NNG+을/JKO
신청했다고	신청/NNG+하/XSV+았/EP+다고/EC
회사	회사/NNG
쪽은	쪽/NNB+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.27.5.1
예약가입 열기는 뜨겁지만, 실제 사용까지는 시일이 걸릴 전망이다.

예약가입	예약/NNG+가입/NNG
열기는	열기/NNG+는/JX
뜨겁지만,	뜨겁/VA+지만/EC+,/SP
실제	실제/NNG
사용까지는	사용/NNG+까지/JX+는/JX
시일이	시일/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.27.5.2
에스케이텔레콤에서만 취급하는 갤럭시에스3 3세대 모델은 이 달 중순께부터 사용할 수 있지만, 이동통신 3사 모두에서 취급하는 엘티이 모델은 다음달 중으로 소비자에게 건네질 예정이다.

에스케이텔레콤에서만	에스케이텔레콤/NNP+에서/JKB+만/JX
취급하는	취급/NNG+하/XSV+는/ETM
갤럭시에스3	갤럭시에스3/NNP
3세대	3/SN+세대/NNG
모델은	모델/NNG+은/JX
이	이/MMD
달	달/NNG
중순께부터	중순/NNG+께/XSN+부터/JX
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있지만,	있/VA+지만/EC+,/SP
이동통신	이동/NNG+통신/NNG
3사	3/SN+사/NNG
모두에서	모두/NNG+에서/JKB
엘티이	엘티이/NNG
다음달	다음/NNG+달/NNG
중으로	중/NNB+으로/JKB
소비자에게	소비자/NNG+에게/JKB
건네질	건네/VV+어/EC+지/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.27.5.3
이동통신 3사 가운데 유일하게 예약가입을 받지 않고 있는 엘지유플러스(LGU+) 쪽은 “어차피 실제 보급까지는 시일이 한참 남아있어 서둘러 예약가입을 받을 필요를 느끼지 못하고 있다”고 밝혔다.

이동통신	이동/NNG+통신/NNG
3사	3/SN+사/NNG
가운데	가운데/NNG
유일하게	유일/NNG+하/XSA+게/EC
예약가입을	예약/NNG+가입/NNG+을/JKO
받지	받/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
엘지유플러스(LGU+)	엘지유플러스/NNP+(/SS+LGU/SL++/SW+)/SS
쪽은	쪽/NNB+은/JX
“어차피	“/SS+어차피/MAG
실제	실제/NNG
보급까지는	보급/NNG+까지/JX+는/JX
시일이	시일/NNG+이/JKS
한참	한참/MAG
남아있어	남/VV+아/EC+있/VX+어/EC
서둘러	서두르/VV+어/EC
받을	받/VV+을/ETM
필요를	필요/NNG+를/JKO
느끼지	느끼/VV+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


