# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.158
metadata : {}


# id : NWRW1800000038.158.1.1
천안서 여성 납치해 4일간 감금·성폭행… 경찰과 엽총 총격전까지

천안서	천안/NNP+서/JKB
여성	여성/NNG
납치해	납치/NNG+하/XSV+아/EC
4일간	4/SN+일/NNB+간/XSN
감금·성폭행…	감금/NNG+·/SP+성폭행/NNG+…/SE
경찰과	경찰/NNG+과/JC
엽총	엽총/NNG
총격전까지	총격전/NNG+까지/JX


# id : NWRW1800000038.158.2.1
경찰도 실탄 9발 발사… 전기충격기 사용해 붙잡아

경찰도	경찰/NNG+도/JX
실탄	실탄/NNG
9발	9/SN+발/NNB
발사…	발사/NNG+…/SE
전기충격기	전기/NNG+충격기/NNG
사용해	사용/NNG+하/XSV+아/EC
붙잡아	붙잡/VV+아/EC


# id : NWRW1800000038.158.3.1
24일 충남 천안시내 한복판에서 여성 납치범이 경찰에 엽총을 쏘며 총격전을 벌이다 검거됐다.

24일	24/SN+일/NNB
충남	충남/NNP
천안시내	천안/NNP+시내/NNG
한복판에서	한/XPN+복판/NNG+에서/JKB
여성	여성/NNG
납치범이	납치범/NNG+이/JKS
경찰에	경찰/NNG+에/JKB
엽총을	엽총/NNG+을/JKO
쏘며	쏘/VV+며/EC
총격전을	총격전/NNG+을/JKO
벌이다	벌이/VV+다/EC
검거됐다.	검거/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.158.4.1
충남 천안서북경찰서는 20대 여성을 납치해 감금·성폭행하고 추격하는 경찰에 엽총을 쏘며 저항한 혐의로 조모(46)씨에 대해 구속영장을 신청할 예정이라고 이날 밝혔다.

충남	충남/NNP
천안서북경찰서는	천안서북경찰서/NNP+는/JX
20대	20/SN+대/NNB
여성을	여성/NNG+을/JKO
납치해	납치/NNG+하/XSV+아/EC
감금·성폭행하고	감금/NNG+·/SP+성폭행/NNG+하/XSV+고/EC
추격하는	추격/NNG+하/XSV+는/ETM
경찰에	경찰/NNG+에/JKB
엽총을	엽총/NNG+을/JKO
쏘며	쏘/VV+며/EC
저항한	저항/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
조모(46)씨에	조/NNP+모/NP+(/SS+46/SN+)/SS+씨/NNB+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
신청할	신청/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
이날	이날/NNG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.158.5.1
경찰에 따르면, 조씨는 지난 18일 0시 26분쯤 천안시 서북구 성정동에서 최모(여·23)씨에게 "회 먹으러 태안에 놀러가자"고 꾀어 자신의 승용차에 태워 감금한 후 성폭행하고, "경찰에 신고하면 총으로 너와 가족들을 모두 죽이겠다"고 협박했다.

경찰에	경찰/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
조씨는	조/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
0시	0/SN+시/NNB
26분쯤	26/SN+분/NNB+쯤/XSN
천안시	천안시/NNP
서북구	서북구/NNP
성정동에서	성정동/NNP+에서/JKB
최모(여·23)씨에게	최/NNP+모/NP+(/SS+여/NNG+·/SP+23/SN+)/SS+씨/NNB+에게/JKB
"회	"/SS+회/NNG
먹으러	먹/VV+으러/EC
태안에	태안/NNP+에/JKB
놀러가자"고	놀/VV+러/EC+가/VV+자/EF+"/SS+고/JKQ
꾀어	꾀/VV+어/EC
