# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.217
metadata : {}


# id : NWRW1800000030.217.1.1
여름 사나이 송승준, KIA도 스톱

여름	여름/NNG
사나이	사나이/NNG
송승준,	송승준/NNP+,/SP
KIA도	KIA/SL+도/JX
스톱	스톱/NNG


# id : NWRW1800000030.217.2.1
•롯데 타선 15안타 지원 사격… KIA 김선빈 41일 만에 복귀

•롯데	•/SW+롯데/NNP
타선	타선/NNG
15안타	15/SN+안타/NNG
지원	지원/NNG
사격…	사격/NNG+…/SE
KIA	KIA/SL
김선빈	김선빈/NNP
41일	41/SN+일/NNB
만에	만/NNB+에/JKB
복귀	복귀/NNG


# id : NWRW1800000030.217.3.1
롯데 송승준이 7경기 연속 QS(퀄리티 스타트) 피칭을 기록하며 팀의 승리를 이끌었다.

롯데	롯데/NNP
송승준이	송승준/NNP+이/JKS
7경기	7/SN+경기/NNG
연속	연속/NNG
QS(퀄리티	QS/SL+(/SS+퀄리티/NNG
스타트)	스타트/NNG+)/SS
피칭을	피칭/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
팀의	팀/NNG+의/JKG
승리를	승리/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.217.4.1
송승준은 16일 광주 KIA전에 선발 등판, 7이닝을 6안타 3볼넷 무실점으로 막아 팀의 7대2 완승을 이끌어 냈다.

송승준은	송승준/NNP+은/JX
16일	16/SN+일/NNB
광주	광주/NNP
KIA전에	KIA전/NNG+에/JKB
선발	선발/NNG
등판,	등판/NNG+,/SP
7이닝을	7/SN+이닝/NNG+을/JKO
6안타	6/SN+안타/NNG
3볼넷	3/SN+볼넷/NNG
무실점으로	무/XPN+실점/NNG+으로/JKB
막아	막/VV+아/EC
팀의	팀/NNG+의/JKG
7대2	7/SN+대/NNB+2/SN
완승을	완승/NNG+을/JKO
이끌어	이끌/VV+어/EC
냈다.	내/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.217.4.2
앞선 3차례 대결에서 자신에게 평균 자책점 8.80의 수모를 안긴 KIA 타선을 효과적으로 봉쇄했다.

앞선	앞서/VV+ㄴ/ETM
3차례	3/SN+차례/NNG
대결에서	대결/NNG+에서/JKB
자신에게	자신/NNG+에게/JKB
평균	평균/NNG
자책점	자책점/NNG
8.80의	8/SN+./SP+80/SN+의/JKG
수모를	수모/NNG+를/JKO
안긴	안기/VV+ㄴ/ETM
KIA	KIA/SL
타선을	타선/NNG+을/JKO
효과적으로	효과/NNG+적/XSN+으로/JKB
봉쇄했다.	봉쇄/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.217.4.3
4회 안치홍의 2루타, 나지완의 안타로 맞은 무사 1·3루, 2사 만루 위기를 삼진 2개로 정면 돌파했다.

4회	4/SN+회/NNB
안치홍의	안치홍/NNP+의/JKG
2루타,	2루타/NNG+,/SP
나지완의	나지완/NNP+의/JKG
안타로	안타/NNG+로/JKB
맞은	맞/VV+은/ETM
무사	무사/NNG
1·3루,	1/SN+·/SP+3루/NNG+,/SP
2사	2/SN+사/NNG
만루	만루/NNG
위기를	위기/NNG+를/JKO
삼진	삼진/NNG
2개로	2/SN+개/NNB+로/JKB
정면	정면/NNG
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.217.4.4
롯데 타선은 선발 박경태가 3회를 못 견딘 KIA 마운드를 장단 15안타로 맹폭했다.

롯데	롯데/NNP
타선은	타선/NNG+은/JX
선발	선발/NNG
박경태가	박경태/NNP+가/JKS
3회를	3/SN+회/NNB+를/JKO
못	못/MAG
견딘	견디/VV+ㄴ/ETM
KIA	KIA/SL
마운드를	마운드/NNG+를/JKO
장단	장단/NNG
15안타로	15/SN+안타/NNG+로/JKB
