# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.333
metadata : {}


# id : NWRW1800000033.333.1.1
이석기-김재연 사면초가… 여야는 “퇴출” 黨선 “제명”

이석기-김재연	이석기/NNP+-/SO+김재연/NNP
사면초가…	사면초가/NNG+…/SE
여야는	여야/NNG+는/JX
“퇴출”	“/SS+퇴출/NNG+”/SS
黨선	黨/SH+서/JKB+ㄴ/JX
“제명”	“/SS+제명/NNG+”/SS


# id : NWRW1800000033.333.2.1
새누리-민주, 자격심사안 조속처리 합의

새누리-민주,	새누리/NNP+-/SO+민주/NNP+,/SP
자격심사안	자격/NNG+심사/NNG+안/NNG
조속처리	조속/XR+처리/NNG
합의	합의/NNG


# id : NWRW1800000033.333.3.1
새누리당과 민주통합당이 29일 원구성에 합의하면서 총선 비례대표 부정 경선과 관련해 통합진보당 이석기, 김재연 의원에 대한 자격심사를 하기로 전격 합의했다.

새누리당과	새누리당/NNP+과/JC
민주통합당이	민주통합당/NNP+이/JKS
29일	29/SN+일/NNB
원구성에	원/NNG+구성/NNG+에/JKB
합의하면서	합의/NNG+하/XSV+면서/EC
총선	총선/NNG
비례대표	비례/NNG+대표/NNG
부정	부정/NNG
경선과	경선/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
통합진보당	통합진보당/NNP
이석기,	이석기/NNP+,/SP
김재연	김재연/NNP
의원에	의원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자격심사를	자격/NNG+심사/NNG+를/JKO
하기로	하/VV+기/ETN+로/JKB
전격	전격/NNG
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.333.4.1
새누리당 이한구, 민주당 박지원 원내대표는 이날 합의문에서 “이, 김 의원 자격심사안을 양 교섭단체별로 15인씩 공동으로 발의해 본회의에서 조속히 처리하기로 했다”고 밝혔다.

새누리당	새누리당/NNP
이한구,	이한구/NNP+,/SP
민주당	민주당/NNP
박지원	박지원/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
합의문에서	합의문/NNG+에서/JKB
“이,	“/SS+이/NNP+,/SP
김	김/NNP
의원	의원/NNG
자격심사안을	자격/NNG+심사/NNG+안/NNG+을/JKO
양	양/MMN
교섭단체별로	교섭/NNG+단체/NNG+별/XSN+로/JKB
15인씩	15/SN+인/NNG+씩/XSN
공동으로	공동/NNG+으로/JKB
발의해	발의/NNG+하/XSV+아/EC
본회의에서	본회의/NNG+에서/JKB
조속히	조속히/MAG
처리하기로	처리/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.333.4.2
본회의에서 재적의원 3분의 2(200명) 이상이 찬성하면 자격 상실을 의결할 수 있다.

본회의에서	본회의/NNG+에서/JKB
재적의원	재적/NNG+의원/NNG
3분의	3/SN+분/XSN+의/JKG
2(200명)	2/SN+(/SS+200/SN+명/NNB+)/SS
이상이	이상/NNG+이/JKS
찬성하면	찬성/NNG+하/XSV+면/EC
자격	자격/NNG
상실을	상실/NNG+을/JKO
의결할	의결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.333.4.3
두 당의 의석(새누리당 150석, 민주당 127석)으로는 공조만 이뤄지면 두 의원을 퇴출시키는 게 가능하다.

두	두/MMN
당의	당/NNG+의/JKG
의석(새누리당	의석/NNG+(/SS+새누리당/NNP
150석,	150/SN+석/NNB+,/SP
민주당	민주당/NNP
127석)으로는	127/SN+석/NNB+)/SS+으로/JKB+는/JX
공조만	공조/NNG+만/JX
이뤄지면	이뤄지/VV+면/EC
의원을	의원/NNG+을/JKO
퇴출시키는	퇴출/NNG+시키/XSV+는/ETM
게	거/NNB+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.333.5.1
여야는 또 중국 공안당국에 의해 현지에서 국가안전위해죄로 체포된 뒤 조사를 받고 있는 북한인권운동가 김영환 씨 일행의 석방촉구를 위한 결의안을 7월 임시국회에서 최우선 처리하기로 했다.

여야는	여야/NNG+는/JX
또	또/MAG
중국	중국/NNP
공안당국에	공안/NNG+당국/NNG+에/JKB
의해	의하/VV+아/EC
현지에서	현지/NNG+에서/JKB
국가안전위해죄로	국가/NNG+안전/NNG+위해죄/NNG+로/JKB
체포된	체포/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
조사를	조사/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
북한인권운동가	북한/NNP+인권/NNG+운동가/NNG
김영환	김영환/NNP
씨	씨/NNB
일행의	일행/NNG+의/JKG
