# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.308
metadata : {}


# id : NWRW1800000049.308.1.1
‘노후자금’ 국민연금을 청년 복지에?

‘노후자금’	‘/SS+노후/NNG+자금/NNG+’/SS
국민연금을	국민연금/NNG+을/JKO
청년	청년/NNG
복지에?	복지/NNG+에/JKB+?/SF


# id : NWRW1800000049.308.2.1
[총선 앞둔 3黨 복지공약 평가]야권 “기금 활용해 주택자금 지원”

[총선	[/SS+총선/NNG
앞둔	앞두/VV+ㄴ/ETM
3黨	3/SN+黨/SH
복지공약	복지/NNG+공약/NNG
평가]야권	평가/NNG+]/SS+야권/NNG
“기금	“/SS+기금/NNG
활용해	활용/NNG+하/XSV+아/EC
주택자금	주택/NNG+자금/NNG
지원”	지원/NNG+”/SS


# id : NWRW1800000049.308.3.1
“국민연금 기금으로 청년 주택을 짓자.” vs “국민 노후자금인데 건드리면 안 된다.”

“국민연금	“/SS+국민연금/NNG
기금으로	기금/NNG+으로/JKB
청년	청년/NNG
주택을	주택/NNG+을/JKO
짓자.”	짓/VV+자/EF+./SF+”/SS
vs	vs/SL
“국민	“/SS+국민/NNG
노후자금인데	노후/NNG+자금/NNG+이/VCP+ㄴ데/EC
건드리면	건드리/VV+면/EC
안	안/MAG
된다.”	되/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000049.308.4.1
4·13 총선 복지 논쟁의 핵으로 국민연금 기금을 사용하는 문제가 대두되고 있다.

4·13	4/SN+·/SP+13/SN
총선	총선/NNG
복지	복지/NNG
논쟁의	논쟁/NNG+의/JKG
핵으로	핵/NNG+으로/JKB
국민연금	국민연금/NNG
기금을	기금/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
문제가	문제/NNG+가/JKS
대두되고	대두/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.308.4.2
지난해 500조 원을 돌파한 적립기금을 청년 복지에 사용하자는 주장이 여기저기서 나오고 있기 때문이다.

지난해	지난해/NNG
500조	500/SN+조/NR
원을	원/NNB+을/JKO
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
적립기금을	적립/NNG+기금/NNG+을/JKO
청년	청년/NNG
복지에	복지/NNG+에/JKB
사용하자는	사용/NNG+하/XSV+자는/ETM
주장이	주장/NNG+이/JKS
여기저기서	여기저기/NNG+서/JKB
나오고	나오/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.308.5.1
국토교통부는 중산층 임대주택인 뉴스테이 건설에 국민연금 기금을 사용하는 안을 제안했으며, 더불어민주당은 청년 주택 정책의 재원으로 기금 활용 방안을 검토 중이다.

국토교통부는	국토/NNG+교통부/NNG+는/JX
중산층	중산/NNG+층/XSN
임대주택인	임대/NNG+주택/NNG+이/VCP+ㄴ/ETM
뉴스테이	뉴스테이/NNG
건설에	건설/NNG+에/JKB
국민연금	국민연금/NNG
기금을	기금/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
안을	안/NNG+을/JKO
제안했으며,	제안/NNG+하/XSV+았/EP+으며/EC+,/SP
더불어민주당은	더불어민주당/NNP+은/JX
청년	청년/NNG
주택	주택/NNG
정책의	정책/NNG+의/JKG
재원으로	재원/NNG+으로/JKB
기금	기금/NNG
활용	활용/NNG
방안을	방안/NNG+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.308.5.2
국민의당도 ‘1호 법안’으로 만 35세 이하의 청년에게 임대주택 자금을 빌려주면서 국민연금 기금을 재원으로 활용하자는 법안을 발표한 바 있다.

국민의당도	국민의당/NNP+도/JX
‘1호	‘/SS+1/SN+호/NNB
법안’으로	법안/NNG+’/SS+으로/JKB
만	만/MMA
35세	35/SN+세/NNB
이하의	이하/NNG+의/JKG
청년에게	청년/NNG+에게/JKB
임대주택	임대/NNG+주택/NNG
자금을	자금/NNG+을/JKO
빌려주면서	빌리/VV+어/EC+주/VX+면서/EC
국민연금	국민연금/NNG
기금을	기금/NNG+을/JKO
재원으로	재원/NNG+으로/JKB
활용하자는	활용/NNG+하/XSV+자는/ETM
법안을	법안/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
바	바/NNB
