# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.266
metadata : {}


# id : NWRW1800000033.266.1.1
[오늘과 내일] 神父 주문모, 선장 청다웨이

[오늘과	[/SS+오늘/NNG+과/JC
내일]	내일/NNG+]/SS
神父	神父/SH
주문모,	주문모/NNP+,/SP
선장	선장/NNG
청다웨이	청다웨이/NNP


# id : NWRW1800000033.266.2.1
김훈의 소설 ‘흑산(黑山)’은 1801년 신유박해를 전후한 천주교 탄압을 소재로 다뤘다.

김훈의	김훈/NNP+의/JKG
소설	소설/NNG
‘흑산(黑山)’은	‘/SS+흑산/NNP+(/SS+黑山/SH+)/SS+’/SS+은/JX
1801년	1801/SN+년/NNB
신유박해를	신유박해/NNG+를/JKO
전후한	전후/NNG+하/XSV+ㄴ/ETM
천주교	천주교/NNG
탄압을	탄압/NNG+을/JKO
소재로	소재/NNG+로/JKB
다뤘다.	다루/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.266.2.2
많은 교인이 잔혹한 형벌 끝에 죽어간다.

많은	많/VA+은/ETM
교인이	교인/NNG+이/JKS
잔혹한	잔혹/NNG+하/XSA+ㄴ/ETM
형벌	형벌/NNG
끝에	끝/NNG+에/JKB
죽어간다.	죽/VV+어/EC+가/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.266.2.3
한 가지 납득하기 어려운 것은 조선에 파견된 청나라 신부 주문모(周文謨)의 처형이다.

한	한/MMN
가지	가지/NNB
납득하기	납득/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
것은	것/NNB+은/JX
조선에	조선/NNP+에/JKB
파견된	파견/NNG+되/XSV+ㄴ/ETM
청나라	청나라/NNP
신부	신부/NNG
주문모(周文謨)의	주문모/NNP+(/SS+周文謨/SH+)/SS+의/JKG
처형이다.	처형/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.266.2.4
그 무렵 청나라에선 천주교가 척사(斥邪)의 대상이 아니었다.

그	그/MMD
무렵	무렵/NNB
