# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.307
metadata : {}


# id : NWRW1800000041.307.1.1
[기자의 눈/박재명]여수 앞바다는 기름 범벅인데… “윤진숙 장관, 웃음이 나옵니까”

[기자의	[/SS+기자/NNG+의/JKG
눈/박재명]여수	눈/NNG+//SP+박재명/NNP+]/SS+여수/NNP
앞바다는	앞바다/NNG+는/JX
기름	기름/NNG
범벅인데…	범벅/NNG+이/VCP+ㄴ데/EC+…/SE
“윤진숙	“/SS+윤진숙/NNP
장관,	장관/NNG+,/SP
웃음이	웃음/NNG+이/JKS
나옵니까”	나오/VV+ㅂ니까/EF+”/SS


# id : NWRW1800000041.307.2.1
“GS칼텍스 1차피해, 주민이 2차” 黨政협의서 실언… 與서도 질타 잦은 구설 “인기 덕분” 황당 해명

“GS칼텍스	“/SS+GS칼텍스/NNP
1차피해,	1/SN+차/NNB+피해/NNG+,/SP
주민이	주민/NNG+이/JKS
2차”	2/SN+차/NNB+”/SS
黨政협의서	黨政/SH+협의/NNG+서/JKB
실언…	실언/NNG+…/SE
與서도	與/SH+서/JKB+도/JX
질타	질타/NNG
잦은	잦/VA+은/ETM
구설	구설/NNG
“인기	“/SS+인기/NNG
덕분”	덕분/NNG+”/SS
황당	황당/XR
해명	해명/NNG


# id : NWRW1800000041.307.3.1
이쯤 되면 실언(失言)만으로도 ‘삼진 아웃’이다.

이쯤	이쯤/MAG
되면	되/VV+면/EC
실언(失言)만으로도	실언/NNG+(/SS+失言/SH+)/SS+만/JX+으로/JKB+도/JX
‘삼진	‘/SS+삼진/NNG
아웃’이다.	아웃/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.307.3.2
1일부터 5일까지 닷새 동안 윤진숙 해양수산부 장관이 벌인 ‘실언 릴레이’는 상식 수준에서 납득하기 어렵다.

1일부터	1/SN+일/NNB+부터/JX
5일까지	5/SN+일/NNB+까지/JX
닷새	닷새/NNG
동안	동안/NNG
윤진숙	윤진숙/NNP
해양수산부	해양/NNG+수산부/NNG
장관이	장관/NNG+이/JKS
벌인	벌이/VV+ㄴ/ETM
‘실언	‘/SS+실언/NNG
릴레이’는	릴레이/NNG+’/SS+는/JX
상식	상식/NNG
수준에서	수준/NNG+에서/JKB
납득하기	납득/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000041.307.4.1
5일 전남 여수시 기름 유출 사고 대책 협의를 위해 열린 당정협의에서 윤 장관에 대한 새누리당 의원들의 질타가 터져 나왔다.

5일	5/SN+일/NNB
전남	전남/NNP
여수시	여수시/NNP
기름	기름/NNG
유출	유출/NNG
사고	사고/NNG
대책	대책/NNG
협의를	협의/NNG+를/JKO
위해	위하/VV+아/EC
열린	열리/VV+ㄴ/ETM
당정협의에서	당정/NNG+협의/NNG+에서/JKB
윤	윤/NNP
장관에	장관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
새누리당	새누리당/NNP
의원들의	의원/NNG+들/XSN+의/JKG
질타가	질타/NNG+가/JKS
터져	터지/VV+어/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.307.5.1
“가장 피해를 본 어종이 무엇인지 알고 있는가.”(새누리당 경대수 의원)

“가장	“/SS+가장/MAG
피해를	피해/NNG+를/JKO
본	보/VV+ㄴ/ETM
어종이	어종/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EF
알고	알/VV+고/EC
있는가.”(새누리당	있/VX+는가/EF+./SF+”/SS+(/SS+새누리당/NNP
경대수	경대수/NNP
의원)	의원/NNG+)/SS


# id : NWRW1800000041.307.6.1
“…….”(윤 장관)

“…….”(윤	“/SS+…/SE+…/SE+./SF+”/SS+(/SS+윤/NNP
장관)	장관/NNG+)/SS


# id : NWRW1800000041.307.7.1
“장관이 피해 내용조차 파악하지 못했는가.”(경 의원)

“장관이	“/SS+장관/NNG+이/JKS
피해	피해/NNG
내용조차	내용/NNG+조차/JX
파악하지	파악/NNG+하/XSV+지/EC
못했는가.”(경	못하/VX+았/EP+는가/EF+./SF+”/SS+(/SS+경/NNP
의원)	의원/NNG+)/SS


# id : NWRW1800000041.307.8.1
윤 장관은 답변 중간에 웃음을 보이기도 했다.

윤	윤/NNP
장관은	장관/NNG+은/JX
답변	답변/NNG
중간에	중간/NNG+에/JKB
웃음을	웃음/NNG+을/JKO
보이기도	보이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.307.8.2
경 의원은 “웃지 말라”며 호통을 쳤다.

경	경/NNP
의원은	의원/NNG+은/JX
“웃지	“/SS+웃/VV+지/EC
말라”며	말/VX+라/EF+”/SS+며/EC
호통을	호통/NNG+을/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.307.9.1
의원들의 추궁이 이어지자 윤 장관은 겸연쩍다는 듯한 표정에 연방 피식피식 ‘헛웃음’을 웃었다.

의원들의	의원/NNG+들/XSN+의/JKG
추궁이	추궁/NNG+이/JKS
이어지자	이어지/VV+자/EC
윤	윤/NNP
장관은	장관/NNG+은/JX
겸연쩍다는	겸연쩍/VA+다는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
표정에	표정/NNG+에/JKB
연방	연방/NNG
피식피식	피식피식/MAG
‘헛웃음’을	‘/SS+헛/XPN+웃음/NNG+’/SS+을/JKO
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.307.9.2
기가 막힌 의원들은 “장관이 남의 이야기하듯 웃음이 나오느냐”(새누리당 이현재 의원)고 따져 물었다.

기가	기/NNG+가/JKS
막힌	막히/VV+ㄴ/ETM
의원들은	의원/NNG+들/XSN+은/JX
“장관이	“/SS+장관/NNG+이/JKS
남의	남/NNG+의/JKG
이야기하듯	이야기/NNG+하/XSV+듯/EC
웃음이	웃음/NNG+이/JKS
나오느냐”(새누리당	나오/VV+느냐/EF+”/SS+(/SS+새누리당/NNP
이현재	이현재/NNP
의원)고	의원/NNG+)/SS+고/JKQ
따져	따지/VV+어/EC
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.307.9.3
또 윤 장관은 사고 원인에 대한 질문이 계속되자 “아니, 파악을 해야 말씀을 드리죠”라며 웃음을 보이기도 했다.

또	또/MAG
윤	윤/NNP
장관은	장관/NNG+은/JX
사고	사고/NNG
원인에	원인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
질문이	질문/NNG+이/JKS
계속되자	계속/NNG+되/XSV+자/EC
“아니,	“/SS+아니/IC+,/SP
파악을	파악/NNG+을/JKO
해야	하/VV+아야/EC
말씀을	말씀/NNG+을/JKO
드리죠”라며	드리/VV+죠/EF+”/SS+라며/EC
웃음을	웃음/NNG+을/JKO
보이기도	보이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.307.10.1
민주당 김진욱 부대변인은 “아무 때고 히죽히죽 웃어 대는 사람이 사태 수습을 책임질 장관이라면 국민적 공분은 더욱 커질 것”이라며 즉각 경질을 촉구했다.

민주당	민주당/NNP
김진욱	김진욱/NNP
부대변인은	부대변인/NNG+은/JX
“아무	“/SS+아무/MMD
때고	때/NNG+이/VCP+고/EC
히죽히죽	히죽히죽/MAG
웃어	웃/VV+어/EC
대는	대/VX+는/ETM
사람이	사람/NNG+이/JKS
사태	사태/NNG
수습을	수습/NNG+을/JKO
책임질	책임지/VV+ㄹ/ETM
장관이라면	장관/NNG+이/VCP+라면/EC
