# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.356
metadata : {}


# id : NWRW1800000053.356.1.1
“사드, 환경평가해도 배치 취소안해… 성주기지내 위치 조정”

“사드,	“/SS+사드/NNG+,/SP
환경평가해도	환경/NNG+평가/NNG+하/XSV+아도/EC
배치	배치/NNG
취소안해…	취소/NNG+안/MAG+하/VV+아/EC+…/SE
성주기지내	성주기지/NNP+내/NNB
위치	위치/NNG
조정”	조정/NNG+”/SS


# id : NWRW1800000053.356.2.1
[北 ICBM 2차 도발, 국방위-정보위 보고] 宋국방, 국회 국방위 긴급 현안보고

[北	[/SS+北/SH
ICBM	ICBM/SL
2차	2/SN+차/NNB
도발,	도발/NNG+,/SP
국방위-정보위	국방위/NNG+-/SO+정보위/NNG
보고]	보고/NNG+]/SS
宋국방,	宋/SH+국방/NNG+,/SP
국회	국회/NNG
국방위	국방위/NNG
긴급	긴급/NNG
현안보고	현안/NNG+보고/NNG


# id : NWRW1800000053.356.3.1
31일 국회 국방위원회 긴급 현안보고에 출석한 송영무 국방부 장관(사진)은 사드(THAAD·고고도미사일방어체계) 발사대 4기 임시 배치가 완전 배치의 전 단계라는 점을 사실상 인정했다.

31일	31/SN+일/NNB
국회	국회/NNG
국방위원회	국방/NNG+위원회/NNG
긴급	긴급/NNG
현안보고에	현안/NNG+보고/NNG+에/JKB
출석한	출석/NNG+하/XSV+ㄴ/ETM
송영무	송영무/NNP
국방부	국방부/NNG
장관(사진)은	장관/NNG+(/SS+사진/NNG+)/SS+은/JX
사드(THAAD·고고도미사일방어체계)	사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG+미사일/NNG+방어/NNG+체계/NNG+)/SS
발사대	발사대/NNG
4기	4/SN+기/NNB
임시	임시/NNG
배치가	배치/NNG+가/JKS
완전	완전/NNG
배치의	배치/NNG+의/JKG
전	전/MMD
단계라는	단계/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
사실상	사실/NNG+상/XSN
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.356.3.2
28일 북한의 대륙간탄도미사일(ICBM)급 ‘화성-14형’ 발사를 계기로 사드 1개 포대(발사대 6기)의 완전 배치가 급물살을 타게 됐다.

28일	28/SN+일/NNB
북한의	북한/NNP+의/JKG
대륙간탄도미사일(ICBM)급	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS+급/NNG
‘화성-14형’	‘/SS+화성/NNP+-/SO+14형/NNG+’/SS
발사를	발사/NNG+를/JKO
계기로	계기/NNG+로/JKB
사드	사드/NNG
1개	1/SN+개/NNB
포대(발사대	포대/NNG+(/SS+발사대/NNG
6기)의	6/SN+기/NNB+)/SS+의/JKG
완전	완전/NNG
배치가	배치/NNG+가/JKS
급물살을	급물살/NNG+을/JKO
타게	타/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.356.4.1
○ “사드 철회 전제로 환경영향평가 하는 것 아니다”

○	○/SW
“사드	“/SS+사드/NNG
철회	철회/NNG
전제로	전제/NNG+로/JKB
환경영향평가	환경/NNG+영향/NNG+평가/NNG
하는	하/VV+는/ETM
것	것/NNB
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000053.356.5.1
국민의당 김동철 의원은 31일 “일반 환경영향평가에 따라 사드 배치가 철회되는 것은 아니냐”고 물었다.

국민의당	국민의당/NNP
김동철	김동철/NNP
의원은	의원/NNG+은/JX
31일	31/SN+일/NNB
“일반	“/SS+일반/NNG
환경영향평가에	환경/NNG+영향/NNG+평가/NNG+에/JKB
따라	따르/VV+아/EC
사드	사드/NNG
배치가	배치/NNG+가/JKS
철회되는	철회/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.356.5.2
이에 송 장관은 “철회를 전제로 하는 것은 아니다”라고 답했다.

이에	이/NP+에/JKB
송	송/NNP
장관은	장관/NNG+은/JX
“철회를	“/SS+철회/NNG+를/JKO
전제로	전제/NNG+로/JKB
하는	하/VV+는/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.356.5.3
더불어민주당 이철희 의원이 “성주포대에서 성주골프장으로 옮긴 것처럼 (일반 환경영향평가에 따라) 완전히 다른 곳으로 옮기는 것이냐”는 질문에도 송 장관은 “완전히 다른 데로 옮기는 게 아니라 그(성주골프장) 안에서 바꾼다는 의미”라고 설명했다.

더불어민주당	더불어민주당/NNP
이철희	이철희/NNP
의원이	의원/NNG+이/JKS
“성주포대에서	“/SS+성주포대/NNP+에서/JKB
성주골프장으로	성주골프장/NNP+으로/JKB
옮긴	옮기/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
(일반	(/SS+일반/NNG
환경영향평가에	환경/NNG+영향/NNG+평가/NNG+에/JKB
따라)	따르/VV+아/EC+)/SS
완전히	완전히/MAG
다른	다른/MMD
곳으로	곳/NNG+으로/JKB
옮기는	옮기/VV+는/ETM
것이냐”는	것/NNB+이/VCP+냐/EF+”/SS+는/ETM
질문에도	질문/NNG+에/JKB+도/JX
송	송/NNP
장관은	장관/NNG+은/JX
“완전히	“/SS+완전히/MAG
데로	데/NNB+로/JKB
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
그(성주골프장)	그/MMD+(/SS+성주골프장/NNP+)/SS
안에서	안/NNG+에서/JKB
바꾼다는	바꾸/VV+ㄴ다는/ETM
의미”라고	의미/NNG+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.356.5.4
임시 배치와 동시에 진행되는 일반 환경영향평가가 완전 배치에 앞서 정부가 강조한 민주적, 절차적 정당성을 갖추기 위한 과정이라는 것.

임시	임시/NNG
배치와	배치/NNG+와/JKB
동시에	동시/NNG+에/JKB
진행되는	진행/NNG+되/XSV+는/ETM
일반	일반/NNG
환경영향평가가	환경/NNG+영향/NNG+평가/NNG+가/JKS
완전	완전/NNG
배치에	배치/NNG+에/JKB
앞서	앞서/VV+어/EC
정부가	정부/NNG+가/JKS
강조한	강조/NNG+하/XSV+ㄴ/ETM
민주적,	민주/NNG+적/XSN+,/SP
절차적	절차/NNG+적/XSN
정당성을	정당성/NNG+을/JKO
갖추기	갖추/VV+기/ETN
위한	위하/VV+ㄴ/ETM
과정이라는	과정/NNG+이/VCP+라는/ETM
것.	것/NNB+./SF


# id : NWRW1800000053.356.5.5
다시 말해 환경영향평가 결과가 어떻게 나오더라도 사드는 성주 기지에 두겠다는 얘기다.

다시	다시/MAG
말해	말/NNG+하/XSV+아/EC
환경영향평가	환경/NNG+영향/NNG+평가/NNG
결과가	결과/NNG+가/JKS
어떻게	어떻/VA+게/EC
나오더라도	나오/VV+더라도/EC
사드는	사드/NNG+는/JX
성주	성주/NNP
기지에	기지/NNG+에/JKB
두겠다는	두/VV+겠/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.356.6.1
사드 반대 단체 등이 주장하는 사드 전자파의 유해성에 대해서도 큰 문제가 없다는 점을 분명히 했다.

사드	사드/NNG
반대	반대/NNG
단체	단체/NNG
등이	등/NNB+이/JKS
주장하는	주장/NNG+하/XSV+는/ETM
전자파의	전자파/NNG+의/JKG
유해성에	유해/NNG+성/XSN+에/JKB
대해서도	대하/VV+아서/EC+도/JX
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
없다는	없/VA+다는/ETM
점을	점/NNG+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.356.6.2
자유한국당 김학용 의원이 “24일 소규모 환경영향평가를 마쳐서 환경부에 제출했는데 관계자들의 말에 따르면 전자파가 검측이 안 됐다고 한다”라고 한 데 대해서도 송 장관은 시인했다.

자유한국당	자유한국당/NNP
김학용	김학용/NNP
의원이	의원/NNG+이/JKS
“24일	“/SS+24/SN+일/NNB
소규모	소/XPN+규모/NNG
환경영향평가를	환경/NNG+영향/NNG+평가/NNG+를/JKO
마쳐서	마치/VV+어서/EC
환경부에	환경부/NNG+에/JKB
제출했는데	제출/NNG+하/XSV+았/EP+는데/EC
관계자들의	관계자/NNG+들/XSN+의/JKG
말에	말/NNG+에/JKB
따르면	따르/VV+면/EC
전자파가	전자파/NNG+가/JKS
검측이	검측/NNG+이/JKS
안	안/MAG
됐다고	되/VV+었/EP+다고/EC
한다”라고	하/VV+ㄴ다/EF+”/SS+라고/JKQ
한	하/VV+ㄴ/ETM
데	데/NNB
대해서도	대하/VV+아서/EC+도/JX
송	송/NNP
장관은	장관/NNG+은/JX
시인했다.	시인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.356.6.3
다만 송 장관은 “소규모 환경영향평가 때 전자파의 영향이 거의 없었다고 그것(일반 환경영향평가)을 안 하는 것은 곤란하지 않느냐”고 밝혔다.

다만	다만/MAG
송	송/NNP
장관은	장관/NNG+은/JX
“소규모	“/SS+소/XPN+규모/NNG
환경영향평가	환경/NNG+영향/NNG+평가/NNG
때	때/NNG
전자파의	전자파/NNG+의/JKG
영향이	영향/NNG+이/JKS
거의	거의/MAG
없었다고	없/VA+었/EP+다고/EC
그것(일반	그것/NP+(/SS+일반/NNG
환경영향평가)을	환경/NNG+영향/NNG+평가/NNG+)/SS+을/JKO
안	안/MAG
하는	하/VV+는/ETM
것은	것/NNB+은/JX
곤란하지	곤란/NNG+하/XSA+지/EC
않느냐”고	않/VX+느냐/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.356.7.1
하지만 국방부는 이날 송 장관의 발언에 대해 “사드 배치 결론을 미리 내놓고 절차적 정당성을 얻기 위해 일반 환경영향평가를 하는 것은 아니다”라고 해명했다.

하지만	하지만/MAJ
국방부는	국방부/NNG+는/JX
이날	이날/NNG
송	송/NNP
장관의	장관/NNG+의/JKG
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
“사드	“/SS+사드/NNG
배치	배치/NNG
결론을	결론/NNG+을/JKO
미리	미리/MAG
내놓고	내놓/VV+고/EC
절차적	절차/NNG+적/XSN
정당성을	정당성/NNG+을/JKO
얻기	얻/VV+기/ETN
위해	위하/VV+아/EC
일반	일반/NNG
환경영향평가를	환경/NNG+영향/NNG+평가/NNG+를/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.356.8.1
○ 도발 징후 ‘사전 파악’ 논란

○	○/SW
도발	도발/NNG
징후	징후/NNG
‘사전	‘/SS+사전/NNG
파악’	파악/NNG+’/SS
논란	논란/NNG


# id : NWRW1800000053.356.9.1
야당은 군이 28일 북한 미사일 발사 16시간 전에 일반 환경영향평가 실시 계획을 발표한 것을 두고 징후를 사전에 파악하지 못한 것 아니냐고 지적했다.

야당은	야당/NNG+은/JX
군이	군/NNG+이/JKS
28일	28/SN+일/NNB
북한	북한/NNP
미사일	미사일/NNG
발사	발사/NNG
16시간	16/SN+시간/NNB
전에	전/NNG+에/JKB
일반	일반/NNG
환경영향평가	환경/NNG+영향/NNG+평가/NNG
실시	실시/NNG
계획을	계획/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
징후를	징후/NNG+를/JKO
사전에	사전/NNG+에/JKB
파악하지	파악/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
것	것/NNB
아니냐고	아니/VCN+냐고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.356.9.2
이에 송 장관은 “(북한 미사일 도발의) 진행 상황을 다 알고 있었고 대통령에게도 26, 27일 보고했다”라며 “환경부와 약 2주 전에 (일반 환경영향평가 실시 계획을) 발표하기로 했는데 환경단체들이 참여를 안 한다고 해서 (발표를) 지연시킨 것”이라고 설명했다.

이에	이/NP+에/JKB
송	송/NNP
장관은	장관/NNG+은/JX
“(북한	“/SS+(/SS+북한/NNP
미사일	미사일/NNG
도발의)	도발/NNG+의/JKG+)/SS
진행	진행/NNG
상황을	상황/NNG+을/JKO
다	다/MAG
알고	알/VV+고/EC
있었고	있/VX+었/EP+고/EC
대통령에게도	대통령/NNG+에게/JKB+도/JX
26,	26/SN+,/SP
27일	27/SN+일/NNB
보고했다”라며	보고/NNG+하/XSV+았/EP+다/EF+”/SS+라며/EC
“환경부와	“/SS+환경부/NNG+와/JKB
약	약/MMA
2주	2/SN+주/NNB
전에	전/NNG+에/JKB
(일반	(/SS+일반/NNG
환경영향평가	환경/NNG+영향/NNG+평가/NNG
실시	실시/NNG
계획을)	계획/NNG+을/JKO+)/SS
발표하기로	발표/NNG+하/XSV+기/ETN+로/JKB
했는데	하/VV+았/EP+는데/EC
환경단체들이	환경/NNG+단체/NNG+들/XSN+이/JKS
참여를	참여/NNG+를/JKO
안	안/MAG
한다고	하/VV+ㄴ다고/EC
해서	하/VV+아서/EC
(발표를)	(/SS+발표/NNG+를/JKO+)/SS
지연시킨	지연/NNG+시키/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.356.10.1
