# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.402
metadata : {}


# id : NWRW1800000052.402.1.1
최순실, SK 80억 보도에 “얘기를 짜봐라”

최순실,	최순실/NNP+,/SP
SK	SK/SL
80억	80/SN+억/NR
보도에	보도/NNG+에/JKB
“얘기를	“/SS+얘기/NNG+를/JKO
짜봐라”	짜/VV+아/EC+보/VX+아라/EF+”/SS


# id : NWRW1800000052.402.2.1
-박영선, 최씨 녹취록 추가 공개-

-박영선,	-/SO+박영선/NNP+,/SP
최씨	최/NNP+씨/NNB
녹취록	녹취록/NNG
추가	추가/NNG
공개-	공개/NNG+-/SO


# id : NWRW1800000052.402.3.1
최, K재단 노승일 부장에 전화

최,	최/NNP+,/SP
K재단	K재단/NNP
노승일	노승일/NNP
부장에	부장/NNG+에/JKB
전화	전화/NNG


# id : NWRW1800000052.402.4.1
언론보도 질타하며 조작 지시

언론보도	언론/NNG+보도/NNG
질타하며	질타/NNG+하/XSV+며/EC
조작	조작/NNG
지시	지시/NNG


# id : NWRW1800000052.402.5.1
“안은 지금 뭐라 그런데요?”

“안은	“/SS+안/NNP+은/JX
지금	지금/MAG
뭐라	뭐/NP+이/VCP+라/EC
그런데요?”	그러/VV+ㄴ데/EF+요/JX+?/SF+”/SS


# id : NWRW1800000052.402.6.1
안종범 전 수석 반응 파악하기도

안종범	안종범/NNP
전	전/MMD
수석	수석/NNG
반응	반응/NNG
파악하기도	파악/NNG+하/XSV+기/ETN+도/JX


# id : NWRW1800000052.402.7.1
최순실씨가 지난 10월 독일에서 귀국하기에 앞서 노승일 전 케이(K)스포츠재단 부장과의 통화에서 최씨의 지시로 에스케이(SK)에 80억원을 요구했다는 정현식 전 재단 사무총장의 ‘폭로’를 왜 못 막았냐고 질타하는 내용의 녹음 파일이 공개됐다.

최순실씨가	최순실/NNP+씨/NNB+가/JKS
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
독일에서	독일/NNP+에서/JKB
귀국하기에	귀국/NNG+하/XSV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
노승일	노승일/NNP
전	전/MMD
케이(K)스포츠재단	케이/NNP+(/SS+K/SL+)/SS+스포츠/NNG+재단/NNG
부장과의	부장/NNG+과/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
최씨의	최/NNP+씨/NNB+의/JKG
지시로	지시/NNG+로/JKB
에스케이(SK)에	에스케이/NNP+(/SS+SK/SL+)/SS+에/JKB
80억원을	80/SN+억/NR+원/NNB+을/JKO
요구했다는	요구/NNG+하/XSV+았/EP+다는/ETM
정현식	정현식/NNP
재단	재단/NNG
사무총장의	사무총장/NNG+의/JKG
‘폭로’를	‘/SS+폭로/NNG+’/SS+를/JKO
왜	왜/MAG
못	못/MAG
막았냐고	막/VV+았/EP+냐고/EC
질타하는	질타/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
녹음	녹음/NNG
파일이	파일/NNG+이/JKS
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.402.8.1
박영선 더불어민주당 의원은 15일 열린 ‘박근혜·최순실 게이트’ 국정조사 특위의 4차 청문회에서 전날에 이어 최씨의 통화 파일을 추가로 공개했다.

박영선	박영선/NNP
더불어민주당	더불어민주당/NNP
의원은	의원/NNG+은/JX
15일	15/SN+일/NNB
열린	열리/VV+ㄴ/ETM
‘박근혜·최순실	‘/SS+박근혜/NNP+·/SP+최순실/NNP
게이트’	게이트/NNG+’/SS
국정조사	국정/NNG+조사/NNG
특위의	특위/NNG+의/JKG
4차	4/SN+차/NNB
청문회에서	청문회/NNG+에서/JKB
전날에	전날/NNG+에/JKB
이어	잇/VV+어/EC
최씨의	최/NNP+씨/NNB+의/JKG
통화	통화/NNG
파일을	파일/NNG+을/JKO
추가로	추가/NNG+로/JKB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.402.8.2
독일의 최씨는 노 전 부장과의 통화에서 “(정현식) 사무총장이 뭐라고 얘기를 했다는 거야. 내가 에스케이를 들어가라고 했다고?”라고 물었다.

독일의	독일/NNP+의/JKG
최씨는	최/NNP+씨/NNB+는/JX
노	노/NNP
전	전/MMD
부장과의	부장/NNG+과/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“(정현식)	“/SS+(/SS+정현식/NNP+)/SS
사무총장이	사무총장/NNG+이/JKS
뭐라고	뭐/NP+이/VCP+라고/EC
얘기를	얘기/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
거야.	거/NNB+이/VCP+야/EF+./SF
내가	내/NP+가/JKS
에스케이를	에스케이/NNP+를/JKO
들어가라고	들어가/VV+라고/EC
했다고?”라고	하/VV+았/EP+다고/EF+?/SF+”/SS+라고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.402.8.3
이에 노 전 부장이 “(최순실) 회장님이 지시했고 박헌영 (재단) 과장이 기획서를 만들고 본인(정 전 사무총장)이 그 기업을 방문했다, 안종범 수석이 또 확인 전화를 했다, 이거를 다 얘기한 것이다. 가장 중요한 부분들을…”이라고 답했다.

이에	이/NP+에/JKB
노	노/NNP
전	전/MMD
부장이	부장/NNG+이/JKS
“(최순실)	“/SS+(/SS+최순실/NNP+)/SS
회장님이	회장/NNG+님/XSN+이/JKS
지시했고	지시/NNG+하/XSV+았/EP+고/EC
박헌영	박헌영/NNP
(재단)	(/SS+재단/NNG+)/SS
과장이	과장/NNG+이/JKS
기획서를	기획서/NNG+를/JKO
만들고	만들/VV+고/EC
본인(정	본인/NNG+(/SS+정/NNP
사무총장)이	사무총장/NNG+)/SS+이/JKS
그	그/MMD
기업을	기업/NNG+을/JKO
방문했다,	방문/NNG+하/XSV+았/EP+다/EF+,/SP
안종범	안종범/NNP
수석이	수석/NNG+이/JKS
또	또/MAG
확인	확인/NNG
전화를	전화/NNG+를/JKO
했다,	하/VV+았/EP+다/EF+,/SP
이거를	이거/NP+를/JKO
다	다/MAG
얘기한	얘기/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
부분들을…”이라고	부분/NNG+들/XSN+을/JKO+…/SE+”/SS+이라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.402.8.4
그러자 최씨는 “그럼 어떡하냐. 국가 그걸로 가겠네”라고 낙담하며 “왜 정현식 총장이 얘기한 거를 못 막았냐”고 따졌다.

그러자	그러/VV+자/EC
최씨는	최/NNP+씨/NNB+는/JX
“그럼	“/SS+그럼/MAJ
어떡하냐.	어떡하/VV+냐/EF+./SF
국가	국가/NNG
그걸로	그거/NP+ㄹ로/JKB
가겠네”라고	가/VV+겠/EP+네/EF+”/SS+라고/JKQ
낙담하며	낙담/NNG+하/XSV+며/EC
“왜	“/SS+왜/MAG
정현식	정현식/NNP
총장이	총장/NNG+이/JKS
얘기한	얘기/NNG+하/XSV+ㄴ/ETM
거를	거/NNB+를/JKO
못	못/MAG
막았냐”고	막/VV+았/EP+냐/EF+”/SS+고/JKQ
따졌다.	따지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.402.8.5
