# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.247
metadata : {}


# id : NWRW1800000044.247.1.1
현대차, 사내하청 채용 발표 임박…불법파견 선고 이번에도 미뤄지나

현대차,	현대차/NNP+,/SP
사내하청	사내/NNG+하청/NNG
채용	채용/NNG
발표	발표/NNG
임박…불법파견	임박/NNG+…/SE+불법/NNG+파견/NNG
선고	선고/NNG
이번에도	이번/NNG+에/JKB+도/JX
미뤄지나	미루/VV+어/EC+지/VX+나/EC


# id : NWRW1800000044.247.2.1
[한겨레] 신규채용자 소취하 등 두차례 연기

[한겨레]	[/SS+한겨레/NNP+]/SS
신규채용자	신규/NNG+채용자/NNG
소취하	소/NNG+취하/NNG
등	등/NNB
두차례	두/MMN+차례/NNG
연기	연기/NNG


# id : NWRW1800000044.247.3.1
18·19일 선고일 앞 연기작전 의혹

18·19일	18/SN+·/SP+19/SN+일/NNB
선고일	선고일/NNG
앞	앞/NNG
연기작전	연기/NNG+작전/NNG
의혹	의혹/NNG


# id : NWRW1800000044.247.4.1
노조쪽 3명 ‘선고 촉구’ 단식 돌입

노조쪽	노조/NNG+쪽/NNB
3명	3/SN+명/NNB
‘선고	‘/SS+선고/NNG
촉구’	촉구/NNG+’/SS
단식	단식/NNG
돌입	돌입/NNG


# id : NWRW1800000044.247.5.1
현대자동차가 16일께 사내하청 노동자를 포함한 400명의 신규채용 결과를 발표할 것으로 알려졌다.

현대자동차가	현대자동차/NNP+가/JKS
16일께	16/SN+일/NNB+께/XSN
사내하청	사내/NNG+하청/NNG
노동자를	노동자/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
400명의	400/SN+명/NNB+의/JKG
신규채용	신규/NNG+채용/NNG
결과를	결과/NNG+를/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.247.5.2
현대차 사내하청 노동자 1500여명이 현대차를 상대로 낸 근로자지위확인소송 선고일(18~19일)이 다시 미뤄질 수 있다는 지적이 나온다.

현대차	현대차/NNP
사내하청	사내/NNG+하청/NNG
노동자	노동자/NNG
1500여명이	1500/SN+여/XSN+명/NNB+이/JKS
현대차를	현대차/NNP+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
근로자지위확인소송	근로자/NNG+지위/NNG+확인/NNG+소송/NNG
선고일(18~19일)이	선고일/NNG+(/SS+18/SN+~/SO+19/SN+일/NNB+)/SS+이/JKS
다시	다시/MAG
미뤄질	미루/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.247.5.3
신규채용된 노동자의 일부가 소를 취하할 수 있어서다.

신규채용된	신규/NNG+채용/NNG+되/XSV+ㄴ/ETM
노동자의	노동자/NNG+의/JKG
일부가	일부/NNG+가/JKS
소를	소/NNG+를/JKO
취하할	취하/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어서다.	있/VA+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000044.247.5.4
이 소송은 이미 두차례 미뤄졌다.

이	이/MMD
소송은	소송/NNG+은/JX
이미	이미/MAG
두차례	두/MMN+차례/NNG
미뤄졌다.	미루/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.247.6.1
노동자 쪽 변론을 맡은 김태욱 변호사는 15일 <한겨레>에 “지난달 75명의 소취하서 접수로 선고가 연기된 뒤 기존에 신규채용된 원고 가운데 20여명이 추가로 취하서를 낸 데다 현대차 쪽이 오늘이나 내일 신규채용 400명을 발표하면 선고가 또 연기될 수 있다”며 “현대차 쪽이 의도적으로 선고 연기 작전을 쓰고 있다”고 말했다.

노동자	노동자/NNG
쪽	쪽/NNB
변론을	변론/NNG+을/JKO
맡은	맡/VV+은/ETM
김태욱	김태욱/NNP
변호사는	변호사/NNG+는/JX
15일	15/SN+일/NNB
<한겨레>에	</SS+한겨레/NNP+>/SS+에/JKB
“지난달	“/SS+지난달/NNG
75명의	75/SN+명/NNB+의/JKG
소취하서	소/NNG+취하서/NNG
접수로	접수/NNG+로/JKB
선고가	선고/NNG+가/JKS
연기된	연기/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
기존에	기존/NNG+에/JKB
신규채용된	신규/NNG+채용/NNG+되/XSV+ㄴ/ETM
원고	원고/NNG
가운데	가운데/NNG
20여명이	20/SN+여/XSN+명/NNB+이/JKS
추가로	추가/NNG+로/JKB
취하서를	취하서/NNG+를/JKO
낸	내/VV+ㄴ/ETM
데다	데/NNB+다/JX
현대차	현대차/NNP
쪽이	쪽/NNB+이/JKS
오늘이나	오늘/NNG+이나/JC
내일	내일/NNG
신규채용	신규/NNG+채용/NNG
400명을	400/SN+명/NNB+을/JKO
발표하면	발표/NNG+하/XSV+면/EC
또	또/MAG
연기될	연기/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“현대차	“/SS+현대차/NNP
의도적으로	의도/NNG+적/XSN+으로/JKB
선고	선고/NNG
연기	연기/NNG
작전을	작전/NNG+을/JKO
쓰고	쓰/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.247.6.2
이 소송 선고는 지난 2월 연기돼 지난달 21~22일 내려지려다 ‘소송이 제기된 뒤 원고가 소취하서를 내면 2주 동안 피고의 동의 여부를 확인해야 한다’는 민사소송법 규정을 이유로 18~19일로 다시 미뤄졌다.

이	이/MMD
소송	소송/NNG
선고는	선고/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
연기돼	연기/NNG+되/XSV+어/EC
지난달	지난달/NNG
21~22일	21/SN+~/SO+22/SN+일/NNB
내려지려다	내려지/VV+려다/EC
‘소송이	‘/SS+소송/NNG+이/JKS
