# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.419
metadata : {}


# id : NWRW1800000026.419.1.1
머나먼 사이공… 경제위기설까지… 베트남 펀드 수익률 빨간불;최대 조선업체 비나신 채무 불이행 가능성…

머나먼	머나멀/VA+ㄴ/ETM
사이공…	사이공/NNP+…/SE
경제위기설까지…	경제/NNG+위기설/NNG+까지/JX+…/SE
베트남	베트남/NNP
펀드	펀드/NNG
수익률	수익/NNG+률/XSN
빨간불;최대	빨간불/NNG+;/SP+최대/NNG
조선업체	조선업체/NNG
비나신	비나신/NNP
채무	채무/NNG
불이행	불/XPN+이행/NNG
가능성…	가능/NNG+성/XSN+…/SE


# id : NWRW1800000026.419.2.1
베트남 펀드 손실의 끝은 어디일까.

베트남	베트남/NNP
펀드	펀드/NNG
손실의	손실/NNG+의/JKG
끝은	끝/NNG+은/JX
어디일까.	어디/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000026.419.3.1
베트남 경제위기설이 빠르게 확산되면서 가뜩이나 저조하던 국내 베트남 펀드 수익률에도 빨간불이 켜졌다.

베트남	베트남/NNP
경제위기설이	경제/NNG+위기설/NNG+이/JKS
빠르게	빠르/VA+게/EC
확산되면서	확산/NNG+되/XSV+면서/EC
가뜩이나	가뜩이나/MAG
저조하던	저조/NNG+하/XSA+던/ETM
국내	국내/NNG
펀드	펀드/NNG
수익률에도	수익/NNG+률/XSN+에/JKB+도/JX
빨간불이	빨간불/NNG+이/JKS
켜졌다.	켜/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.419.3.2
현재 국내에서 운용 중인 대부분의 베트남 펀드는 내년에 만기를 앞두고 있지만, 절반 이상이 마이너스 수익률(연초·설정 후 기준)을 벗어나지 못하고 있다.

현재	현재/MAG
국내에서	국내/NNG+에서/JKB
운용	운용/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
대부분의	대/XPN+부분/NNG+의/JKG
베트남	베트남/NNP
펀드는	펀드/NNG+는/JX
내년에	내년/NNG+에/JKB
만기를	만기/NNG+를/JKO
앞두고	앞두/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
절반	절반/NNG
이상이	이상/NNG+이/JKS
마이너스	마이너스/NNG
수익률(연초·설정	수익/NNG+률/XSN+(/SS+연초/NNG+·/SP+설정/NNG
후	후/NNG
기준)을	기준/NNG+)/SS+을/JKO
벗어나지	벗어나/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.419.4.1
◆베트남 국영조선업체 채무불이행 가능성

◆베트남	◆/SW+베트남/NNP
국영조선업체	국영/NNG+조선업체/NNG
채무불이행	채무/NNG+불/XPN+이행/NNG
가능성	가능/NNG+성/XSN


# id : NWRW1800000026.419.5.1
베트남 경제위기설의 직접적인 발단은 최대 국영 조선업체인 비나신의 채무불이행 가능성이다.

베트남	베트남/NNP
경제위기설의	경제/NNG+위기설/NNG+의/JKG
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
발단은	발단/NNG+은/JX
최대	최대/NNG
국영	국영/NNG
조선업체인	조선업체/NNG+이/VCP+ㄴ/ETM
비나신의	비나신/NNP+의/JKG
채무불이행	채무/NNG+불/XPN+이행/NNG
가능성이다.	가능/NNG+성/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.419.5.2
비나신은 6000만달러의 채무를 갚지 못해 채권단에 채무 만기 1년 연장을 요청한 상태다.

비나신은	비나신/NNP+은/JX
6000만달러의	6000/SN+만/NR+달러/NNB+의/JKG
채무를	채무/NNG+를/JKO
갚지	갚/VV+지/EC
못해	못하/VX+아/EC
채권단에	채권단/NNG+에/JKB
채무	채무/NNG
만기	만기/NNG
1년	1/SN+년/NNB
