# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.72
metadata : {}


# id : NWRW1800000046.72.1.1
南北 협상 벌어진 43시간… 발 동동 구른 영화가 있다고?

南北	南北/SH
협상	협상/NNG
벌어진	벌어지/VV+ㄴ/ETM
43시간…	43/SN+시간/NNB+…/SE
발	발/NNG
동동	동동/MAG
구른	구르/VV+ㄴ/ETM
영화가	영화/NNG+가/JKS
있다고?	있/VA+다고/EF+?/SF


# id : NWRW1800000046.72.2.1
영화 '서부전선' 제작보고회

영화	영화/NNG
'서부전선'	'/SS+서부전선/NNP+'/SS
제작보고회	제작/NNG+보고회/NNG


# id : NWRW1800000046.72.3.1
남북한이 무박 4일, 43시간에 걸쳐 협상을 벌이는 동안 결과를 초조하게 기다린 영화가 한 편 있었다.

남북한이	남북한/NNP+이/JKS
무박	무박/NNG
4일,	4/SN+일/NNB+,/SP
43시간에	43/SN+시간/NNB+에/JKB
걸쳐	걸치/VV+어/EC
협상을	협상/NNG+을/JKO
벌이는	벌이/VV+는/ETM
동안	동안/NNG
결과를	결과/NNG+를/JKO
초조하게	초조/NNG+하/XSA+게/EC
기다린	기다리/VV+ㄴ/ETM
영화가	영화/NNG+가/JKS
한	한/MMN
편	편/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.72.3.2
설경구·여진구 주연으로 9월 24일 개봉하는 '서부전선'(감독 천성일).

설경구·여진구	설경구/NNP+·/SP+여진구/NNP
주연으로	주연/NNG+으로/JKB
9월	9/SN+월/NNB
24일	24/SN+일/NNB
개봉하는	개봉/NNG+하/XSV+는/ETM
'서부전선'(감독	'/SS+서부전선/NNP+'/SS+(/SS+감독/NNG
천성일).	천성일/NNP+)/SS+./SF


# id : NWRW1800000046.72.3.3
1953년 휴전을 사흘 앞두고 서부전선에서 펼쳐지는 전쟁 드라마다.

1953년	1953/SN+년/NNB
휴전을	휴전/NNG+을/JKO
사흘	사흘/NNG
앞두고	앞두/VV+고/EC
서부전선에서	서부/NNG+전선/NNG+에서/JKB
펼쳐지는	펼쳐지/VV+는/ETM
전쟁	전쟁/NNG
드라마다.	드라마/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.72.3.4
그런데 개봉을 한 달 남기고 실제로 서부전선에서 지뢰·포격 도발이 일어나 남북이 준(準)전시 상황으로 치달았으니 영화보다 현실이 더 '극적'인 셈이었다.

그런데	그런데/MAJ
개봉을	개봉/NNG+을/JKO
한	한/MMN
달	달/NNB
남기고	남기/VV+고/EC
실제로	실제로/MAG
서부전선에서	서부/NNG+전선/NNG+에서/JKB
지뢰·포격	지뢰/NNG+·/SP+포격/NNG
도발이	도발/NNG+이/JKS
일어나	일어나/VV+아/EC
남북이	남북/NNP+이/JKS
준(準)전시	준/XPN+(/SS+準/SH+)/SS+전시/NNG
상황으로	상황/NNG+으로/JKB
치달았으니	치닫/VV+았/EP+으니/EC
영화보다	영화/NNG+보다/JKB
현실이	현실/NNG+이/JKS
더	더/MAG
'극적'인	'/SS+극/NNG+적/XSN+'/SS+이/VCP+ㄴ/ETM
셈이었다.	셈/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.72.4.1
"북한이 '48시간 안에 확성기 방송을 중단하라'고 못 박았을 때 한참 후반 작업을 하고 있었어요.

"북한이	"/SS+북한/NNP+이/JKS
'48시간	'/SS+48/SN+시간/NNB
안에	안/NNG+에/JKB
확성기	확성기/NNG
방송을	방송/NNG+을/JKO
중단하라'고	중단/NNG+하/XSV+라/EF+'/SS+고/JKQ
못	못/NNG
박았을	박/VV+았/EP+을/ETM
때	때/NNG
한참	한참/MAG
후반	후반/NNG
작업을	작업/NNG+을/JKO
하고	하/VV+고/EC
있었어요.	있/VX+었/EP+어요/EF+./SF


# id : NWRW1800000046.72.4.2
저희끼리 '그 시한까지 우리도 후반 작업을 미루자'는 농담을 주고받았습니다.

저희끼리	저희/NP+끼리/XSN
'그	'/SS+그/MMD
시한까지	시한/NNG+까지/JX
우리도	우리/NP+도/JX
후반	후반/NNG
작업을	작업/NNG+을/JKO
미루자'는	미루/VV+자/EF+'/SS+는/ETM
농담을	농담/NNG+을/JKO
주고받았습니다.	주고받/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000046.72.4.3
이 영화와 상관없이 속상한 일이었는데 잘 해결됐다니 천만다행이에요."

이	이/MMD
영화와	영화/NNG+와/JKB
상관없이	상관없이/MAG
속상한	속상하/VA+ㄴ/ETM
일이었는데	일/NNG+이/VCP+었/EP+는데/EC
잘	잘/MAG
해결됐다니	해결/NNG+되/XSV+었/EP+다니/EC
천만다행이에요."	천만다행/NNG+이/VCP+에요/EF+./SF+"/SS


# id : NWRW1800000046.72.5.1
25일 열린 '서부전선' 제작보고회에서 만난 천성일 감독은 "투자사·배급사에서 걱정을 많이 했다"며 이렇게 말했다.

25일	25/SN+일/NNB
열린	열리/VV+ㄴ/ETM
'서부전선'	'/SS+서부전선/NNP+'/SS
제작보고회에서	제작/NNG+보고회/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
천성일	천성일/NNP
감독은	감독/NNG+은/JX
"투자사·배급사에서	"/SS+투자사/NNG+·/SP+배급사/NNG+에서/JKB
걱정을	걱정/NNG+을/JKO
많이	많이/MAG
