# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.24
metadata : {}


# id : NWRW1800000026.24.1.1
대출이자, 단골은행 가면 더 깎아줘요;신용등급 관련 정보 은행에 먼저 알려야 회사 주거래은행에선 추가 우대할인도 제공

대출이자,	대출/NNG+이자/NNG+,/SP
단골은행	단골/NNG+은행/NNG
가면	가/VV+면/EC
더	더/MAG
깎아줘요;신용등급	깎/VV+아/EC+주/VX+어요/EF+;/SW+신용/NNG+등급/NNG
관련	관련/NNG
정보	정보/NNG
은행에	은행/NNG+에/JKB
먼저	먼저/MAG
알려야	알리/VV+어야/EC
회사	회사/NNG
주거래은행에선	주거래/NNG+은행/NNG+에서/JKB+ㄴ/JX
추가	추가/NNG
우대할인도	우대/NNG+할인/NNG+도/JX
제공	제공/NNG


# id : NWRW1800000026.24.2.1
대출금리는 여러 가지 요인에 따라 결정된다.

대출금리는	대출/NNG+금리/NNG+는/JX
여러	여러/MMN
가지	가지/NNB
요인에	요인/NNG+에/JKB
따라	따르/VV+아/EC
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.24.2.2
자신에게 유리한 조건을 찾아내 금융회사측에 제시할 수 있다면 비슷한 조건에서도 남들보다 더 싼 이자로 대출을 받을 수 있다.

자신에게	자신/NNG+에게/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
조건을	조건/NNG+을/JKO
찾아내	찾아내/VV+어/EC
금융회사측에	금융/NNG+회사/NNG+측/NNB+에/JKB
제시할	제시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다면	있/VA+다면/EC
비슷한	비슷하/VA+ㄴ/ETM
조건에서도	조건/NNG+에서/JKB+도/JX
남들보다	남/NNG+들/XSN+보다/JKB
더	더/MAG
싼	싸/VA+ㄴ/ETM
이자로	이자/NNG+로/JKB
대출을	대출/NNG+을/JKO
받을	받/VV+을/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.24.3.1
대출금리를 낮추기 위해 가장 먼저 신경 써야 할 부분은 신용등급이다.

대출금리를	대출/NNG+금리/NNG+를/JKO
낮추기	낮추/VV+기/ETN
위해	위하/VV+아/EC
가장	가장/MAG
먼저	먼저/MAG
신경	신경/NNG
써야	쓰/VV+어야/EC
할	하/VX+ㄹ/ETM
부분은	부분/NNG+은/JX
신용등급이다.	신용/NNG+등급/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.24.3.2
신용등급은 대출자의 소득, 상환실적, 자격증 등에 따라 달라지는데, 꾸준히 관리만 잘하면 자신의 신용등급을 한 단계씩 높여갈 수 있다.

신용등급은	신용/NNG+등급/NNG+은/JX
대출자의	대출자/NNG+의/JKG
소득,	소득/NNG+,/SP
상환실적,	상환/NNG+실적/NNG+,/SP
자격증	자격증/NNG
등에	등/NNB+에/JKB
따라	따르/VV+아/EC
달라지는데,	달라지/VV+는데/EC+,/SP
꾸준히	꾸준히/MAG
관리만	관리/NNG+만/JX
잘하면	잘/MAG+하/XSV+면/EC
자신의	자신/NNG+의/JKG
신용등급을	신용/NNG+등급/NNG+을/JKO
한	한/MMN
단계씩	단계/NNG+씩/XSN
높여갈	높이/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.24.4.1
우선 단골 은행을 정해놓고 집중적으로 이용하면 좋다.

우선	우선/MAG
단골	단골/NNG
은행을	은행/NNG+을/JKO
정해놓고	정하/VV+아/EC+놓/VX+고/EC
집중적으로	집중/NNG+적/XSN+으로/JKB
이용하면	이용/NNG+하/XSV+면/EC
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000026.24.4.2
직장인이라면 아무래도 꾸준히 돈이 들어오는 급여이체 통장을 주거래은행으로 정해 놓는 편이 유리하다.

직장인이라면	직장인/NNG+이/VCP+라면/EC
아무래도	아무래도/MAG
꾸준히	꾸준히/MAG
돈이	돈/NNG+이/JKS
들어오는	들어오/VV+는/ETM
급여이체	급여/NNG+이체/NNG
통장을	통장/NNG+을/JKO
주거래은행으로	주거래/NNG+은행/NNG+으로/JKB
정해	정하/VV+아/EC
놓는	놓/VX+는/ETM
편이	편/NNB+이/JKS
유리하다.	유리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.24.4.3
주거래은행 계좌를 카드 결제에 이용하는 것은 물론, 펀드에 가입하거나 인터넷뱅킹 등을 할 때도 집중적으로 이용하면 대출 시 유리하게 작용할 수 있다.

주거래은행	주거래/NNG+은행/NNG
계좌를	계좌/NNG+를/JKO
카드	카드/NNG
결제에	결제/NNG+에/JKB
이용하는	이용/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
물론,	물론/MAG+,/SP
펀드에	펀드/NNG+에/JKB
가입하거나	가입/NNG+하/XSV+거나/EC
인터넷뱅킹	인터넷/NNG+뱅킹/NNG
등을	등/NNB+을/JKO
할	하/VV+ㄹ/ETM
때도	때/NNG+도/JX
집중적으로	집중/NNG+적/XSN+으로/JKB
이용하면	이용/NNG+하/XSV+면/EC
대출	대출/NNG
시	시/NNB
유리하게	유리/NNG+하/XSA+게/EC
작용할	작용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.24.4.4
일반적으로 금융회사들은 가족들을 통합적으로 등록해서 관리하기 때문에 가족거래를 특정 은행에 집중시키면 개인 신용도 올라갈 수 있다.

일반적으로	일반/NNG+적/XSN+으로/JKB
금융회사들은	금융/NNG+회사/NNG+들/XSN+은/JX
가족들을	가족/NNG+들/XSN+을/JKO
통합적으로	통합/NNG+적/XSN+으로/JKB
등록해서	등록/NNG+하/XSV+아서/EC
관리하기	관리/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
가족거래를	가족/NNG+거래/NNG+를/JKO
특정	특정/NNG
은행에	은행/NNG+에/JKB
집중시키면	집중/NNG+시키/XSV+면/EC
개인	개인/NNG
신용도	신용/NNG+도/JX
올라갈	올라가/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.24.4.5
