# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.293
metadata : {}


# id : NWRW1800000038.293.1.1
[만물상] 英雄 엄마

[만물상]	[/SS+만물상/NNG+]/SS
英雄	英雄/SH
엄마	엄마/NNG


# id : NWRW1800000038.293.2.1
런던에 사는 스물세 살 청년 바질이 지난 22일 트위터에 오른 사진을 우연히 봤다.

런던에	런던/NNP+에/JKB
사는	살/VV+는/ETM
스물세	스물세/MMN
살	살/NNB
청년	청년/NNG
바질이	바질/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
트위터에	트위터/NNP+에/JKB
오른	오르/VV+ㄴ/ETM
사진을	사진/NNG+을/JKO
우연히	우연히/MAG
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.2.2
런던 남쪽 울위치에서 이슬람 과격분자인 흑인 청년 둘이 영국 군인을 칼로 난자해 살해한 현장을 목격자가 찍어 올린 사진이었다.

런던	런던/NNP
남쪽	남쪽/NNG
울위치에서	울위치/NNP+에서/JKB
이슬람	이슬람/NNG
과격분자인	과격분자/NNG+이/VCP+ㄴ/ETM
흑인	흑인/NNG
청년	청년/NNG
둘이	둘/NR+이/JKS
영국	영국/NNP
군인을	군인/NNG+을/JKO
칼로	칼/NNG+로/JKB
난자해	난자/NNG+하/XSV+아/EC
살해한	살해/NNG+하/XSV+ㄴ/ETM
현장을	현장/NNG+을/JKO
목격자가	목격자/NNG+가/JKS
찍어	찍/VV+어/EC
올린	올리/VV+ㄴ/ETM
사진이었다.	사진/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.293.2.3
중년 백인 여성이 피 묻은 칼을 든 범인과 마주 서서 범인을 설득하고 있었다.

중년	중년/NNG
백인	백인/NNG
여성이	여성/NNG+이/JKS
피	피/NNG
묻은	묻/VV+은/ETM
칼을	칼/NNG+을/JKO
든	들/VV+ㄴ/ETM
범인과	범인/NNG+과/JKB
마주	마주/MAG
서서	서/VV+어서/EC
범인을	범인/NNG+을/JKO
설득하고	설득/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.293.2.4
바질이 놀라 외쳤다.

바질이	바질/NNP+이/JKS
놀라	놀라/VV+아/EC
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.293.2.5
"우리 엄마잖아." 그의 어머니는 마흔여덟 살 잉그리드 로요-케네트.

"우리	"/SS+우리/NP
엄마잖아."	엄마/NNG+이/VCP+잖아/EF+./SF+"/SS
그의	그/NP+의/JKG
어머니는	어머니/NNG+는/JX
마흔여덟	마흔여덟/NR
살	살/NNB
잉그리드	잉그리드/NNP
로요-케네트.	로요/NNP+-/SO+케네트/NNP+./SF


# id : NWRW1800000038.293.2.6
이혼하고 바질 남매를 홀로 키워 왔다.

이혼하고	이혼/NNG+하/XSV+고/EC
바질	바질/NNP
남매를	남매/NNG+를/JKO
홀로	홀로/MAG
키워	키우/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.293.2.7
전직 교사인 그녀는 어린이 스카우트단을 지도하며 산다.

전직	전직/NNG
교사인	교사/NNG+이/VCP+ㄴ/ETM
그녀는	그녀/NP+는/JX
어린이	어린이/NNG
스카우트단을	스카우트단/NNG+을/JKO
지도하며	지도/NNG+하/XSV+며/EC
산다.	살/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.293.3.1
▶로요-케네트는 영국 병사가 쓰러진 현장을 버스를 타고 지나다 서둘러 내렸다.

▶로요-케네트는	▶/SW+로요/NNP+-/SO+케네트/NNP+는/JX
영국	영국/NNP
병사가	병사/NNG+가/JKS
쓰러진	쓰러지/VV+ㄴ/ETM
현장을	현장/NNG+을/JKO
버스를	버스/NNG+를/JKO
타고	타/VV+고/EC
지나다	지나/VV+다/EC
서둘러	서두르/VV+어/EC
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.293.3.2
교통사고가 난 줄 알고 병사에게 뛰어가 응급 처치를 하려 했다.

교통사고가	교통사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
줄	줄/NNB
알고	알/VV+고/EC
병사에게	병사/NNG+에게/JKB
뛰어가	뛰어가/VV+아/EC
응급	응급/NNG
처치를	처치/NNG+를/JKO
하려	하/VV+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.293.3.3
그녀는 병사가 끔찍하게 살해된 것을 확인하고 범인들에게 다가갔다.

그녀는	그녀/NP+는/JX
병사가	병사/NNG+가/JKS
끔찍하게	끔찍하/VA+게/EC
살해된	살해/NNG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
범인들에게	범인/NNG+들/XSN+에게/JKB
다가갔다.	다가가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.3.4
"원하는 게 뭐냐"며 20분 가까이 말을 주고받았다.

"원하는	"/SS+원/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
뭐냐"며	뭐/NP+이/VCP+냐/EF+"/SS+며/EC
20분	20/SN+분/NNB
가까이	가까이/MAG
말을	말/NNG+을/JKO
주고받았다.	주고받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.3.5
그녀는 경찰이 뒤늦게 달려오자 몸을 피했다.

그녀는	그녀/NP+는/JX
경찰이	경찰/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
달려오자	달려오/VV+자/EC
몸을	몸/NNG+을/JKO
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.3.6
범인이 총에 맞고 체포되는 것을 본 뒤 버스를 타고 집으로 갔다.

범인이	범인/NNG+이/JKS
총에	총/NNG+에/JKB
맞고	맞/VV+고/EC
체포되는	체포/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
버스를	버스/NNG+를/JKO
타고	타/VV+고/EC
집으로	집/NNG+으로/JKB
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.4.1
▶언론이 그녀를 찾으려고 애가 탔다.

▶언론이	▶/SW+언론/NNG+이/JKS
그녀를	그녀/NP+를/JKO
찾으려고	찾/VV+으려고/EC
애가	애/NNG+가/JKS
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.4.2
아들 바질이 트위터에 글을 올렸다.

아들	아들/NNG
바질이	바질/NNP+이/JKS
트위터에	트위터/NNP+에/JKB
글을	글/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.293.4.3
"내가 조금도 생각지 못한 일이 일어났다.

"내가	"/SS+내/NP+가/JKS
조금도	조금/NNG+도/JX
생각지	생각/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
일이	일/NNG+이/JKS
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.4.4
이 도시에 테러가 일어나고 그 많은 사람 중에서 우리 엄마가 테러범에게 말을 걸었다."

이	이/MMD
도시에	도시/NNG+에/JKB
테러가	테러/NNG+가/JKS
일어나고	일어나/VV+고/EC
그	그/MMD
많은	많/VA+은/ETM
사람	사람/NNG
중에서	중/NNB+에서/JKB
우리	우리/NP
엄마가	엄마/NNG+가/JKS
테러범에게	테러범/NNG+에게/JKB
말을	말/NNG+을/JKO
걸었다."	걸/VV+었/EP+다/EF+./SF+"/SS


# id : NWRW1800000038.293.4.5
언론은 비로소 '시민 영웅' 로요-케네트를 찾아냈다.

언론은	언론/NNG+은/JX
비로소	비로소/MAG
'시민	'/SS+시민/NNG
영웅'	영웅/NNG+'/SS
로요-케네트를	로요/NNP+-/SO+케네트/NNP+를/JKO
찾아냈다.	찾아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.293.4.6
가톨릭 신자인 그녀는 "평생 기독교인으로 살아왔다. 우리는 서로를 도울 의무가 있다"고 했다.

가톨릭	가톨릭/NNG
신자인	신자/NNG+이/VCP+ㄴ/ETM
그녀는	그녀/NP+는/JX
"평생	"/SS+평생/NNG
기독교인으로	기독교인/NNG+으로/JKB
살아왔다.	살아오/VV+았/EP+다/EF+./SF
우리는	우리/NP+는/JX
서로를	서로/NNG+를/JKO
도울	돕/VV+ㄹ/ETM
의무가	의무/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.4.7
"범인이 흥분했지만 술이나 약에 취하진 않아 대화할 수 있다고 판단했기에 무섭지 않았다"고 했다.

"범인이	"/SS+범인/NNG+이/JKS
흥분했지만	흥분/NNG+하/XSV+았/EP+지만/EC
술이나	술/NNG+이나/JC
약에	약/NNG+에/JKB
취하진	취하/VV+지/EC+ㄴ/JX
않아	않/VX+아/EC
대화할	대화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
판단했기에	판단/NNG+하/XSV+았/EP+기에/EC
무섭지	무섭/VA+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.5.1
▶그녀는 하굣길 어린이들이 엄마 손을 잡고 지나가는 것을 보며 '아이들보다 내가 당하는 게 더 낫다'고 생각했다.

▶그녀는	▶/SW+그녀/NP+는/JX
하굣길	하굣길/NNG
어린이들이	어린이/NNG+들/XSN+이/JKS
엄마	엄마/NNG
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
지나가는	지나가/VV+는/ETM
것을	것/NNB+을/JKO
보며	보/VV+며/EC
'아이들보다	'/SS+아이/NNG+들/XSN+보다/JKB
내가	내/NP+가/JKS
당하는	당하/VV+는/ETM
게	거/NNB+이/JKS
더	더/MAG
낫다'고	낫/VA+다/EF+'/SS+고/JKQ
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.293.5.2
그래서 범인이 자기에게만 집중하도록 자꾸 말을 걸었다.

그래서	그래서/MAJ
범인이	범인/NNG+이/JKS
자기에게만	자기/NP+에게/JKB+만/JX
집중하도록	집중/NNG+하/XSV+도록/EC
자꾸	자꾸/MAG
말을	말/NNG+을/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.293.5.3
현장에는 60명이 넘게 서성거렸다.

현장에는	현장/NNG+에/JKB+는/JX
60명이	60/SN+명/NNB+이/JKS
넘게	넘/VV+게/EC
서성거렸다.	서성거리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.293.5.4
그녀는 "사람들이 도와줄 생각은 않고 구경만 하거나 휴대전화로 사진을 찍기만 해 슬펐다"고 했다.

그녀는	그녀/NP+는/JX
"사람들이	"/SS+사람/NNG+들/XSN+이/JKS
도와줄	도와주/VV+ㄹ/ETM
생각은	생각/NNG+은/JX
않고	않/VV+고/EC
구경만	구경/NNG+만/JX
하거나	하/VV+거나/EC
휴대전화로	휴대/NNG+전화/NNG+로/JKB
사진을	사진/NNG+을/JKO
찍기만	찍/VV+기/ETN+만/JX
해	하/VX+아/EC
