# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.252
metadata : {}


# id : NWRW1800000056.252.1.1
[단독] 서울시 ‘어공’ 41명이 의회에 증인으로 나가는 이유는?

[단독]	[/SS+단독/NNG+]/SS
서울시	서울시/NNP
‘어공’	‘/SS+어공/NNG+’/SS
41명이	41/SN+명/NNB+이/JKS
의회에	의회/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
나가는	나가/VV+는/ETM
이유는?	이유/NNG+는/JX+?/SF


# id : NWRW1800000056.252.2.1
시 의회, 유례없는 41명 개방형 공무원 증인 요구

시	시/NNG
의회,	의회/NNG+,/SP
유례없는	유례없/VA+는/ETM
41명	41/SN+명/NNB
개방형	개방/NNG+형/XSN
공무원	공무원/NNG
증인	증인/NNG
요구	요구/NNG


# id : NWRW1800000056.252.3.1
서울시가 자료 제출 때 일부 정보 공개하지 않아

서울시가	서울시/NNP+가/JKS
자료	자료/NNG
제출	제출/NNG
때	때/NNG
일부	일부/NNG
정보	정보/NNG
공개하지	공개/NNG+하/XSV+지/EC
않아	않/VX+아/EF


# id : NWRW1800000056.252.4.1
서울시 “행안부 유권해석 따라 사생활 보호한 것”

서울시	서울시/NNP
“행안부	“/SS+행안부/NNG
유권해석	유권/NNG+해석/NNG
따라	따르/VV+아/EC
사생활	사생활/NNG
보호한	보호/NNG+하/XSV+ㄴ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000056.252.5.1
의회 “공무원의 업무 관련 정보는 보호 대상 아냐”

의회	의회/NNG
“공무원의	“/SS+공무원/NNG+의/JKG
업무	업무/NNG
관련	관련/NNG
정보는	정보/NNG+는/JX
보호	보호/NNG
대상	대상/NNG
아냐”	아니/VCN+야/EF+”/SS


# id : NWRW1800000056.252.6.1
서울시 의회가 서기관급 이상 서울시 공무원 41명을 증인으로 출석을 요구해 논란을 일으키고 있다.

서울시	서울시/NNP
의회가	의회/NNG+가/JKS
서기관급	서기관급/NNG
이상	이상/NNG
공무원	공무원/NNG
41명을	41/SN+명/NNB+을/JKO
증인으로	증인/NNG+으로/JKB
출석을	출석/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
논란을	논란/NNG+을/JKO
일으키고	일으키/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.252.6.2
이들 모두는 공무원 출신이 아니라 전문성 등이 필요한 자리에 임용된 개방형 공무원으로, 이른바 ‘어공’(어쩌다 공무원)이다.

이들	이/NP+들/XSN
모두는	모두/NNG+는/JX
공무원	공무원/NNG
출신이	출신/NNG+이/JKC
아니라	아니/VCN+라/EC
전문성	전문/NNG+성/XSN
등이	등/NNB+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
자리에	자리/NNG+에/JKB
임용된	임용/NNG+되/XSV+ㄴ/ETM
개방형	개방/NNG+형/XSN
공무원으로,	공무원/NNG+으로/JKB+,/SP
이른바	이른바/MAG
‘어공’(어쩌다	‘/SS+어공/NNG+’/SS+(/SS+어쩌다/MAG
공무원)이다.	공무원/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000056.252.6.3
의회는 서울시가 자료를 불성실하게 제출했다고 비판했고, 서울시는 의회 요구가 지나치다는 반응을 보이고 있다.

의회는	의회/NNG+는/JX
서울시가	서울시/NNP+가/JKS
자료를	자료/NNG+를/JKO
불성실하게	불/XPN+성실/NNG+하/XSA+게/EC
제출했다고	제출/NNG+하/XSV+았/EP+다고/EC
비판했고,	비판/NNG+하/XSV+았/EP+고/EC+,/SP
서울시는	서울시/NNP+는/JX
의회	의회/NNG
요구가	요구/NNG+가/JKS
지나치다는	지나치/VA+다는/ETM
반응을	반응/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.252.7.1
지난 8일 서울시 의회 기획경제위원회는 15일 오전 열리는 기획조정실 행정사무감사에 41명의 공무원 증인을 신청했다.

지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
서울시	서울시/NNP
의회	의회/NNG
기획경제위원회는	기획/NNG+경제/NNG+위원회/NNG+는/JX
15일	15/SN+일/NNB
오전	오전/NNG
열리는	열리/VV+는/ETM
기획조정실	기획/NNG+조정실/NNG
행정사무감사에	행정/NNG+사무/NNG+감사/NNG+에/JKB
41명의	41/SN+명/NNB+의/JKG
공무원	공무원/NNG
증인을	증인/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.252.7.2
이들은 모두 서기관(4급) 이상 개방형 공무원이다.

이들은	이/NP+들/XSN+은/JX
모두	모두/MAG
서기관(4급)	서기관/NNG+(/SS+4/SN+급/NNG+)/SS
이상	이상/NNG
개방형	개방/NNG+형/XSN
공무원이다.	공무원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.252.7.3
의회가 공무원 41명을 한꺼번에 증인으로 부른 것은 유례가 없는 일이다.

의회가	의회/NNG+가/JKS
공무원	공무원/NNG
41명을	41/SN+명/NNB+을/JKO
한꺼번에	한꺼번에/MAG
증인으로	증인/NNG+으로/JKB
부른	부르/VV+ㄴ/ETM
것은	것/NNB+은/JX
유례가	유례/NNG+가/JKS
없는	없/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.252.7.4
서울시 윤준병 기획조정실장은 “의회 상임위가 서울시 공무원의 증인 출석을 요구했고, 우리는 따를 것”이라고 밝혔다.

서울시	서울시/NNP
윤준병	윤준병/NNP
기획조정실장은	기획/NNG+조정실장/NNG+은/JX
“의회	“/SS+의회/NNG
상임위가	상임위/NNG+가/JKS
공무원의	공무원/NNG+의/JKG
증인	증인/NNG
출석을	출석/NNG+을/JKO
요구했고,	요구/NNG+하/XSV+았/EP+고/EC+,/SP
우리는	우리/NP+는/JX
따를	따르/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.252.8.1
시 의회가 공무원 41명을 증인으로 부른 것은 자료 제출과 관련한 논란 때문이다.

시	시/NNG
의회가	의회/NNG+가/JKS
공무원	공무원/NNG
41명을	41/SN+명/NNB+을/JKO
증인으로	증인/NNG+으로/JKB
부른	부르/VV+ㄴ/ETM
것은	것/NNB+은/JX
자료	자료/NNG
제출과	제출/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
논란	논란/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.252.8.2
애초 시 의회 기획경제위는 이번 행정감사에서 박원순 시장 취임 뒤 채용된 개방형 전·현직 공무원 141명의 이름과 직위, 업무, 경력, 연봉 등 자료를 요구했다.

애초	애초/NNG
시	시/NNG
의회	의회/NNG
기획경제위는	기획/NNG+경제위/NNG+는/JX
이번	이번/NNG
행정감사에서	행정/NNG+감사/NNG+에서/JKB
박원순	박원순/NNP
시장	시장/NNG
취임	취임/NNG
뒤	뒤/NNG
채용된	채용/NNG+되/XSV+ㄴ/ETM
개방형	개방/NNG+형/XSN
전·현직	전·현직/NNG
공무원	공무원/NNG
141명의	141/SN+명/NNB+의/JKG
이름과	이름/NNG+과/JC
직위,	직위/NNG+,/SP
업무,	업무/NNG+,/SP
경력,	경력/NNG+,/SP
연봉	연봉/NNG
등	등/NNB
자료를	자료/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.252.8.3
그런데 서울시는 이 자료를 제출하면서 이들의 성씨만 노출하고, 이름과 연봉은 공개하지 않았다.

그런데	그런데/MAJ
서울시는	서울시/NNP+는/JX
이	이/MMD
자료를	자료/NNG+를/JKO
제출하면서	제출/NNG+하/XSV+면서/EC
이들의	이/NP+들/XSN+의/JKG
성씨만	성씨/NNG+만/JX
노출하고,	노출/NNG+하/XSV+고/EC+,/SP
이름과	이름/NNG+과/JC
연봉은	연봉/NNG+은/JX
공개하지	공개/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.252.8.4
그러자 기획경제위는 지난 6일 “불성실한 자료로 행정감사를 방해한다”며 4급 이상 전원을 증인으로 불렀고, 윤준병 기조실장에겐 과태료를 부과하기로 결정했다.

그러자	그러/VV+자/EC
기획경제위는	기획/NNG+경제위/NNG+는/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
