# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.333
metadata : {}


# id : NWRW1800000025.333.1.1
“5년간 2만명 기부 동참… 재활센터 내년 첫 삽”

“5년간	“/SS+5/SN+년/NNB+간/XSN
2만명	2/SN+만/NR+명/NNB
기부	기부/NNG
동참…	동참/NNG+…/SE
재활센터	재활/NNG+센터/NNG
내년	내년/NNG
첫	첫/MMN
삽”	삽/NNG+”/SS


# id : NWRW1800000025.333.2.1
‘지금 우리들 참 좋은 인연의 씨앗은 썩어/꿈의 싹이 돋습니다/목표를 세우면 목표가 우리를 이끌어 희망의 꽃을 피웁니다’(정호승 시인, 푸르메재단 창립 5주년 기념 축시)

‘지금	‘/SS+지금/MAG
우리들	우리/NP+들/XSN
참	참/MAG
좋은	좋/VA+은/ETM
인연의	인연/NNG+의/JKG
씨앗은	씨앗/NNG+은/JX
썩어/꿈의	썩/VV+어/EC+//SP+꿈/NNG+의/JKG
싹이	싹/NNG+이/JKS
돋습니다/목표를	돋/VV+습니다/EF+//SP+목표/NNG+를/JKO
세우면	세우/VV+면/EC
목표가	목표/NNG+가/JKS
우리를	우리/NP+를/JKO
이끌어	이끌/VV+어/EC
희망의	희망/NNG+의/JKG
꽃을	꽃/NNG+을/JKO
피웁니다’(정호승	피우/VV+ㅂ니다/EF+’/SS+(/SS+정호승/NNP
시인,	시인/NNG+,/SP
푸르메재단	푸르메재단/NNP
창립	창립/NNG
5주년	5/SN+주년/NNB
기념	기념/NNG
축시)	축시/NNG+)/SS


# id : NWRW1800000025.333.3.1
의료복지법인 푸르메재단이 창립 5주년을 맞아 17일 오후 7시 서울 중구 을지로 외환은행 본점 강당에서 ‘후원의 밤’ 행사를 열었다.

의료복지법인	의료/NNG+복지/NNG+법인/NNG
푸르메재단이	푸르메재단/NNP+이/JKS
창립	창립/NNG
5주년을	5/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
17일	17/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
서울	서울/NNP
중구	중구/NNP
을지로	을지로/NNP
외환은행	외환은행/NNP
본점	본점/NNG
강당에서	강당/NNG+에서/JKB
‘후원의	‘/SS+후원/NNG+의/JKG
밤’	밤/NNG+’/SS
행사를	행사/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.333.3.2
백경학 푸르메재단 이사는 “2만여 명이 모아주신 기부금을 종잣돈으로 내년 4월 종로 푸르메재활센터를 착공한다”며 “지하 사무실에서 낡은 책상 2개로 시작한 나눔이 기적을 싹틔웠다”고 말했다.

백경학	백경학/NNP
푸르메재단	푸르메재단/NNP
이사는	이사/NNG+는/JX
“2만여	“/SS+2/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
모아주신	모으/VV+아/EC+주/VX+시/EP+ㄴ/ETM
기부금을	기부금/NNG+을/JKO
종잣돈으로	종잣돈/NNG+으로/JKB
내년	내년/NNG
4월	4/SN+월/NNB
종로	종로/NNP
푸르메재활센터를	푸르메재활센터/NNP+를/JKO
착공한다”며	착공/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“지하	“/SS+지하/NNG
사무실에서	사무실/NNG+에서/JKB
낡은	낡/VV+은/ETM
책상	책상/NNG
2개로	2/SN+개/NNB+로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
나눔이	나누/VV+ㅁ/ETN+이/JKS
기적을	기적/NNG+을/JKO
싹틔웠다”고	싹/NNG+틔우/VV+었/EP+다/EF+”/SS+고/JKQ
