# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.407
metadata : {}


# id : NWRW1800000022.407.1.1
中, 역도선수권 金 18개중 13개 차지

中,	中/SH+,/SP
역도선수권	역도/NNG+선수/NNG+권/XSN
金	金/SH
18개중	18/SN+개/NNB+중/NNB
13개	13/SN+개/NNB
차지	차지/NNG


# id : NWRW1800000022.407.2.1
경기도 고양시에서 진행 중인 2009세계역도선수권대회는 한마디로 '중국 천하'다.

경기도	경기도/NNP
고양시에서	고양시/NNP+에서/JKB
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
2009세계역도선수권대회는	2009/SN+세계/NNG+역도/NNG+선수/NNG+권/XSN+대회/NNG+는/JX
한마디로	한마디/NNG+로/JKB
'중국	'/SS+중국/NNP
천하'다.	천하/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.407.2.2
중국의 리쉬에잉은 23일 여자 58㎏급 경기에서 인상(107㎏), 용상(132㎏), 합계(239㎏)에서 모두 금메달을 땄다.

중국의	중국/NNP+의/JKG
리쉬에잉은	리쉬에잉/NNP+은/JX
23일	23/SN+일/NNB
여자	여자/NNG
58㎏급	58/SN+㎏/SW+급/NNG
경기에서	경기/NNG+에서/JKB
인상(107㎏),	인상/NNG+(/SS+107/SN+㎏/SW+)/SS+,/SP
용상(132㎏),	용상/NNG+(/SS+132/SN+㎏/SW+)/SS+,/SP
합계(239㎏)에서	합계/NNG+(/SS+239/SN+㎏/SW+)/SS+에서/JKB
모두	모두/MAG
금메달을	금메달/NNG+을/JKO
땄다.	따/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.407.3.1
이로써 중국은 이날까지 열린 6체급 18개의 금메달 중 13개를 휩쓸었다.

이로써	이/NP+로써/JKB
중국은	중국/NNP+은/JX
이날까지	이날/NNG+까지/JX
열린	열리/VV+ㄴ/ETM
6체급	6/SN+체급/NNG
18개의	18/SN+개/NNB+의/JKG
금메달	금메달/NNG
중	중/NNB
13개를	13/SN+개/NNB+를/JKO
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.407.3.2
중국은 여자 53㎏급에서만 합계 부문 금메달을 놓쳤다.

중국은	중국/NNP+은/JX
여자	여자/NNG
53㎏급에서만	53/SN+㎏/SW+급/NNG+에서/JKB+만/JX
합계	합계/NNG
부문	부문/NNG
금메달을	금메달/NNG+을/JKO
놓쳤다.	놓치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.407.3.3
합계 기록만으로 시상하는 올림픽이었다면 금메달 6개 중 5개를 휩쓴 것이다.

합계	합계/NNG
기록만으로	기록/NNG+만/JX+으로/JKB
시상하는	시상/NNG+하/XSV+는/ETM
올림픽이었다면	올림픽/NNG+이/VCP+었/EP+다면/EC
금메달	금메달/NNG
6개	6/SN+개/NNB
중	중/NNB
5개를	5/SN+개/NNB+를/JKO
휩쓴	휩쓸/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.407.4.1
24일 열리는 남자 77㎏급 경기는 올림픽 금메달리스트 사재혁(강원도청)과 중국 신예들의 대결이다.

24일	24/SN+일/NNB
열리는	열리/VV+는/ETM
남자	남자/NNG
77㎏급	77/SN+㎏/SW+급/NNG
경기는	경기/NNG+는/JX
올림픽	올림픽/NNG
금메달리스트	금메달리스트/NNG
사재혁(강원도청)과	사재혁/NNP+(/SS+강원도청/NNP+)/SS+과/JC
중국	중국/NNP
신예들의	신예/NNG+들/XSN+의/JKG
대결이다.	대결/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.407.4.2
출전 명단에 오른 수다진과 뤼샤오쥔은 지난달 중국 전국체전에서 사재혁의 올림픽 합계 기록(366㎏)보다 7~8㎏ 좋은 기록으로 1·2위를 차지했다.

출전	출전/NNG
명단에	명단/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
수다진과	수다진/NNP+과/JC
뤼샤오쥔은	뤼샤오쥔/NNP+은/JX
지난달	지난달/NNG
중국	중국/NNP
전국체전에서	전국/NNG+체전/NNG+에서/JKB
사재혁의	사재혁/NNP+의/JKG
올림픽	올림픽/NNG
합계	합계/NNG
기록(366㎏)보다	기록/NNG+(/SS+366/SN+㎏/SW+)/SS+보다/JKB
7~8㎏	7/SN+~/SO+8/SN+㎏/SW
좋은	좋/VA+은/ETM
기록으로	기록/NNG+으로/JKB
1·2위를	1/SN+·/SP+2/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.407.4.3
사재혁은 "중국 선수들의 기록에 자극받았다. 올림픽보다 좋은 성적을 내겠다"고 다짐했다.

사재혁은	사재혁/NNP+은/JX
"중국	"/SS+중국/NNP
선수들의	선수/NNG+들/XSN+의/JKG
기록에	기록/NNG+에/JKB
자극받았다.	자극/NNG+받/XSV+았/EP+다/EF+./SF
올림픽보다	올림픽/NNG+보다/JKB
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
내겠다"고	내/VV+겠/EP+다/EF+"/SS+고/JKQ
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


