# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.63
metadata : {}


# id : NWRW1800000033.63.1.1
한국, 이란 원유수입 단계 축소 불가피

한국,	한국/NNP+,/SP
이란	이란/NNP
원유수입	원유/NNG+수입/NNG
단계	단계/NNG
축소	축소/NNG
불가피	불가피/XR


# id : NWRW1800000033.63.2.1
미국이 중국 일본 등 주요국에 대(對)이란 제재 동참 압박수위를 높이면서 한국도 이란산 원유 수입에 차질을 빚을 가능성이 커졌다.

미국이	미국/NNP+이/JKS
중국	중국/NNP
일본	일본/NNP
등	등/NNB
주요국에	주요국/NNG+에/JKB
대(對)이란	대/NA+(/SS+對/SH+)/SS+이란/NNP
제재	제재/NNG
동참	동참/NNG
압박수위를	압박/NNG+수위/NNG+를/JKO
높이면서	높이/VV+면서/EC
한국도	한국/NNP+도/JX
이란산	이란/NNG+산/XSN
원유	원유/NNG
수입에	수입/NNG+에/JKB
차질을	차질/NNG+을/JKO
빚을	빚/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.63.2.2
이에 따라 한국 경제의 충격이 불가피할 것으로 전망된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
한국	한국/NNP
경제의	경제/NNG+의/JKG
충격이	충격/NNG+이/JKS
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.63.3.1
일본 언론들은 일본 정부가 이란산 원유 수입을 대폭 줄이는 방향으로 석유업계와 조율 중이라고 전했다.

일본	일본/NNP
언론들은	언론/NNG+들/XSN+은/JX
정부가	정부/NNG+가/JKS
이란산	이란/NNG+산/XSN
원유	원유/NNG
수입을	수입/NNG+을/JKO
대폭	대폭/MAG
줄이는	줄이/VV+는/ETM
방향으로	방향/NNG+으로/JKB
석유업계와	석유업/NNG+계/XSN+와/JKB
조율	조율/NNG
중이라고	중/NNB+이/VCP+라고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.63.3.2
교도통신에 따르면 아즈미 준(安住淳) 일본 재무상은 12일 일본을 방문 중인 티머시 가이트너 미국 재무장관에게 “국내 사정에 맞춰 이란으로부터의 원유 수입을 계획적, 단계적으로 줄이겠다”고 밝혔다.

교도통신에	교도통신/NNP+에/JKB
따르면	따르/VV+면/EC
아즈미	아즈미/NNP
준(安住淳)	준/NNP+(/SS+安住淳/SH+)/SS
일본	일본/NNP
재무상은	재무상/NNG+은/JX
12일	12/SN+일/NNB
일본을	일본/NNP+을/JKO
방문	방문/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
티머시	티머시/NNP
가이트너	가이트너/NNP
미국	미국/NNP
재무장관에게	재무/NNG+장관/NNG+에게/JKB
“국내	“/SS+국내/NNG
사정에	사정/NNG+에/JKB
맞춰	맞추/VV+어/EC
이란으로부터의	이란/NNP+으로부터/JKB+의/JKG
원유	원유/NNG
수입을	수입/NNG+을/JKO
계획적,	계획/NNG+적/XSN+,/SP
단계적으로	단계/NNG+적/XSN+으로/JKB
줄이겠다”고	줄이/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.63.3.3
일본은 이란 대신 사우디아라비아, 아랍에미리트(UAE) 등으로부터 원유를 조달할 수 있을지 타진하고 있다.

일본은	일본/NNP+은/JX
이란	이란/NNP
대신	대신/NNG
사우디아라비아,	사우디아라비아/NNP+,/SP
아랍에미리트(UAE)	아랍에미리트/NNP+(/SS+UAE/SL+)/SS
등으로부터	등/NNB+으로부터/JKB
원유를	원유/NNG+를/JKO
조달할	조달/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
타진하고	타진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.63.4.1
유럽의 정유사들도 이란산 석유 수입을 중단하라는 압박에 따라 이란과 본격적인 ‘거리 두기’를 시작했다고 이날 영국 파이낸셜타임스(FT)가 보도했다.

유럽의	유럽/NNP+의/JKG
정유사들도	정유사/NNG+들/XSN+도/JX
이란산	이란/NNG+산/XSN
석유	석유/NNG
수입을	수입/NNG+을/JKO
중단하라는	중단/NNG+하/XSV+라는/ETM
압박에	압박/NNG+에/JKB
따라	따르/VV+아/EC
이란과	이란/NNP+과/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
‘거리	‘/SS+거리/NNG
두기’를	두/VV+기/ETN+’/SS+를/JKO
시작했다고	시작/NNG+하/XSV+았/EP+다고/EC
이날	이날/NNG
영국	영국/NNP
파이낸셜타임스(FT)가	파이낸셜타임스/NNP+(/SS+FT/SL+)/SS+가/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.63.4.2
유럽의 일부 정유사는 계약 불이행 위약금이 있는 기존 계약에 따라 원유를 공급받고 있을 뿐, 이란과 새로운 계약은 하지 않고 있다.

유럽의	유럽/NNP+의/JKG
일부	일부/NNG
정유사는	정유사/NNG+는/JX
계약	계약/NNG
불이행	불/XPN+이행/NNG
위약금이	위약금/NNG+이/JKS
있는	있/VA+는/ETM
기존	기존/NNG
계약에	계약/NNG+에/JKB
따라	따르/VV+아/EC
원유를	원유/NNG+를/JKO
공급받고	공급/NNG+받/XSV+고/EC
있을	있/VX+을/ETM
뿐,	뿐/NNB+,/SP
