# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.128
metadata : {}


# id : NWRW1800000041.128.1.1
[책의 향기/책 vs 책]3박자 갖춰야 ‘시청률의 마술사’

[책의	[/SS+책/NNG+의/JKG
향기/책	향기/NNG+//SP+책/NNG
vs	vs/SL
책]3박자	책/NNG+]/SS+3/SN+박자/NNG
갖춰야	갖추/VV+어야/EC
‘시청률의	‘/SS+시청/NNG+률/XSN+의/JKG
마술사’	마술사/NNG+’/SS


# id : NWRW1800000041.128.2.1
◇피디란 무엇인가/이정식 외 41인 지음/한국PD연합회 엮음/484쪽·2만2000원·김영사ON ◇확장하는 PD와의 대화/홍경수 지음/352쪽·1만5000원·사람in

◇피디란	◇/SW+피디/NNG+란/JX
무엇인가/이정식	무엇/NP+이/VCP+ㄴ가/EF+//SP+이정식/NNP
외	외/NNB
41인	41/SN+인/NNG
지음/한국PD연합회	짓/VV+음/ETN+//SP+한국PD연합회/NNP
엮음/484쪽·2만2000원·김영사ON	엮/VV+음/ETN+//SP+484/SN+쪽/NNG+·/SP+2/SN+만/NR+2000/SN+원/NNB+·/SP+김영사/NNP+ON/SL
◇확장하는	◇/SW+확장/NNG+하/XSV+는/ETM
PD와의	PD/SL+와/JKB+의/JKG
대화/홍경수	대화/NNG+//SP+홍경수/NNP
지음/352쪽·1만5000원·사람in	짓/VV+음/ETN+//SP+352/SN+쪽/NNG+·/SP+1/SN+만/NR+5000/SN+원/NNB+·/SP+사람in/NNP


# id : NWRW1800000041.128.3.1
MBC ‘무한도전’의 김태호 PD는 진행자 유재석 못지않은 유명 인사다.

MBC	MBC/SL
‘무한도전’의	‘/SS+무한/NNG+도전/NNG+’/SS+의/JKG
김태호	김태호/NNP
PD는	PD/SL+는/JX
진행자	진행자/NNG
유재석	유재석/NNP
못지않은	못지않/VA+은/ETM
유명	유명/NNG
인사다.	인사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.128.3.2
그의 트위터 팔로어는 60만 명이 넘고 연예매체들은 그의 발언과 행보를 주목한다.

그의	그/NP+의/JKG
트위터	트위터/NNP
팔로어는	팔로어/NNG+는/JX
60만	60/SN+만/NR
명이	명/NNB+이/JKS
넘고	넘/VV+고/EC
연예매체들은	연예/NNG+매체/NNG+들/XSN+은/JX
발언과	발언/NNG+과/JC
행보를	행보/NNG+를/JKO
주목한다.	주목/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.128.3.3
채널A 이영돈 전무는 진행자로서도 인기를 누린다.

채널A	채널A/NNP
이영돈	이영돈/NNP
전무는	전무/NNG+는/JX
진행자로서도	진행자/NNG+로서/JKB+도/JX
인기를	인기/NNG+를/JKO
누린다.	누리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.128.3.4
그는 ‘이영돈 PD의 먹거리 X파일’ ‘이영돈·신동엽 젠틀맨’의 MC이자 프로그램의 최종 결정권자다.

그는	그/NP+는/JX
‘이영돈	‘/SS+이영돈/NNP
PD의	PD/SL+의/JKG
먹거리	먹거리/NNG
X파일’	X/SL+파일/NNG+’/SS
‘이영돈·신동엽	‘/SS+이영돈/NNP+·/SP+신동엽/NNP
젠틀맨’의	젠틀맨/NNG+’/SS+의/JKG
MC이자	MC/SL+이/VCP+자/EC
프로그램의	프로그램/NNG+의/JKG
최종	최종/NNG
결정권자다.	결정권자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.128.3.5
이 밖에도 KBS ‘개그콘서트’로 유명한 서수민 ‘1박2일’ CP, tvN ‘꽃보다 할배’의 나영석 PD처럼 대중적 인기를 누리는 PD도 많다.

이	이/MMD
