# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.8
metadata : {}


# id : NWRW1800000029.8.1.1
하이닉스 ‘트리플 크라운’

하이닉스	하이닉스/NNP
‘트리플	‘/SS+트리플/NNG
크라운’	크라운/NNG+’/SS


# id : NWRW1800000029.8.2.1
작년 매출-영업익-순익 사상최대 실적

작년	작년/NNG
매출-영업익-순익	매출/NNG+-/SO+영업익/NNG+-/SO+순익/NNG
사상최대	사상/NNG+최대/NNG
실적	실적/NNG


# id : NWRW1800000029.8.3.1
하이닉스반도체가 지난해 매출액과 영업이익, 순이익 모두에서 사상 최대 실적으로 ‘트리플 크라운’을 이뤄냈다.

하이닉스반도체가	하이닉스반도체/NNP+가/JKS
지난해	지난해/NNG
매출액과	매출액/NNG+과/JC
영업이익,	영업/NNG+이익/NNG+,/SP
순이익	순이익/NNG
모두에서	모두/NNG+에서/JKB
사상	사상/NNG
최대	최대/NNG
실적으로	실적/NNG+으로/JKB
‘트리플	‘/SS+트리플/NNG
크라운’을	크라운/NNG+’/SS+을/JKO
이뤄냈다.	이루/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.8.3.2
하이닉스는 연결 재무제표 기준으로 지난해 연간 매출 12조990억 원, 영업이익 3조2730억 원, 순이익 2조6560억 원을 거둬 세 부문 모두에서 사상 최대 실적을 거뒀다고 27일 밝혔다.

하이닉스는	하이닉스/NNP+는/JX
연결	연결/NNG
재무제표	재무제표/NNG
기준으로	기준/NNG+으로/JKB
지난해	지난해/NNG
연간	연간/NNG
매출	매출/NNG
12조990억	12/SN+조/NR+990/SN+억/NR
원,	원/NNB+,/SP
영업이익	영업/NNG+이익/NNG
3조2730억	3/SN+조/NR+2730/SN+억/NR
순이익	순이익/NNG
2조6560억	2/SN+조/NR+6560/SN+억/NR
원을	원/NNB+을/JKO
거둬	거두/VV+어/EC
세	세/MMN
부문	부문/NNG
모두에서	모두/NNG+에서/JKB
사상	사상/NNG
최대	최대/NNG
실적을	실적/NNG+을/JKO
거뒀다고	거두/VV+었/EP+다고/EC
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.8.3.3
2009년보다 매출은 53%, 영업이익은 16배(1605%) 급등했고 순이익은 흑자 전환한 것이다.

2009년보다	2009/SN+년/NNB+보다/JKB
매출은	매출/NNG+은/JX
53%,	53/SN+%/SW+,/SP
영업이익은	영업/NNG+이익/NNG+은/JX
16배(1605%)	16/SN+배/NNG+(/SS+1605/SN+%/SW+)/SS
급등했고	급등/NNG+하/XSV+았/EP+고/EC
순이익은	순이익/NNG+은/JX
흑자	흑자/NNG
전환한	전환/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.8.4.1
특히 반도체 D램 값 하락으로 해외 반도체업체들이 실적 악화에 시달렸던 지난해 4분기(10∼12월)에도 하이닉스는 매출 2조7480억 원, 영업이익 4180억 원으로 흑자경영에 성공했다.

특히	특히/MAG
반도체	반도체/NNG
D램	D/SL+램/NNG
값	값/NNG
하락으로	하락/NNG+으로/JKB
해외	해외/NNG
반도체업체들이	반도체/NNG+업체/NNG+들/XSN+이/JKS
실적	실적/NNG
악화에	악화/NNG+에/JKB
시달렸던	시달리/VV+었/EP+던/ETM
지난해	지난해/NNG
4분기(10∼12월)에도	4/SN+분기/NNG+(/SS+10/SN+∼/SO+12/SN+월/NNB+)/SS+에/JKB+도/JX
하이닉스는	하이닉스/NNP+는/JX
매출	매출/NNG
2조7480억	2/SN+조/NR+7480/SN+억/NR
원,	원/NNB+,/SP
영업이익	영업/NNG+이익/NNG
4180억	4180/SN+억/NR
원으로	원/NNB+으로/JKB
흑자경영에	흑자/NNG+경영/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.8.4.2
반면 이 시기 난야와 이노테라 등 대만 반도체 업체들은 큰 손실을 봐 연간 4000억 원 안팎의 대규모 적자를 냈다.

반면	반면/NNG
이	이/MMD
시기	시기/NNG
난야와	난야/NNP+와/JC
이노테라	이노테라/NNP
등	등/NNB
대만	대만/NNP
반도체	반도체/NNG
업체들은	업체/NNG+들/XSN+은/JX
큰	크/VA+ㄴ/ETM
손실을	손실/NNG+을/JKO
봐	보/VV+아/EC
연간	연간/NNG
4000억	4000/SN+억/NR
원	원/NNB
안팎의	안팎/NNG+의/JKG
대규모	대/XPN+규모/NNG
적자를	적자/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.8.4.3
이와 관련해 하이닉스는 4분기 D램 판매량이 3분기(7∼9월)보다 18% 늘었지만 평균 판매가격은 28% 떨어진 것으로 나타났다고 설명했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
하이닉스는	하이닉스/NNP+는/JX
4분기	4/SN+분기/NNG
D램	D/SL+램/NNG
판매량이	판매량/NNG+이/JKS
3분기(7∼9월)보다	3/SN+분기/NNG+(/SS+7/SN+∼/SO+9/SN+월/NNB+)/SS+보다/JKB
18%	18/SN+%/SW
늘었지만	늘/VV+었/EP+지만/EC
평균	평균/NNG
판매가격은	판매/NNG+가격/NNG+은/JX
28%	28/SN+%/SW
떨어진	떨어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다고	나타나/VV+았/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.8.4.4
또 하나의 효자 상품인 낸드플래시 역시 판매량이 32% 증가했지만 평균 판매가격은 12% 내렸다.

또	또/MAG
하나의	하나/NR+의/JKG
효자	효자/NNG
상품인	상품/NNG+이/VCP+ㄴ/ETM
낸드플래시	낸드플래시/NNG
역시	역시/MAG
판매량이	판매량/NNG+이/JKS
32%	32/SN+%/SW
증가했지만	증가/NNG+하/XSV+았/EP+지만/EC
평균	평균/NNG
판매가격은	판매/NNG+가격/NNG+은/JX
12%	12/SN+%/SW
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.8.5.1
