# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.389
metadata : {}


# id : NWRW1800000038.389.1.1
"6자회담 끝났다"던 北, 회담 再開 물밑 작업… 김계관, 中·러 잇달아 방문 '6자회담 재개' 환경 조성

"6자회담	"/SS+6/SN+자/NNB+회담/NNG
끝났다"던	끝나/VV+았/EP+다/EF+"/SS+던/ETM
北,	北/SH+,/SP
회담	회담/NNG
再開	再開/SH
물밑	물밑/NNG
작업…	작업/NNG+…/SE
김계관,	김계관/NNP+,/SP
中·러	中/SH+·/SP+러/NNP
잇달아	잇달/VV+아/EC
방문	방문/NNG
'6자회담	'/SS+6/SN+자/NNB+회담/NNG
재개'	재개/NNG+'/SS
환경	환경/NNG
조성	조성/NNG


# id : NWRW1800000038.389.2.1
고립 탈피 위한 '北·中·러 3각 체제' 복원 특명 받은 듯

고립	고립/NNG
탈피	탈피/NNG
위한	위하/VV+ㄴ/ETM
'北·中·러	'/SS+北/SH+·/SP+中/SH+·/SP+러/NNP
3각	3/SN+각/NNG
체제'	체제/NNG+'/SS
복원	복원/NNG
특명	특명/NNG
받은	받/VV+은/ETM
듯	듯/NNB


# id : NWRW1800000038.389.3.1
"북핵 6자회담은 영원히 끝났다"고 했던 북한이 6자회담 재개를 위해 다시 움직이고 있다.

"북핵	"/SS+북핵/NNG
6자회담은	6/SN+자/NNB+회담/NNG+은/JX
영원히	영원히/MAG
끝났다"고	끝나/VV+았/EP+다/EF+"/SS+고/JKQ
했던	하/VV+았/EP+던/ETM
북한이	북한/NNP+이/JKS
6자회담	6/SN+자/NNB+회담/NNG
재개를	재개/NNG+를/JKO
위해	위하/VV+아/EC
다시	다시/MAG
움직이고	움직이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.389.4.1
김계관 북한 외무성 제1부상은 지난달 19일 중국을 방문한 데 이어 4일 러시아의 모스크바에서 블라디미르 티토프 제1차관 등을 만나 6자회담 재개 필요성을 강조했다.

김계관	김계관/NNP
북한	북한/NNP
외무성	외무성/NNG
제1부상은	제/XPN+1/SN+부상/NNG+은/JX
지난달	지난달/NNG
19일	19/SN+일/NNB
중국을	중국/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
4일	4/SN+일/NNB
러시아의	러시아/NNP+의/JKG
모스크바에서	모스크바/NNP+에서/JKB
블라디미르	블라디미르/NNP
티토프	티토프/NNP
제1차관	제/XPN+1/SN+차관/NNG
등을	등/NNB+을/JKO
만나	만나/VV+아/EC
6자회담	6/SN+자/NNB+회담/NNG
재개	재개/NNG
