# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.59
metadata : {}


# id : NWRW1800000025.59.1.1
車, 환경을 생각하다

車,	車/SH+,/SP
환경을	환경/NNG+을/JKO
생각하다	생각/NNG+하/XSV+다/EF


# id : NWRW1800000025.59.2.1
세계 5대 모터쇼 중 하나인 제네바 모터쇼가 2일 프레스 데이를 시작으로 막이 올랐다.

세계	세계/NNG
5대	5/SN+대/NNG
모터쇼	모터쇼/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
제네바	제네바/NNP
모터쇼가	모터쇼/NNG+가/JKS
2일	2/SN+일/NNB
프레스	프레스/NNG
데이를	데이/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
막이	막/NNG+이/JKS
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.59.2.2
올해로 80회를 맞는 제네바 모터쇼에는 완성차 회사 및 부품업체 등 250여 개 사가 모두 700여 종을 선보인다.

올해로	올해/NNG+로/JKB
80회를	80/SN+회/NNB+를/JKO
맞는	맞/VV+는/ETM
제네바	제네바/NNP
모터쇼에는	모터쇼/NNG+에/JKB+는/JX
완성차	완성차/NNG
회사	회사/NNG
및	및/MAG
부품업체	부품업체/NNG
등	등/NNB
250여	250/SN+여/XSN
개	개/NNB
사가	사/NNG+가/JKS
모두	모두/MAG
700여	700/SN+여/XSN
종을	종/NNG+을/JKO
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.2.3
세계 최초 혹은 유럽 최초로 공개된 차만 100여 종에 달하고 그중 60여 종이 하이브리드, 전기차 등 친환경 차량이어서 이번 모터쇼 역시 친환경 차 경연장이 될 것으로 보인다.

세계	세계/NNG
최초	최초/NNG
혹은	혹은/MAG
유럽	유럽/NNP
최초로	최초/NNG+로/JKB
공개된	공개/NNG+되/XSV+ㄴ/ETM
차만	차/NNG+만/JX
100여	100/SN+여/XSN
종에	종/NNG+에/JKB
달하고	달하/VV+고/EC
그중	그중/NNG
60여	60/SN+여/XSN
종이	종/NNG+이/JKS
하이브리드,	하이브리드/NNG+,/SP
전기차	전기/NNG+차/NNG
등	등/NNB
친환경	친/XPN+환경/NNG
차량이어서	차량/NNG+이/VCP+어서/EC
이번	이번/NNG
모터쇼	모터쇼/NNG
역시	역시/MAG
차	차/NNG
경연장이	경연장/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.3.1
현대자동차는 하이브리드 콘셉트카 ‘아이플로(HED-7)’를 세계 최초로 공개한다.

현대자동차는	현대자동차/NNP+는/JX
하이브리드	하이브리드/NNG
콘셉트카	콘셉트카/NNG
‘아이플로(HED-7)’를	‘/SS+아이플로(HED-7)/NNP+’/SS+를/JKO
세계	세계/NNG
최초로	최초/NNG+로/JKB
공개한다.	공개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.59.3.2
아이플로는 현대차 최초로 디젤 하이브리드 엔진이 탑재되는 중형 세단으로 현대차 유럽 디자인센터에서 디자인했다.

아이플로는	아이플로/NNP+는/JX
현대차	현대차/NNP
최초로	최초/NNG+로/JKB
