# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.341
metadata : {}


# id : NWRW1800000052.341.1.1
박경미, 표절 또 드러났는데 ‘당선권’ 배치

박경미,	박경미/NNP+,/SP
표절	표절/NNG
또	또/MAG
드러났는데	드러나/VV+았/EP+는데/EC
‘당선권’	‘/SS+당선/NNG+권/XSN+’/SS
배치	배치/NNG


# id : NWRW1800000052.341.2.1
장관 후보 청문회때와 달리

장관	장관/NNG
후보	후보/NNG
청문회때와	청문회/NNG+때/NNG+와/JKB
달리	달리/MAG


# id : NWRW1800000052.341.3.1
‘이중잣대’ 적용 도마에 올라

‘이중잣대’	‘/SS+이중/NNG+잣대/NNG+’/SS
적용	적용/NNG
도마에	도마/NNG+에/JKB
올라	오르/VV+아/EF


# id : NWRW1800000052.341.4.1
더불어민주당이 제자의 논문 표절이 드러난 박경미 홍익대 교수를 22일 예정대로 당선 안정권에 배치하면서 논란이 끊이지 않고 있다.

더불어민주당이	더불어민주당/NNP+이/JKS
제자의	제자/NNG+의/JKG
논문	논문/NNG
표절이	표절/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
박경미	박경미/NNP
홍익대	홍익대/NNP
교수를	교수/NNG+를/JKO
22일	22/SN+일/NNB
예정대로	예정/NNG+대로/JX
당선	당선/NNG
안정권에	안정/NNG+권/XSN+에/JKB
배치하면서	배치/NNG+하/XSV+면서/EC
논란이	논란/NNG+이/JKS
끊이지	끊이/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.341.4.2
박 교수가 과거에 또다른 제자의 논문을 표절한 사실도 새롭게 드러났다.

박	박/NNP
교수가	교수/NNG+가/JKS
과거에	과거/NNG+에/JKB
또다른	또/MAG+다른/MMD
제자의	제자/NNG+의/JKG
논문을	논문/NNG+을/JKO
표절한	표절/NNG+하/XSV+ㄴ/ETM
사실도	사실/NNG+도/JX
새롭게	새롭/VA+게/EC
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.341.5.1
지난 2004년 <대한수학교육학회지>에 발표된 박 교수의 논문 ‘중국 수학교육 과정의 내용과 구성 방식의 특징’을 살펴보면, 같은 해 홍익대 교육대학원 석사과정을 통과한 강아무개씨의 학위논문 ‘중국의 수학교육 과정 분석 및 연구’와 상당 부분 내용이 겹쳤다.

지난	지나/VV+ㄴ/ETM
2004년	2004/SN+년/NNB
<대한수학교육학회지>에	</SS+대한수학교육학회지/NNP+>/SS+에/JKB
발표된	발표/NNG+되/XSV+ㄴ/ETM
박	박/NNP
교수의	교수/NNG+의/JKG
논문	논문/NNG
‘중국	‘/SS+중국/NNP
수학교육	수학/NNG+교육/NNG
과정의	과정/NNG+의/JKG
내용과	내용/NNG+과/JC
구성	구성/NNG
방식의	방식/NNG+의/JKG
특징’을	특징/NNG+’/SS+을/JKO
살펴보면,	살펴보/VV+면/EC+,/SP
같은	같/VA+은/ETM
해	해/NNG
홍익대	홍익대/NNP
교육대학원	교육/NNG+대학원/NNG
석사과정을	석사/NNG+과정/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
강아무개씨의	강/NNP+아무개/NP+씨/NNB+의/JKG
학위논문	학위/NNG+논문/NNG
‘중국의	‘/SS+중국/NNP+의/JKG
과정	과정/NNG
분석	분석/NNG
및	및/MAG
연구’와	연구/NNG+’/SS+와/JKB
상당	상당/NNG
부분	부분/NNG
내용이	내용/NNG+이/JKS
겹쳤다.	겹치/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.341.5.2
박 교수의 논문 16쪽 중 절반 정도가 강씨의 석사논문과 토씨까지 같지만 참고문헌엔 언급이 없었다.

박	박/NNP
교수의	교수/NNG+의/JKG
논문	논문/NNG
16쪽	16/SN+쪽/NNG
중	중/NNB
절반	절반/NNG
정도가	정도/NNG+가/JKS
강씨의	강/NNP+씨/NNB+의/JKG
석사논문과	석사/NNG+논문/NNG+과/JKB
토씨까지	토씨/NNG+까지/JX
같지만	같/VA+지만/EC
참고문헌엔	참고/NNG+문헌/NNG+에/JKB+ㄴ/JX
언급이	언급/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.341.6.1
학계에서는 박 교수의 표절을 ‘용납하기 어려운 수준’이라고 입을 모은다.

학계에서는	학계/NNG+에서/JKB+는/JX
박	박/NNP
교수의	교수/NNG+의/JKG
표절을	표절/NNG+을/JKO
‘용납하기	‘/SS+용납/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
수준’이라고	수준/NNG+’/SS+이라고/JKQ
입을	입/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.341.6.2
사범계열의 한 교수는 “석·박사 학생이 학위논문을 쓴 뒤 지도교수를 교신저자로 넣어 학술지에 발표하는 경우는 있지만 지도교수가 논문에 단초를 제공했더라도 자신이 단독 저자로 해당 논문을 발표하는 경우는 없다”며 “학계의 암묵적 관행을 고려해 봐도 죄질이 나쁘다”고 말했다.

사범계열의	사범/NNG+계열/NNG+의/JKG
한	한/MMN
교수는	교수/NNG+는/JX
“석·박사	“/SS+석·박사/NNG
학생이	학생/NNG+이/JKS
학위논문을	학위/NNG+논문/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
뒤	뒤/NNG
지도교수를	지도/NNG+교수/NNG+를/JKO
교신저자로	교신/NNG+저자/NNG+로/JKB
넣어	넣/VV+어/EC
