# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.152
metadata : {}


# id : NWRW1800000029.152.1.1
트레이더 ‘한탕 투자’ UBS도 못 막았다면…

트레이더	트레이더/NNG
‘한탕	‘/SS+한탕/NNG
투자’	투자/NNG+’/SS
UBS도	UBS/SL+도/JX
못	못/MAG
막았다면…	막/VV+았/EP+다면/EC+…/SE


# id : NWRW1800000029.152.2.1
손실 메우려 파생상품 손대… 20억달러 날린 사건에 충격

손실	손실/NNG
메우려	메우/VV+려/EC
파생상품	파생/NNG+상품/NNG
손대…	손대/VV+어/EF+…/SE
20억달러	20/SN+억/NR+달러/NNB
날린	날리/VV+ㄴ/ETM
사건에	사건/NNG+에/JKB
충격	충격/NNG


# id : NWRW1800000029.152.3.1
금융사 리스크 관리에 회의

금융사	금융사/NNG
리스크	리스크/NNG
관리에	관리/NNG+에/JKB
회의	회의/NNG


# id : NWRW1800000029.152.4.1
한 금융사 트레이더의 무리한 투자가 세계 금융계를 발칵 뒤집어 놨다.

한	한/MMN
금융사	금융사/NNG
트레이더의	트레이더/NNG+의/JKG
무리한	무리/NNG+하/XSV+ㄴ/ETM
투자가	투자/NNG+가/JKS
세계	세계/NNG
금융계를	금융/NNG+계/XSN+를/JKO
발칵	발칵/MAG
뒤집어	뒤집/VV+어/EC
놨다.	놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.152.4.2
영국 경찰은 스위스 최대은행 UBS의 트레이더로 일하던 퀘쿠 아도볼리 씨(31)를 15일 체포해 회사에 20억 달러라는 막대한 손실을 끼친 경위를 조사하고 있다.

영국	영국/NNP
경찰은	경찰/NNG+은/JX
스위스	스위스/NNP
최대은행	최대/NNG+은행/NNG
UBS의	UBS/SL+의/JKG
트레이더로	트레이더/NNG+로/JKB
일하던	일/NNG+하/XSV+던/ETM
퀘쿠	퀘쿠/NNP
아도볼리	아도볼리/NNP
씨(31)를	씨/NNB+(/SS+31/SN+)/SS+를/JKO
15일	15/SN+일/NNB
체포해	체포/NNG+하/XSV+아/EC
회사에	회사/NNG+에/JKB
20억	20/SN+억/NR
달러라는	달러/NNB+이/VCP+라는/ETM
막대한	막대하/VA+ㄴ/ETM
손실을	손실/NNG+을/JKO
끼친	끼치/VV+ㄴ/ETM
경위를	경위/NNG+를/JKO
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.152.4.3
이 한 사건으로 UBS의 올 3분기 순이익은 모두 날아가 UBS의 수지는 적자로 돌아설 것으로 예상된다.

이	이/MMD
한	한/MMN
사건으로	사건/NNG+으로/JKB
UBS의	UBS/SL+의/JKG
올	올/NNG
3분기	3/SN+분기/NNG
순이익은	순이익/NNG+은/JX
모두	모두/MAG
날아가	날아가/VV+아/EC
수지는	수지/NNG+는/JX
적자로	적자/NNG+로/JKB
돌아설	돌아서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.152.4.4
2008년 서브프라임 모기지(비우량 주택담보대출) 사태의 후유증으로 정부의 구제금융까지 받았던 UBS는 재무건전성 악화는 물론이고 신용등급마저 강등될 처지에 놓였다.

2008년	2008/SN+년/NNB
서브프라임	서브프라임/NNG
모기지(비우량	모기지/NNG+(/SS+비/XPN+우량/NNG
주택담보대출)	주택/NNG+담보/NNG+대출/NNG+)/SS
사태의	사태/NNG+의/JKG
