# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.81
metadata : {}


# id : NWRW1800000033.81.1.1
“섹스, 거짓말, 그리고 Gmail”

“섹스,	“/SS+섹스/NNG+,/SP
거짓말,	거짓말/NNG+,/SP
그리고	그리고/MAJ
Gmail”	Gmail/SL+”/SS


# id : NWRW1800000033.81.2.1
스캔들 연루 4명 모두 이용… 구글 운영 美 ‘국민 e메일’ 보안 취약해 추문 들통나

스캔들	스캔들/NNG
연루	연루/NNG
4명	4/SN+명/NNB
모두	모두/MAG
이용…	이용/NNG+…/SE
구글	구글/NNP
운영	운영/NNG
美	美/SH
‘국민	‘/SS+국민/NNG
e메일’	e/SL+메일/NNG+’/SS
보안	보안/NNG
취약해	취약/NNG+하/XSA+아/EC
추문	추문/NNG
들통나	들통나/VV+아/EF


# id : NWRW1800000033.81.3.1
데이비드 퍼트레이어스 전 중앙정보국(CIA) 국장의 불륜 스캔들에 연루된 인물들은 죄다 구글이 운영하는 웹기반 e메일 서비스인 ‘G메일’을 사용했다.

데이비드	데이비드/NNP
퍼트레이어스	퍼트레이어스/NNP
전	전/MMD
중앙정보국(CIA)	중앙정보국/NNP+(/SS+CIA/SL+)/SS
국장의	국장/NNG+의/JKG
불륜	불륜/NNG
스캔들에	스캔들/NNG+에/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
인물들은	인물/NNG+들/XSN+은/JX
죄다	죄다/MAG
구글이	구글/NNP+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
웹기반	웹/NNG+기반/NNG
e메일	e/SL+메일/NNG
서비스인	서비스/NNG+이/VCP+ㄴ/ETM
‘G메일’을	‘/SS+G/SL+메일/NNG+’/SS+을/JKO
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.81.3.2
퍼트레이어스-폴라 브로드웰, 브로드웰-질 켈리, 켈리-존 앨런 아프가니스탄 주둔 미군 사령관이 모두 G메일로 은밀한 메시지를 주고받았다가 들통이 났다.

퍼트레이어스-폴라	퍼트레이어스/NNP+-/SO+폴라/NNP
브로드웰,	브로드웰/NNP+,/SP
브로드웰-질	브로드웰/NNP+-/SO+질/NNP
켈리,	켈리/NNP+,/SP
켈리-존	켈리/NNP+-/SO+존/NNP
앨런	앨런/NNP
아프가니스탄	아프가니스탄/NNP
주둔	주둔/NNG
미군	미군/NNG
사령관이	사령관/NNG+이/JKS
모두	모두/MAG
G메일로	G/SL+메일/NNG+로/JKB
은밀한	은밀하/VA+ㄴ/ETM
메시지를	메시지/NNG+를/JKO
주고받았다가	주고받/VV+았/EP+다가/EC
들통이	들통/NNG+이/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.81.4.1
G메일은 미국 인터넷 이용자의 70%가 사용하는 ‘국민 e메일’.

G메일은	G/SL+메일/NNG+은/JX
미국	미국/NNP
인터넷	인터넷/NNG
이용자의	이용자/NNG+의/JKG
70%가	70/SN+%/SW+가/JKS
사용하는	사용/NNG+하/XSV+는/ETM
‘국민	‘/SS+국민/NNG
e메일’.	e/SL+메일/NNG+’/SS+./SF


# id : NWRW1800000033.81.4.2
인터넷 포털이 제공하는 e메일 서비스가 대부분 그렇듯이 G메일 역시 보안이 취약하지만 무료로 가입할 수 있기 때문에 많은 이들이 사용한다.

