# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.266
metadata : {}


# id : NWRW1800000052.266.1.1
경기 광역버스 준공영제 ‘반쪽 엔진’ 31개 시군중 15곳 ‘반대 또는 난색’

경기	경기/NNP
광역버스	광역/NNG+버스/NNG
준공영제	준/XPN+공영/NNG+제/XSN
‘반쪽	‘/SS+반쪽/NNG
엔진’	엔진/NNG+’/SS
31개	31/SN+개/NNB
시군중	시군/NNG+중/NNB
15곳	15/SN+곳/NNG
‘반대	‘/SS+반대/NNG
또는	또는/MAG
난색’	난색/NNG+’/SS


# id : NWRW1800000052.266.2.1
내년 7월 도입…성남 등 6개 시 반대, 안양 등 9곳은 재정 분담률 하향 요구

내년	내년/NNG
7월	7/SN+월/NNB
도입…성남	도입/NNG+…/SE+성남/NNP
등	등/NNB
6개	6/SN+개/NNB
시	시/NNG
반대,	반대/NNG+,/SP
안양	안양/NNP
9곳은	9/SN+곳/NNG+은/JX
재정	재정/NNG
분담률	분담/NNG+률/XSN
하향	하향/NNG
요구	요구/NNG


# id : NWRW1800000052.266.3.1
남경필 경기지사가 내년 7월부터 광역버스 ‘입석률 0%’ 실현을 위해 도입하겠다던 광역버스 준공영제가 반쪽짜리가 될 위험에 휘청거리고 있다.

남경필	남경필/NNP
경기지사가	경기/NNP+지사/NNG+가/JKS
내년	내년/NNG
7월부터	7/SN+월/NNB+부터/JX
광역버스	광역/NNG+버스/NNG
‘입석률	‘/SS+입석/NNG+률/XSN
0%’	0/SN+%/SW+’/SS
실현을	실현/NNG+을/JKO
위해	위하/VV+아/EC
도입하겠다던	도입/NNG+하/XSV+겠/EP+다던/ETM
준공영제가	준/XPN+공영/NNG+제/XSN+가/JKS
반쪽짜리가	반쪽/NNG+짜리/XSN+가/JKC
될	되/VV+ㄹ/ETM
위험에	위험/NNG+에/JKB
휘청거리고	휘청거리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.266.3.2
성남·용인·시흥시 등 경기도 내 15개 자치단체가 과도한 재정 부담을 들어 사실상 준공영제 참여를 아예 거부하거나 부담금 비율을 낮춰 달라고 요구하는 등 난색을 보이기 때문이다.

