# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.172
metadata : {}


# id : NWRW1800000022.172.1.1
[현장 마이스터] 코리아나화장품 이강태 신소재연구팀장;화장품 원료 찾아 오늘도 산에 오른다

[현장	[/SS+현장/NNG
마이스터]	마이스터/NNG+]/SS
코리아나화장품	코리아나화장품/NNP
이강태	이강태/NNP
신소재연구팀장;화장품	신/XPN+소재/NNG+연구/NNG+팀장/NNG+;/SP+화장품/NNG
원료	원료/NNG
찾아	찾/VV+아/EC
오늘도	오늘/NNG+도/JX
산에	산/NNG+에/JKB
오른다	오르/VV+ㄴ다/EF


# id : NWRW1800000022.172.2.1
코리아나화장품 이강태 신소재연구팀장은 회사에서 '땅꾼'으로 불린다.

코리아나화장품	코리아나화장품/NNP
이강태	이강태/NNP
신소재연구팀장은	신/XPN+소재/NNG+연구/NNG+팀장/NNG+은/JX
회사에서	회사/NNG+에서/JKB
'땅꾼'으로	'/SS+땅/NNG+꾼/XSN+'/SS+으로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.172.2.2
주중과 주말을 가리지 않고 전국 방방곡곡의 들과 산에서 끊임없이 무언가를 '캐내기' 때문이다.

주중과	주중/NNG+과/JC
주말을	주말/NNG+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
전국	전국/NNG
방방곡곡의	방방곡곡/NNG+의/JKG
들과	들/NNG+과/JC
산에서	산/NNG+에서/JKB
끊임없이	끊임없이/MAG
무언가를	무어/NP+이/VCP+ㄴ가/EF+를/JKO
'캐내기'	'/SS+캐내/VV+기/ETN+'/SS
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.172.2.3
전북 고창, 강원도 태백시, 경북 의성, 제주도, 치악산 등 안 가본 곳이 없다.

전북	전북/NNP
고창,	고창/NNP+,/SP
강원도	강원도/NNP
태백시,	태백시/NNP+,/SP
경북	경북/NNP
의성,	의성/NNP+,/SP
제주도,	제주도/NNP+,/SP
치악산	치악산/NNP
등	등/NNB
안	안/MAG
가본	가/VV+아/EC+보/VX+ㄴ/ETM
곳이	곳/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.172.2.4
그가 이런 노력을 하는 이유는 남들과 다른 화장품 천연 재료를 찾기 위해서다.

그가	그/NP+가/JKS
이런	이런/MMD
노력을	노력/NNG+을/JKO
하는	하/VV+는/ETM
이유는	이유/NNG+는/JX
남들과	남/NNG+들/XSN+과/JKB
다른	다르/VA+ㄴ/ETM
화장품	화장품/NNG
천연	천연/NNG
재료를	재료/NNG+를/JKO
찾기	찾/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000022.172.3.1
"한 개의 화장품에도 종류에 따라 수십개에서 수천개의 다른 원료가 들어갑니다.

"한	"/SS+한/MMN
개의	개/NNB+의/JKG
화장품에도	화장품/NNG+에/JKB+도/JX
종류에	종류/NNG+에/JKB
따라	따르/VV+아/EC
수십개에서	수십/NR+개/NNB+에서/JKB
수천개의	수천/NR+개/NNB+의/JKG
다른	다른/MMD
원료가	원료/NNG+가/JKS
들어갑니다.	들어가/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.172.3.2
어떤 원료를 사용하는지가 화장품 차별화의 절대적인 조건이죠.

어떤	어떤/MMD
원료를	원료/NNG+를/JKO
사용하는지가	사용/NNG+하/XSV+는지/EF+가/JKS
화장품	화장품/NNG
차별화의	차별/NNG+화/XSN+의/JKG
절대적인	절대/NNG+적/XSN+이/VCP+ㄴ/ETM
조건이죠.	조건/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000022.172.3.3
저는 천연 원료를 찾기 위해 애쓰고 있습니다."

저는	저/NP+는/JX
천연	천연/NNG
원료를	원료/NNG+를/JKO
찾기	찾/VV+기/ETN
위해	위하/VV+아/EC
애쓰고	애쓰/VV+고/EC
있습니다."	있/VX+습니다/EF+./SF+"/SS


