# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.108
metadata : {}


# id : NWRW1800000041.108.1.1
현대자동차, 창업차량 지원 ‘기프트카’ 성과… 혜택 주인공들 월소득 2배 늘어

현대자동차,	현대자동차/NNP+,/SP
창업차량	창업/NNG+차량/NNG
지원	지원/NNG
‘기프트카’	‘/SS+기프트카/NNG+’/SS
성과…	성과/NNG+…/SE
혜택	혜택/NNG
주인공들	주인공/NNG+들/XSN
월소득	월/NNG+소득/NNG
2배	2/SN+배/NNG
늘어	늘/VV+어/EF


# id : NWRW1800000041.108.2.1
[사회공헌 Together]

[사회공헌	[/SS+사회/NNG+공헌/NNG
Together]	Together/SL+]/SS


# id : NWRW1800000041.108.3.1
현대자동차그룹은 ‘자동차를 통한 인류의 행복 추구’라는 경영 이념으로 올해도 다양한 사회공헌 활동을 전개했다.

현대자동차그룹은	현대자동차그룹/NNP+은/JX
‘자동차를	‘/SS+자동차/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
인류의	인류/NNG+의/JKG
행복	행복/NNG
추구’라는	추구/NNG+’/SS+이/VCP+라는/ETM
경영	경영/NNG
이념으로	이념/NNG+으로/JKB
올해도	올해/NNG+도/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
사회공헌	사회/NNG+공헌/NNG
활동을	활동/NNG+을/JKO
전개했다.	전개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.108.3.2
정몽구 현대차그룹 회장도 올 초 신년사에서 “소외된 계층을 보살피는 사회공헌 활동에 앞장서 국민 모두가 행복을 누리도록 최선을 다해 달라”고 임직원들에게 당부했다.

정몽구	정몽구/NNP
현대차그룹	현대차그룹/NNP
회장도	회장/NNG+도/JX
올	올/NNG
초	초/NNB
신년사에서	신년사/NNG+에서/JKB
“소외된	“/SS+소외/NNG+되/XSV+ㄴ/ETM
계층을	계층/NNG+을/JKO
보살피는	보살피/VV+는/ETM
사회공헌	사회/NNG+공헌/NNG
활동에	활동/NNG+에/JKB
앞장서	앞장서/VV+어/EC
국민	국민/NNG
모두가	모두/NNG+가/JKS
행복을	행복/NNG+을/JKO
누리도록	누리/VV+도록/EC
최선을	최선/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
임직원들에게	임직원/NNG+들/XSN+에게/JKB
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.108.4.1
현대차그룹은 최근 사회복지공동모금회의 모금 캠페인 첫날에 이웃돕기 성금 250억 원을 기탁해 1호 기부자가 되기도 했다.

현대차그룹은	현대차그룹/NNP+은/JX
최근	최근/NNG
사회복지공동모금회의	사회/NNG+복지/NNG+공동/NNG+모금회/NNG+의/JKG
모금	모금/NNG
캠페인	캠페인/NNG
첫날에	첫날/NNG+에/JKB
이웃돕기	이웃/NNG+돕/VV+기/ETN
성금	성금/NNG
250억	250/SN+억/NR
원을	원/NNB+을/JKO
기탁해	기탁/NNG+하/XSV+아/EC
1호	1/SN+호/NNB
기부자가	기부자/NNG+가/JKC
되기도	되/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.108.4.2
