# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.207
metadata : {}


# id : NWRW1800000021.207.1.1
“배 나오면 안돼” 2루수 “뚱뚱하면 어때” 3루수

“배	“/SS+배/NNG
나오면	나오/VV+면/EC
안돼”	안/MAG+되/XSV+어/EF+”/SS
2루수	2루수/NNG
“뚱뚱하면	“/SS+뚱뚱/MAG+하/XSA+면/EC
어때”	어떻/VA+어/EF+”/SS
3루수	3루수/NNG


# id : NWRW1800000021.207.2.1
야구장에 처음 오거나 야구 규칙을 잘 모르는 사람이라면 일단 선수들의 모습과 동작을 살핀다.

야구장에	야구장/NNG+에/JKB
처음	처음/NNG
오거나	오/VV+거나/EC
야구	야구/NNG
규칙을	규칙/NNG+을/JKO
잘	잘/MAG
모르는	모르/VV+는/ETM
사람이라면	사람/NNG+이/VCP+라면/EC
일단	일단/MAG
선수들의	선수/NNG+들/XSN+의/JKG
모습과	모습/NNG+과/JC
동작을	동작/NNG+을/JKO
살핀다.	살피/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.207.2.2
선수들의 유니폼은 긴팔에 긴 바지가 기본.

선수들의	선수/NNG+들/XSN+의/JKG
유니폼은	유니폼/NNG+은/JX
긴팔에	긴팔/NNG+에/JKB
긴	길/VA+ㄴ/ETM
바지가	바지/NNG+가/JKS
기본.	기본/NNG+./SF


# id : NWRW1800000021.207.2.3
맨살이 드러나는 건 얼굴밖에 없지만 착 달라붙는 유니폼 덕분에 많은 팬이 선수들의 건강미를 감상한다.

맨살이	맨/XPN+살/NNG+이/JKS
드러나는	드러나/VV+는/ETM
건	거/NNB+ㄴ/JX
얼굴밖에	얼굴/NNG+밖에/JX
없지만	없/VA+지만/EC
착	착/MAG
달라붙는	달라붙/VV+는/ETM
유니폼	유니폼/NNG
덕분에	덕분/NNG+에/JKB
많은	많/VA+은/ETM
팬이	팬/NNG+이/JKS
선수들의	선수/NNG+들/XSN+의/JKG
건강미를	건강미/NNG+를/JKO
감상한다.	감상/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.207.2.4
특히 터질 것 같은 허벅지와 탄탄한 다리 근육은 절로 눈길이 가기 마련이다.

특히	특히/MAG
터질	터지/VV+ㄹ/ETM
것	것/NNB
같은	같/VA+은/ETM
허벅지와	허벅지/NNG+와/JC
탄탄한	탄탄하/VA+ㄴ/ETM
다리	다리/NNG
근육은	근육/NNG+은/JX
절로	절로/MAG
눈길이	눈길/NNG+이/JKS
가기	가/VV+기/ETN
마련이다.	마련/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.207.3.1
하지만 야구장에선 배가 볼록 나온 선수를 보는 것도 어렵지 않다.

하지만	하지만/MAJ
야구장에선	야구장/NNG+에서/JKB+ㄴ/JX
배가	배/NNG+가/JKS
볼록	볼록/MAG
나온	나오/VV+ㄴ/ETM
선수를	선수/NNG+를/JKO
보는	보/VV+는/ETM
것도	것/NNB+도/JX
어렵지	어렵/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.207.3.2
야구는 ‘뚱뚱해도 잘할 수 있는 몇 안 되는 운동 중 하나’라고들 말한다.

야구는	야구/NNG+는/JX
‘뚱뚱해도	‘/SS+뚱뚱/MAG+하/XSA+아도/EC
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
몇	몇/NR
안	안/MAG
되는	되/VV+는/ETM
운동	운동/NNG
중	중/NNB
하나’라고들	하나/NR+’/SS+라고/JKQ+들/XSN
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.207.3.3
물론 여기에도 포지션별 특징이 있다.

물론	물론/MAG
여기에도	여기/NP+에/JKB+도/JX
포지션별	포지션/NNG+별/XSN
특징이	특징/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.207.3.4
뚱뚱해도 되는 포지션이 있는가 하면 ‘살은 곧 적’이 되는 포지션도 있다.

뚱뚱해도	뚱뚱/MAG+하/XSA+아도/EC
되는	되/VV+는/ETM
포지션이	포지션/NNG+이/JKS
있는가	있/VA+는가/EF
하면	하/VV+면/EC
‘살은	‘/SS+살/NNG+은/JX
곧	곧/MAG
적’이	적/NNG+’/SS+이/JKC
포지션도	포지션/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.207.4.1
8개 구단 주전 선수들의 포지션별 키와 몸무게를 비교해봤다.

8개	8/SN+개/NNB
구단	구단/NNG
주전	주전/NNG
선수들의	선수/NNG+들/XSN+의/JKG
포지션별	포지션/NNG+별/XSN
키와	키/NNG+와/JC
몸무게를	몸무게/NNG+를/JKO
비교해봤다.	비교/NNG+하/XSV+아/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.207.4.2
대상은 올스타 후보로 각 구단이 추천한 포지션별 1명씩.

대상은	대상/NNG+은/JX
올스타	올스타/NNG
후보로	후보/NNG+로/JKB
각	각/MMD
구단이	구단/NNG+이/JKS
추천한	추천/NNG+하/XSV+ㄴ/ETM
포지션별	포지션/NNG+별/XSN
1명씩.	1/SN+명/NNB+씩/XSN+./SF


# id : NWRW1800000021.207.4.3
조사 결과 지명타자의 평균 체중이 93.8kg으로 가장 무거웠다.

조사	조사/NNG
결과	결과/NNG
지명타자의	지명/NNG+타자/NNG+의/JKG
평균	평균/NNG
체중이	체중/NNG+이/JKS
93.8kg으로	93/SN+./SP+8/SN+kg/SW+으로/JKB
가장	가장/MAG
무거웠다.	무겁/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.207.4.4
수비를 하지 않는 포지션으로 힘 있는 선수가 많기 때문이다.

수비를	수비/NNG+를/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
포지션으로	포지션/NNG+으로/JKB
힘	힘/NNG
있는	있/VA+는/ETM
선수가	선수/NNG+가/JKS
많기	많/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.207.5.1
뒤를 이은 건 포수와 1루수다.

뒤를	뒤/NNG+를/JKO
이은	잇/VV+은/ETM
건	거/NNB+ㄴ/JX
포수와	포수/NNG+와/JC
1루수다.	1루수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.207.5.2
둘 모두 평균 체중 91.3kg으로 무거운 포지션으로 조사됐다.

둘	둘/NR
모두	모두/MAG
평균	평균/NNG
체중	체중/NNG
91.3kg으로	91/SN+./SP+3/SN+kg/SW+으로/JKB
무거운	무겁/VA+ㄴ/ETM
포지션으로	포지션/NNG+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.207.5.3
올해 등록 선수 중 최중량인 두산 최준석(117kg)이 지명타자 평균을 크게 올렸음을 감안한다면 포수와 1루수 모두 지명타자 못지않은 거구들의 경연장이라 할 수 있다.

올해	올해/NNG
등록	등록/NNG
선수	선수/NNG
중	중/NNB
최중량인	최/XPN+중량/NNG+이/VCP+ㄴ/ETM
두산	두산/NNP
최준석(117kg)이	최준석/NNP+(/SS+117/SN+kg/SW+)/SS+이/JKS
지명타자	지명/NNG+타자/NNG
평균을	평균/NNG+을/JKO
크게	크/VA+게/EC
올렸음을	올리/VV+었/EP+음/ETN+을/JKO
감안한다면	감안/NNG+하/XSV+ㄴ다면/EC
포수와	포수/NNG+와/JC
1루수	1루수/NNG
모두	모두/MAG
못지않은	못지않/VA+은/ETM
거구들의	거구/NNG+들/XSN+의/JKG
경연장이라	경연장/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.207.5.4
움직임이 많지 않고 투수나 내야수의 공을 받는 게 주된 역할인 게 이유이다.

움직임이	움직임/NNG+이/JKS
많지	많/VA+지/EC
않고	않/VX+고/EC
투수나	투수/NNG+나/JC
내야수의	내야수/NNG+의/JKG
공을	공/NNG+을/JKO
받는	받/VV+는/ETM
게	거/NNB+이/JKS
주된	주/NNG+되/XSV+ㄴ/ETM
역할인	역할/NNG+이/VCP+ㄴ/ETM
이유이다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.207.6.1
눈에 띄는 건 핫코너를 지키는 3루수가 포수나 1루수와 비슷하게 체중이 많이 나간다는 사실이다.

눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
건	거/NNB+ㄴ/JX
핫코너를	핫코너/NNG+를/JKO
지키는	지키/VV+는/ETM
3루수가	3루수/NNG+가/JKS
포수나	포수/NNG+나/JC
1루수와	1루수/NNG+와/JKB
비슷하게	비슷하/VA+게/EC
체중이	체중/NNG+이/JKS
많이	많이/MAG
나간다는	나가/VV+ㄴ다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.207.6.2
