# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.56
metadata : {}


# id : NWRW1800000030.56.1.1
손바닥만한 화폭, 넘쳐흐르는 순수

손바닥만한	손바닥/NNG+만/JX+하/VA+ㄴ/ETM
화폭,	화폭/NNG+,/SP
넘쳐흐르는	넘쳐흐르/VV+는/ETM
순수	순수/NNG


# id : NWRW1800000030.56.2.1
•장욱진 화백 20주기 기념 회고전 6·25전쟁 중 그린 '자화상' 등 70여점 어린아이 그림처럼 단순하고 우화적

•장욱진	•/SW+장욱진/NNP
화백	화백/NNG
20주기	20/SN+주기/NNB
기념	기념/NNG
회고전	회고전/NNG
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
중	중/NNB
그린	그리/VV+ㄴ/ETM
'자화상'	'/SS+자화상/NNG+'/SS
등	등/NNB
70여점	70/SN+여/XSN+점/NNB
어린아이	어린아이/NNG
그림처럼	그림/NNG+처럼/JKB
단순하고	단순/NNG+하/XSA+고/EC
우화적	우화/NNG+적/XSN


# id : NWRW1800000030.56.3.1
20세기 중·후반 한국 미술을 대표하는 화가 중 한 명으로 꼽히는 장욱진(1918~1990) 화백의 20주기를 맞아 갤러리현대가 장욱진미술문화재단과 공동 주최하는 회고전은 독창적인 세계를 이룬 작가의 삶과 예술을 되돌아보게 한다.

20세기	20/SN+세기/NNG
중·후반	중·후반/NNG
한국	한국/NNP
미술을	미술/NNG+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
화가	화가/NNG
중	중/NNB
한	한/MMN
명으로	명/NNB+으로/JKB
꼽히는	꼽히/VV+는/ETM
장욱진(1918~1990)	장욱진/NNP+(/SS+1918/SN+~/SO+1990/SN+)/SS
화백의	화백/NNG+의/JKG
20주기를	20/SN+주기/NNB+를/JKO
맞아	맞/VV+아/EC
갤러리현대가	갤러리현대/NNP+가/JKS
장욱진미술문화재단과	장욱진/NNP+미술/NNG+문화/NNG+재단/NNG+과/JKB
공동	공동/NNG
주최하는	주최/NNG+하/XSV+는/ETM
회고전은	회고전/NNG+은/JX
독창적인	독창/NNG+적/XSN+이/VCP+ㄴ/ETM
세계를	세계/NNG+를/JKO
이룬	이루/VV+ㄴ/ETM
작가의	작가/NNG+의/JKG
삶과	삶/NNG+과/JC
예술을	예술/NNG+을/JKO
되돌아보게	되돌아보/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.56.3.2
14일 시작하는 장욱진 회고전에는 초기작인 〈독〉을 비롯해 걸작으로 꼽히는 〈자화상〉 등 대표작과 미공개 작품 70여점이 나온다.

14일	14/SN+일/NNB
시작하는	시작/NNG+하/XSV+는/ETM
장욱진	장욱진/NNP
회고전에는	회고전/NNG+에/JKB+는/JX
초기작인	초기작/NNG+이/VCP+ㄴ/ETM
〈독〉을	〈/SS+독/NNG+〉/SS+을/JKO
