# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.79
metadata : {}


# id : NWRW1800000029.79.1.1
[Money&Life]원금 보장받고 상조서비스 걱정없고… 상조보험이 있었네!

[Money&Life]원금	[/SS+Money/SL+&/SW+Life/SL+]/SS+원금/NNG
보장받고	보장/NNG+받/XSV+고/EC
상조서비스	상조/NNG+서비스/NNG
걱정없고…	걱정/NNG+없/VA+고/EC+…/SE
상조보험이	상조/NNG+보험/NNG+이/JKS
있었네!	있/VA+었/EP+네/EF+!/SF


# id : NWRW1800000029.79.2.1
자살·취미활동 중 사망 등 보상 예외 있어

자살·취미활동	자살/NNG+·/SP+취미/NNG+활동/NNG
중	중/NNB
사망	사망/NNG
등	등/NNB
보상	보상/NNG
예외	예외/NNG
있어	있/VA+어/EF


# id : NWRW1800000029.79.3.1
상조회사와 다른 점 꼼꼼히 챙겨 가입해야

상조회사와	상조/NNG+회사/NNG+와/JKB
다른	다르/VA+ㄴ/ETM
점	점/NNG
꼼꼼히	꼼꼼히/MAG
챙겨	챙기/VV+어/EC
가입해야	가입/NNG+하/XSV+아야/EC


# id : NWRW1800000029.79.4.1
《보험회사에서 파는 상조보험에 든 A 씨.

《보험회사에서	《/SS+보험/NNG+회사/NNG+에서/JKB
파는	팔/VV+는/ETM
상조보험에	상조/NNG+보험/NNG+에/JKB
든	들/VV+ㄴ/ETM
A	A/SL
씨.	씨/NNB+./SF


# id : NWRW1800000029.79.4.2
그의 부모님이 101세에 돌아가신다면 상조서비스를 받을 수 있을까?

그의	그/NP+의/JKG
부모님이	부모/NNG+님/XSN+이/JKS
101세에	101/SN+세/NNB+에/JKB
돌아가신다면	돌아가/VV+시/EP+ㄴ다면/EC
상조서비스를	상조/NNG+서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있을까?	있/VA+을까/EF+?/SF


# id : NWRW1800000029.79.4.3
답은 ‘받을 수 없다’이다.

답은	답/NNG+은/JX
‘받을	‘/SS+받/VV+을/ETM
수	수/NNB
없다’이다.	없/VA+다/EF+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000029.79.4.4
상조보험은 일반 상조회사가 제공하는 상조서비스와 달리 피보험자가 최장 100세가 될 때까지만 보장해주기 때문이다.

상조보험은	상조/NNG+보험/NNG+은/JX
일반	일반/NNG
상조회사가	상조/NNG+회사/NNG+가/JKS
제공하는	제공/NNG+하/XSV+는/ETM
상조서비스와	상조/NNG+서비스/NNG+와/JKB
달리	달리/MAG
피보험자가	피보험자/NNG+가/JKS
최장	최장/NNG
100세가	100/SN+세/NNB+가/JKC
될	되/VV+ㄹ/ETM
때까지만	때/NNG+까지/JX+만/JX
보장해주기	보장/NNG+하/XSV+아/EC+주/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.79.5.1
100세가 되면 보험사는 A 씨에게 만기환급금을 주고 계약을 종료한다.

100세가	100/SN+세/NNB+가/JKC
되면	되/VV+면/EC
보험사는	보험사/NNG+는/JX
A	A/SL
씨에게	씨/NNB+에게/JKB
만기환급금을	만기/NNG+환급금/NNG+을/JKO
주고	주/VV+고/EC
계약을	계약/NNG+을/JKO
종료한다.	종료/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.79.5.2
A 씨는 상조보험이 일반 상조회사의 서비스와 동일하다고 생각했지만 실제로는 적지 않은 차이가 있는 것이다.

A	A/SL
씨는	씨/NNB+는/JX
상조보험이	상조/NNG+보험/NNG+이/JKS
일반	일반/NNG
상조회사의	상조/NNG+회사/NNG+의/JKG
서비스와	서비스/NNG+와/JKB
동일하다고	동일/NNG+하/XSA+다고/EC
생각했지만	생각/NNG+하/XSV+았/EP+지만/EC
실제로는	실제로/MAG+는/JX
적지	적/VA+지/EC
않은	않/VX+은/ETM
차이가	차이/NNG+가/JKS
있는	있/VA+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.79.5.3
금융감독원은 최근 보험회사들이 장례비용을 지원해주는 상조보험 판매에 나서고 있지만 상조회사의 상조서비스계약과는 보장범위와 절차 등에 차이가 있어 소비자들은 주의해야 한다고 당부했다.》

금융감독원은	금융/NNG+감독원/NNG+은/JX
최근	최근/NNG
보험회사들이	보험/NNG+회사/NNG+들/XSN+이/JKS
장례비용을	장례/NNG+비용/NNG+을/JKO
지원해주는	지원/NNG+하/XSV+아/EC+주/VX+는/ETM
상조보험	상조/NNG+보험/NNG
판매에	판매/NNG+에/JKB
나서고	나서/VV+고/EC
있지만	있/VX+지만/EC
상조회사의	상조/NNG+회사/NNG+의/JKG
상조서비스계약과는	상조/NNG+서비스/NNG+계약/NNG+과/JKB+는/JX
보장범위와	보장/NNG+범위/NNG+와/JC
절차	절차/NNG
등에	등/NNB+에/JKB
차이가	차이/NNG+가/JKS
있어	있/VA+어/EC
소비자들은	소비자/NNG+들/XSN+은/JX
주의해야	주의/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
당부했다.》	당부/NNG+하/XSV+았/EP+다/EF+./SF+》/SS


# id : NWRW1800000029.79.6.1
○ 자살했다면 장례서비스 못 받아

○	○/SW
자살했다면	자살/NNG+하/XSV+았/EP+다면/EC
장례서비스	장례/NNG+서비스/NNG
못	못/MAG
받아	받/VV+아/EF


# id : NWRW1800000029.79.7.1
상조보험은 피보험자가 사망했을 때 사망보험금 대신 상조서비스를 제공하기로 약속하는 특별약관을 더한 보험계약의 일종이다.

상조보험은	상조/NNG+보험/NNG+은/JX
피보험자가	피보험자/NNG+가/JKS
사망했을	사망/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
사망보험금	사망/NNG+보험금/NNG
대신	대신/NNG
상조서비스를	상조/NNG+서비스/NNG+를/JKO
제공하기로	제공/NNG+하/XSV+기/ETN+로/JKB
약속하는	약속/NNG+하/XSV+는/ETM
특별약관을	특별/NNG+약관/NNG+을/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
보험계약의	보험/NNG+계약/NNG+의/JKG
일종이다.	일종/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.79.8.1
주의할 점은 모든 보험계약은 보상하지 않는 손해를 약관에 규정하고 있다는 대목이다.

주의할	주의/NNG+하/XSV+ㄹ/ETM
점은	점/NNG+은/JX
모든	모든/MMN
보험계약은	보험/NNG+계약/NNG+은/JX
보상하지	보상/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
손해를	손해/NNG+를/JKO
약관에	약관/NNG+에/JKB
규정하고	규정/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.79.8.2
예를 들어 자살, 전쟁·폭동에 의한 사망, 글라이더 조종 같은 위험한 취미활동에 의한 사망은 보상 대상에서 제외된다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
자살,	자살/NNG+,/SP
전쟁·폭동에	전쟁/NNG+·/SP+폭동/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
사망,	사망/NNG+,/SP
글라이더	글라이더/NNG
조종	조종/NNG
같은	같/VA+은/ETM
위험한	위험/NNG+하/XSA+ㄴ/ETM
취미활동에	취미/NNG+활동/NNG+에/JKB
사망은	사망/NNG+은/JX
보상	보상/NNG
대상에서	대상/NNG+에서/JKB
제외된다.	제외/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.79.8.3
피보험자가 이런 이유로 사망했다면 일반적으로 상조서비스를 받을 수 없는 것이다.

피보험자가	피보험자/NNG+가/JKS
이런	이런/MMD
이유로	이유/NNG+로/JKB
사망했다면	사망/NNG+하/XSV+았/EP+다면/EC
일반적으로	일반/NNG+적/XSN+으로/JKB
상조서비스를	상조/NNG+서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.79.9.1
물론 실제 개별 계약에 따라 보장 범위가 다른 만큼 약관에 보상하지 않는 사망의 유형을 꼭 확인해야 한다.

물론	물론/MAG
실제	실제/NNG
개별	개별/NNG
계약에	계약/NNG+에/JKB
따라	따르/VV+아/EC
보장	보장/NNG
범위가	범위/NNG+가/JKS
다른	다르/VA+ㄴ/ETM
만큼	만큼/NNB
약관에	약관/NNG+에/JKB
보상하지	보상/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
사망의	사망/NNG+의/JKG
유형을	유형/NNG+을/JKO
꼭	꼭/MAG
확인해야	확인/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.79.9.2
반면 일반 상조회사는 사망 원인과 상관없이 서비스를 제공하고 있다.

반면	반면/NNG
일반	일반/NNG
상조회사는	상조/NNG+회사/NNG+는/JX
사망	사망/NNG
원인과	원인/NNG+과/JKB
상관없이	상관없이/MAG
