# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.373
metadata : {}


# id : NWRW1800000045.373.1.1
복합리조트, 또다른 황금알 전쟁… 국내외 34곳 도전장

복합리조트,	복합/NNG+리조트/NNG+,/SP
또다른	또/MAG+다른/MMD
황금알	황금알/NNG
전쟁…	전쟁/NNG+…/SE
국내외	국내외/NNG
34곳	34/SN+곳/NNG
도전장	도전장/NNG


# id : NWRW1800000045.373.2.1
8월내 건립지역 최소 2곳 발표

8월내	8/SN+월/NNB+내/NNB
건립지역	건립/NNG+지역/NNG
최소	최소/NNG
2곳	2/SN+곳/NNG
발표	발표/NNG


# id : NWRW1800000045.373.3.1
서울 도심 요지 가운데 하나인 서울 노량진수산시장이 쇼핑, 호텔, 테마파크, 면세점 등 각종 편의시설을 갖춘 복합리조트로 탈바꿈하면서 이곳에 카지노 시설이 들어설지 관심이 쏠리고 있다.

서울	서울/NNP
도심	도심/NNG
요지	요지/NNG
가운데	가운데/NNG
하나인	하나/NR+이/VCP+ㄴ/ETM
노량진수산시장이	노량진수산시장/NNP+이/JKS
쇼핑,	쇼핑/NNG+,/SP
호텔,	호텔/NNG+,/SP
테마파크,	테마파크/NNG+,/SP
면세점	면세점/NNG
등	등/NNB
각종	각종/NNG
편의시설을	편의/NNG+시설/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
복합리조트로	복합/NNG+리조트/NNG+로/JKB
탈바꿈하면서	탈바꿈/NNG+하/XSV+면서/EC
이곳에	이곳/NP+에/JKB
카지노	카지노/NNG
시설이	시설/NNG+이/JKS
들어설지	들어서/VV+ㄹ지/EF
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.373.4.1
12일 정부와 관련 업계에 따르면 문화관광체육부는 이달 안에 복합리조트가 들어설 지역으로 최소 2곳을 발표하고 연말까지 구체적인 해당 사업자를 선정 발표할 예정이다.

12일	12/SN+일/NNB
정부와	정부/NNG+와/JC
관련	관련/NNG
업계에	업계/NNG+에/JKB
따르면	따르/VV+면/EC
문화관광체육부는	문화/NNG+관광/NNG+체육부/NNG+는/JX
이달	이달/NNG
안에	안/NNG+에/JKB
복합리조트가	복합/NNG+리조트/NNG+가/JKS
들어설	들어서/VV+ㄹ/ETM
지역으로	지역/NNG+으로/JKB
최소	최소/NNG
2곳을	2/SN+곳/NNG+을/JKO
발표하고	발표/NNG+하/XSV+고/EC
연말까지	연말/NNG+까지/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
해당	해당/NNG
사업자를	사업자/NNG+를/JKO
선정	선정/NNG
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.373.4.2
몇 개 지역이 선정될지는 확정되지 않았다.

몇	몇/NR
개	개/NNB
지역이	지역/NNG+이/JKS
선정될지는	선정/NNG+되/XSV+ㄹ지/EF+는/JX
확정되지	확정/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.373.4.3
이를 앞두고 국내외 기업 34곳이 치열한 경쟁을 벌이고 있다.

이를	이/NP+를/JKO
앞두고	앞두/VV+고/EC
국내외	국내외/NNG
기업	기업/NNG
34곳이	34/SN+곳/NNG+이/JKS
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁을	경쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.373.5.1
사업요청서를 제출한 34개 업체 가운데 16개 업체가 인천지역을 입지로 택한 것으로 알려졌다.

사업요청서를	사업/NNG+요청서/NNG+를/JKO
제출한	제출/NNG+하/XSV+ㄴ/ETM
34개	34/SN+개/NNB
업체	업체/NNG
가운데	가운데/NNG
16개	16/SN+개/NNB
업체가	업체/NNG+가/JKS
인천지역을	인천지역/NNP+을/JKO
입지로	입지/NNG+로/JKB
택한	택하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.373.5.2
인천지역에서도 영종도에만 11개 업체가 몰렸다.

인천지역에서도	인천지역/NNP+에서/JKB+도/JX
영종도에만	영종도/NNP+에/JKB+만/JX
11개	11/SN+개/NNB
업체가	업체/NNG+가/JKS
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.373.5.3
특히 미단시티에는 미국과 중국 자본이 손잡은 GGAM 컨소시엄, CTF코리아개발(홍콩), 신화롄(新華聯·중국), 임피리얼퍼시픽(마카오), 오디아(싱가포르) 등 외국계 업체가 대거 참여했다.

특히	특히/MAG
미단시티에는	미단시티/NNP+에/JKB+는/JX
미국과	미국/NNP+과/JC
중국	중국/NNP
