# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.365
metadata : {}


# id : NWRW1800000037.365.1.1
北 ‘김광호 압송조’ 中에 파견

北	北/SH
‘김광호	‘/SS+김광호/NNP
압송조’	압송/NNG+조/NNG+’/SS
中에	中/SH+에/JKB
파견	파견/NNG


# id : NWRW1800000037.365.2.1
보위부 대표단, 재탈북자 북송 협상 南국적도 보유… 남북 외교력 충돌

보위부	보위부/NNG
대표단,	대표단/NNG+,/SP
재탈북자	재/XPN+탈북자/NNG
북송	북송/NNG
협상	협상/NNG
南국적도	南/SH+국적/NNG+도/JX
보유…	보유/NNG+…/SE
남북	남북/NNP
외교력	외교력/NNG
충돌	충돌/NNG


# id : NWRW1800000037.365.3.1
중국 옌볜(延邊)조선족자치주 옌지(延吉) 시에서 14일 중국 공안에 체포된 재탈북자 김광호 씨 가족 5명을 북송하기 위해 북한이 20일 보위부 특별대표단을 옌지에 파견해 중국 당국과 협상 중인 것으로 전해졌다.

중국	중국/NNP
옌볜(延邊)조선족자치주	옌볜/NNP+(/SS+延邊/SH+)/SS+조선족자치주/NNP
옌지(延吉)	옌지/NNP+(/SS+延吉/SH+)/SS
시에서	시/NNG+에서/JKB
14일	14/SN+일/NNB
공안에	공안/NNG+에/JKB
체포된	체포/NNG+되/XSV+ㄴ/ETM
재탈북자	재/XPN+탈북자/NNG
김광호	김광호/NNP
씨	씨/NNB
가족	가족/NNG
5명을	5/SN+명/NNB+을/JKO
북송하기	북송/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
북한이	북한/NNP+이/JKS
20일	20/SN+일/NNB
보위부	보위부/NNG
특별대표단을	특별/NNG+대표단/NNG+을/JKO
옌지에	옌지/NNP+에/JKB
파견해	파견/NNG+하/XSV+아/EC
당국과	당국/NNG+과/JKB
협상	협상/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.365.3.2
현지 공안의 고위 소식통은 28일 “김 씨 가족을 무조건 북으로 데려오라는 특명을 받은 보위부 대표단이 1주일 넘게 머물며 김 씨 가족의 북송을 위해 백방으로 뛰고 있다”고 말했다.

현지	현지/NNG
공안의	공안/NNG+의/JKG
고위	고위/NNG
소식통은	소식통/NNG+은/JX
28일	28/SN+일/NNB
“김	“/SS+김/NNP
씨	씨/NNB
가족을	가족/NNG+을/JKO
무조건	무/XPN+조건/NNG
북으로	북/NNP+으로/JKB
데려오라는	데려오/VV+라는/ETM
특명을	특명/NNG+을/JKO
받은	받/VV+은/ETM
보위부	보위부/NNG
대표단이	대표단/NNG+이/JKS
1주일	1/SN+주일/NNB
넘게	넘/VV+게/EC
머물며	머물/VV+며/EC
김	김/NNP
가족의	가족/NNG+의/JKG
북송을	북송/NNG+을/JKO
위해	위하/VV+아/EC
백방으로	백방/NNG+으로/JKB
뛰고	뛰/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.365.3.3
북한 보위부가 김 씨 일가 북송에 총력을 기울이는 것이 확인돼 이번 사안은 남과 북의 외교력 싸움으로 비화될 것으로 보인다.

북한	북한/NNP
보위부가	보위부/NNG+가/JKS
김	김/NNP
씨	씨/NNB
일가	일가/NNG
북송에	북송/NNG+에/JKB
총력을	총력/NNG+을/JKO
기울이는	기울이/VV+는/ETM
것이	것/NNB+이/JKS
확인돼	확인/NNG+되/XSV+어/EC
이번	이번/NNG
사안은	사안/NNG+은/JX
남과	남/NNP+과/JC
북의	북/NNP+의/JKG
외교력	외교력/NNG
싸움으로	싸움/NNG+으로/JKB
비화될	비화/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.365.4.1
김 씨와 아내, 딸은 남북한의 국적을 동시에 갖고 있어 중국은 어느 쪽의 손도 들어 주기 어려운 실정이다.

김	김/NNP
씨와	씨/NNB+와/JC
아내,	아내/NNG+,/SP
딸은	딸/NNG+은/JX
남북한의	남북한/NNP+의/JKG
국적을	국적/NNG+을/JKO
동시에	동시/NNG+에/JKB
갖고	갖/VV+고/EC
있어	있/VX+어/EC
중국은	중국/NNP+은/JX
어느	어느/MMD
쪽의	쪽/NNB+의/JKG
손도	손/NNG+도/JX
들어	들/VV+어/EC
주기	주/VX+기/ETN
어려운	어렵/VA+ㄴ/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.365.4.2
