# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.75
metadata : {}


# id : NWRW1800000044.75.1.1
“목숨값이 415달러?” 네팔 셰르파들 파업

“목숨값이	“/SS+목숨값/NNG+이/JKS
415달러?”	415/SN+달러/NNB+?/SF+”/SS
네팔	네팔/NNP
셰르파들	셰르파/NNG+들/XSN
파업	파업/NNG


# id : NWRW1800000044.75.2.1
[한겨레] 최악 눈사태로 16명 사망·실종

[한겨레]	[/SS+한겨레/NNP+]/SS
최악	최악/NNG
눈사태로	눈사태/NNG+로/JKB
16명	16/SN+명/NNB
사망·실종	사망/NNG+·/SP+실종/NNG


# id : NWRW1800000044.75.3.1
정부 쥐꼬리 보상에 분노 커져

정부	정부/NNG
쥐꼬리	쥐꼬리/NNG
보상에	보상/NNG+에/JKB
분노	분노/NNG
커져	커지/VV+어/EF


# id : NWRW1800000044.75.4.1
세계 최고봉 에베레스트에서 등반 안내 전문가인 ‘셰르파’ 10여명이 숨지는 사상 최악의 눈사태 사고가 발생한 뒤, 셰르파들이 네팔 정부의 희생자 홀대에 반발해 파업에 나섰다.

세계	세계/NNG
최고봉	최고봉/NNG
에베레스트에서	에베레스트/NNP+에서/JKB
등반	등반/NNG
안내	안내/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
‘셰르파’	‘/SS+셰르파/NNG+’/SS
10여명이	10/SN+여/XSN+명/NNB+이/JKS
숨지는	숨지/VV+는/ETM
사상	사상/NNG
최악의	최악/NNG+의/JKG
눈사태	눈사태/NNG
사고가	사고/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
셰르파들이	셰르파/NNG+들/XSN+이/JKS
네팔	네팔/NNP
정부의	정부/NNG+의/JKG
희생자	희생자/NNG
홀대에	홀대/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
파업에	파업/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.75.4.2
네팔 정부는 등산 시즌 운영에 비상이 걸리자 뒤늦게 셰르파들과 합의에 나섰다.

네팔	네팔/NNP
정부는	정부/NNG+는/JX
등산	등산/NNG
시즌	시즌/NNG
운영에	운영/NNG+에/JKB
비상이	비상/NNG+이/JKS
걸리자	걸리/VV+자/EC
뒤늦게	뒤늦/VA+게/EC
셰르파들과	셰르파/NNG+들/XSN+과/JKB
합의에	합의/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.75.5.1
22일 <에이피>(AP) 통신은 “네팔 관광부가 등반 사고에서 다치거나 숨지는 셰르파를 위한 구호 기금을 설립하는 데 동의했다”며 “셰르파들이 등반 보이콧을 위협한 뒤에 이러한 발표가 나왔다”고 전했다.

22일	22/SN+일/NNB
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신은	통신/NNG+은/JX
“네팔	“/SS+네팔/NNP
관광부가	관광부/NNG+가/JKS
등반	등반/NNG
사고에서	사고/NNG+에서/JKB
다치거나	다치/VV+거나/EC
숨지는	숨지/VV+는/ETM
셰르파를	셰르파/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
구호	구호/NNG
기금을	기금/NNG+을/JKO
설립하는	설립/NNG+하/XSV+는/ETM
데	데/NNB
동의했다”며	동의/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“셰르파들이	“/SS+셰르파/NNG+들/XSN+이/JKS
보이콧을	보이콧/NNG+을/JKO
위협한	위협/NNG+하/XSV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
이러한	이러하/VA+ㄴ/ETM
발표가	발표/NNG+가/JKS
나왔다”고	나오/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.75.5.2
네팔 정부가 셰르파의 주요 요구사항들에 부분적으로라도 동의했을 것으로 보인다고 <에이피>는 짚었다.

네팔	네팔/NNP
정부가	정부/NNG+가/JKS
셰르파의	셰르파/NNG+의/JKG
주요	주요/NNG
요구사항들에	요구/NNG+사항/NNG+들/XSN+에/JKB
부분적으로라도	부분/NNG+적/XSN+으로/JKB+이/VCP+라도/EC
동의했을	동의/NNG+하/XSV+았/EP+을/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
<에이피>는	</SS+에이피/NNP+>/SS+는/JX
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.75.5.3
셰르파 쪽은 이에 대해 아직 공식 답변을 내놓지 않은 상태다.

셰르파	셰르파/NNG
쪽은	쪽/NNB+은/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
아직	아직/MAG
공식	공식/NNG
답변을	답변/NNG+을/JKO
내놓지	내놓/VV+지/EC
않은	않/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.75.6.1
앞서 에베레스트산 정상 등반로 남동쪽 루트에 있는 쿰부 얼음폭포(해발 5800m)에서는 지난 18일 눈사태가 일어나 셰르파 13명이 숨지고 3명이 실종됐다.

앞서	앞서/MAG
에베레스트산	에베레스트산/NNP
정상	정상/NNG
등반로	등반로/NNG
남동쪽	남동쪽/NNG
루트에	루트/NNG+에/JKB
있는	있/VA+는/ETM
쿰부	쿰부/NNP
얼음폭포(해발	얼음/NNG+폭포/NNG+(/SS+해발/NNG
5800m)에서는	5800/SN+m/SW+)/SS+에서/JKB+는/JX
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
눈사태가	눈사태/NNG+가/JKS
일어나	일어나/VV+아/EC
셰르파	셰르파/NNG
13명이	13/SN+명/NNB+이/JKS
숨지고	숨지/VV+고/EC
3명이	3/SN+명/NNB+이/JKS
실종됐다.	실종/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.75.6.2
네팔 정부는 실종된 3명도 숨진 것으로 추정하고 있지만 이 지역에 위험 요소가 많아 수색을 중단했다.

네팔	네팔/NNP
정부는	정부/NNG+는/JX
실종된	실종/NNG+되/XSV+ㄴ/ETM
3명도	3/SN+명/NNB+도/JX
숨진	숨지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정하고	추정/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
이	이/MMD
지역에	지역/NNG+에/JKB
위험	위험/NNG
요소가	요소/NNG+가/JKS
많아	많/VA+아/EC
수색을	수색/NNG+을/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.75.6.3
