# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.37
metadata : {}


# id : NWRW1800000052.37.1.1
고수익 보장 투자 유혹하면, 정식 인가 업체인지 확인하세요

고수익	고/XPN+수익/NNG
보장	보장/NNG
투자	투자/NNG
유혹하면,	유혹/NNG+하/XSV+면/EC+,/SP
정식	정식/NNG
인가	인가/NNG
업체인지	업체/NNG+이/VCP+ㄴ지/EF
확인하세요	확인/NNG+하/XSV+시/EP+어요/EF


# id : NWRW1800000052.37.2.1
상반기 유사수신 신고 298건으로 작년 동기 대비 2배

상반기	상반기/NNG
유사수신	유사/NNG+수신/NNG
신고	신고/NNG
298건으로	298/SN+건/NNB+으로/JKB
작년	작년/NNG
동기	동기/NNG
대비	대비/NNG
2배	2/SN+배/NNG


# id : NWRW1800000052.37.3.1
선물옵션-비상장주식-비트코인 등으로 투자자 유혹

선물옵션-비상장주식-비트코인	선물/NNG+옵션/NNG+-/SO+비/XPN+상장/NNG+주식/NNG+-/SO+비트코인/NNG
등으로	등/NNB+으로/JKB
투자자	투자자/NNG
유혹	유혹/NNG


# id : NWRW1800000052.37.4.1
저금리가 장기화하면서 투자자에게 고수익을 미끼로 자금을 모집하는 유사수신 업체가 올 들어 급증한 것으로 나타났다.

저금리가	저/XPN+금리/NNG+가/JKS
장기화하면서	장기/NNG+화/XSN+하/XSV+면서/EC
투자자에게	투자자/NNG+에게/JKB
고수익을	고/XPN+수익/NNG+을/JKO
미끼로	미끼/NNG+로/JKB
자금을	자금/NNG+을/JKO
모집하는	모집/NNG+하/XSV+는/ETM
유사수신	유사/NNG+수신/NNG
업체가	업체/NNG+가/JKS
올	올/NNG
들어	들/VV+어/EC
급증한	급증/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.37.5.1
금융감독원은 상반기 금감원 불법사금융피해신고센터가 유사수신과 관련해 받은 신고 건수는 298건으로, 지난해 같은 기간(87건)보다 2배 이상으로 늘었다고 8일 밝혔다.

금융감독원은	금융/NNG+감독원/NNG+은/JX
상반기	상반기/NNG
금감원	금감원/NNG
불법사금융피해신고센터가	불법/NNG+사금융/NNG+피해/NNG+신고/NNG+센터/NNG+가/JKS
유사수신과	유사/NNG+수신/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
받은	받/VV+은/ETM
신고	신고/NNG
건수는	건수/NNG+는/JX
298건으로,	298/SN+건/NNB+으로/JKB+,/SP
지난해	지난해/NNG
같은	같/VA+은/ETM
기간(87건)보다	기간/NNG+(/SS+87/SN+건/NNB+)/SS+보다/JKB
2배	2/SN+배/NNG
이상으로	이상/NNG+으로/JKB
늘었다고	늘/VV+었/EP+다고/EC
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.37.5.2
또 관련 혐의를 잡고 수사당국에 통보한 경우도 64건으로 지난해 상반기보다 25건 증가했다.

또	또/MAG
관련	관련/NNG
혐의를	혐의/NNG+를/JKO
잡고	잡/VV+고/EC
수사당국에	수사/NNG+당국/NNG+에/JKB
통보한	통보/NNG+하/XSV+ㄴ/ETM
경우도	경우/NNG+도/JX
64건으로	64/SN+건/NNB+으로/JKB
지난해	지난해/NNG
상반기보다	상반기/NNG+보다/JKB
25건	25/SN+건/NNB
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.37.6.1
이들 업체들은 증권투자나 의료기기 등 판매업체를 가장한 경우가 많았다.

이들	이/NP+들/XSN
업체들은	업체/NNG+들/XSN+은/JX
증권투자나	증권/NNG+투자/NNG+나/JC
의료기기	의료/NNG+기기/NNG
등	등/NNB
판매업체를	판매업체/NNG+를/JKO
가장한	가장/NNG+하/XSV+ㄴ/ETM
경우가	경우/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000052.37.6.2
구체적으로 금융업으로 등록되지 않은 업체임에도 FX마진거래(이종 화폐 간 환율변동을 이용해 시체차익을 노리는 외국환거래), 선물옵션 등으로 고수익을 보장한다고 투자자를 현혹하거나, 비상장주식을 곧 상장할 것처럼 꾀는 경우도 있었다.

구체적으로	구체/NNG+적/XSN+으로/JKB
금융업으로	금융업/NNG+으로/JKB
등록되지	등록/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
업체임에도	업체/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
FX마진거래(이종	FX/SL+마진/NNG+거래/NNG+(/SS+이종/NNG
화폐	화폐/NNG
간	간/NNB
환율변동을	환율/NNG+변동/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
시체차익을	시체/NNG+차익/NNG+을/JKO
노리는	노리/VV+는/ETM
외국환거래),	외국환/NNG+거래/NNG+)/SS+,/SP
선물옵션	선물/NNG+옵션/NNG
등으로	등/NNB+으로/JKB
고수익을	고/XPN+수익/NNG+을/JKO
보장한다고	보장/NNG+하/XSV+ㄴ다고/EC
투자자를	투자자/NNG+를/JKO
현혹하거나,	현혹/NNG+하/XSV+거나/EC+,/SP
비상장주식을	비/XPN+상장/NNG+주식/NNG+을/JKO
곧	곧/MAG
상장할	상장/NNG+하/XSV+ㄹ/ETM
것처럼	것/NNB+처럼/JKB
꾀는	꾀/VV+는/ETM
경우도	경우/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.37.6.3
이밖에 비트코인과 같은 가상화폐를 소개하거나, 협동조합·영농조합 등을 가장해 투자를 유인하기도 했다.

이밖에	이/NP+밖/NNG+에/JKB
비트코인과	비트코인/NNG+과/JKB
같은	같/VA+은/ETM
가상화폐를	가상/NNG+화폐/NNG+를/JKO
소개하거나,	소개/NNG+하/XSV+거나/EC+,/SP
협동조합·영농조합	협동조합/NNG+·/SP+영농/NNG+조합/NNG
등을	등/NNB+을/JKO
가장해	가장/NNG+하/XSV+아/EC
투자를	투자/NNG+를/JKO
유인하기도	유인/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.37.7.1
김상록 금감원 불법금융대응단 팀장은 “유사수신 업체는 신규 투자금을 기존 투자자에게 지급하는 이른바 ‘돌려막기’ 방식이 대부분이며, 초기에 높은 이자나 배당금을 지급하는 경향이 있다.

김상록	김상록/NNP
금감원	금감원/NNG
불법금융대응단	불법/NNG+금융/NNG+대응단/NNG
팀장은	팀장/NNG+은/JX
“유사수신	“/SS+유사/NNG+수신/NNG
업체는	업체/NNG+는/JX
신규	신규/NNG
투자금을	투자금/NNG+을/JKO
기존	기존/NNG
투자자에게	투자자/NNG+에게/JKB
지급하는	지급/NNG+하/XSV+는/ETM
이른바	이른바/MAG
‘돌려막기’	‘/SS+돌리/VV+어/EC+막/VV+기/ETN+’/SS
방식이	방식/NNG+이/JKS
대부분이며,	대/XPN+부분/NNG+이/VCP+며/EC+,/SP
초기에	초기/NNG+에/JKB
높은	높/VA+은/ETM
이자나	이자/NNG+나/JC
배당금을	배당금/NNG+을/JKO
경향이	경향/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.37.7.2
정식으로 인가받은 금융회사는 어떤 경우에도 원금과 고수익을 보장한다며 자금을 모집하거나 투자를 권유하지 않기 때문에 이를 확인할 필요가 있다”고 밝혔다.

정식으로	정식/NNG+으로/JKB
인가받은	인가/NNG+받/XSV+은/ETM
금융회사는	금융/NNG+회사/NNG+는/JX
어떤	어떤/MMD
경우에도	경우/NNG+에/JKB+도/JX
원금과	원금/NNG+과/JC
고수익을	고/XPN+수익/NNG+을/JKO
보장한다며	보장/NNG+하/XSV+ㄴ다며/EC
자금을	자금/NNG+을/JKO
모집하거나	모집/NNG+하/XSV+거나/EC
투자를	투자/NNG+를/JKO
권유하지	권유/NNG+하/XSV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
이를	이/NP+를/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.37.7.3
확인은 서민금융1332(s1332.fss.or.kr) 누리집에서 금융회사·등록대부업체 조회를 하면 된다.

확인은	확인/NNG+은/JX
서민금융1332(s1332.fss.or.kr)	서민/NNG+금융/NNG+1332/SN+(/SS+s/SL+1332/SN+./SP+fss/SL+./SP+or/SL+./SP+kr/SL+)/SS
누리집에서	누리집/NNG+에서/JKB
금융회사·등록대부업체	금융/NNG+회사/NNG+·/SP+등록/NNG+대부업체/NNG
조회를	조회/NNG+를/JKO
하면	하/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.37.7.4
또 유사수신 행위에 대한 상담이나 피해 신고는 불법사금융피해센터(국번없이 1332)로 전화하면 된다.

또	또/MAG
유사수신	유사/NNG+수신/NNG
행위에	행위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
상담이나	상담/NNG+이나/JC
피해	피해/NNG
신고는	신고/NNG+는/JX
불법사금융피해센터(국번없이	불법/NNG+사금융/NNG+피해/NNG+센터/NNG+(/SS+국번/NNG+없이/MAG
1332)로	1332/SN+)/SS+로/JKB
전화하면	전화/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


