# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.342
metadata : {}


# id : NWRW1800000033.342.1.1
한-일 외교 충돌 / 노다 ‘위안부 강제동원’ 마저 부인

한-일	한-일/NNP
외교	외교/NNG
충돌	충돌/NNG
/	//SP
노다	노다/NNP
‘위안부	‘/SS+위안부/NNG
강제동원’	강제/NNG+동원/NNG+’/SS
마저	마저/MAG
부인	부인/NNG


# id : NWRW1800000033.342.2.1
■ “강제성 증거없다” 日 민주당 총리론 첫 주장

■	■/SW
“강제성	“/SS+강제/NNG+성/XSN
증거없다”	증거/NNG+없/VA+다/EF+”/SS
日	日/SH
민주당	민주당/NNP
총리론	총리/NNG+론/XSN
첫	첫/MMN
주장	주장/NNG


# id : NWRW1800000033.342.3.1
노다 요시히코(野田佳彦·사진) 일본 총리는 27일 일본이 일본군 위안부를 강제로 동원한 증거는 없다고 말했다.

노다	노다/NNP
요시히코(野田佳彦·사진)	요시히코/NNP+(/SS+野田佳彦/SH+·/SP+사진/NNG+)/SS
일본	일본/NNP
총리는	총리/NNG+는/JX
27일	27/SN+일/NNB
일본이	일본/NNP+이/JKS
일본군	일본군/NNG
위안부를	위안부/NNG+를/JKO
강제로	강제/NNG+로/JKB
동원한	동원/NNG+하/XSV+ㄴ/ETM
증거는	증거/NNG+는/JX
없다고	없/VA+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.342.3.2
독도에 대한 유효지배를 다짐하며 ‘불퇴전의 결의’를 외친 그가 급기야 민주당 총리로서는 처음으로 위안부 강제 동원마저 사실상 부인한 셈이다.

독도에	독도/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
유효지배를	유효/NNG+지배/NNG+를/JKO
다짐하며	다짐/NNG+하/XSV+며/EC
‘불퇴전의	‘/SS+불/XPN+퇴전/NNG+의/JKG
결의’를	결의/NNG+’/SS+를/JKO
외친	외치/VV+ㄴ/ETM
그가	그/NP+가/JKS
급기야	급기야/MAG
민주당	민주당/NNP
총리로서는	총리/NNG+로서/JKB+는/JX
처음으로	처음/NNG+으로/JKB
위안부	위안부/NNG
강제	강제/NNG
동원마저	동원/NNG+마저/JX
사실상	사실/NNG+상/XSN
부인한	부인/NNG+하/XSV+ㄴ/ETM
