# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.352
metadata : {}


# id : NWRW1800000049.352.1.1
‘우병우 청문회’ 된 경찰청장 청문회

‘우병우	‘/SS+우병우/NNP
청문회’	청문회/NNG+’/SS
된	되/VV+ㄴ/ETM
경찰청장	경찰청장/NNG
청문회	청문회/NNG


# id : NWRW1800000049.352.2.1
[우병우 수사의뢰 파문]이철성 후보자 23년전 음주운전사고 당시 경찰신분 숨겨 징계 안받아… 野 “우병우의 인사검증 실패한 것”

[우병우	[/SS+우병우/NNP
수사의뢰	수사/NNG+의뢰/NNG
파문]이철성	파문/NNG+]/SS+이철성/NNP
후보자	후보자/NNG
23년전	23/SN+년/NNB+전/NNG
음주운전사고	음주/NNG+운전/NNG+사고/NNG
당시	당시/NNG
경찰신분	경찰/NNG+신분/NNG
숨겨	숨기/VV+어/EC
징계	징계/NNG
안받아…	안/MAG+받/VV+아/EF+…/SE
野	野/SH
“우병우의	“/SS+우병우/NNP+의/JKG
인사검증	인사/NNG+검증/NNG
실패한	실패/NNG+하/XSV+ㄴ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000049.352.3.1
19일 열린 국회 안전행정위원회 이철성 경찰청장 후보자(58) 인사청문회에서 23년 전 이 후보자가 음주운전 교통사고를 낸 뒤 신분을 숨긴 사실이 드러나 논란이 벌어졌다.

19일	19/SN+일/NNB
열린	열리/VV+ㄴ/ETM
국회	국회/NNG
안전행정위원회	안전/NNG+행정/NNG+위원회/NNG
이철성	이철성/NNP
경찰청장	경찰청장/NNG
후보자(58)	후보자/NNG+(/SS+58/SN+)/SS
인사청문회에서	인사/NNG+청문회/NNG+에서/JKB
23년	23/SN+년/NNB
전	전/NNG
이	이/NNP
후보자가	후보자/NNG+가/JKS
음주운전	음주/NNG+운전/NNG
교통사고를	교통사고/NNG+를/JKO
낸	내/VV+ㄴ/ETM
뒤	뒤/NNG
신분을	신분/NNG+을/JKO
숨긴	숨기/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
논란이	논란/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.352.4.1
이 후보자는 이날 여야 의원들이 음주 교통사고 당시 수사기록과 징계기록 제출을 요구하자 “음주운전 조사를 받는데 너무 정신이 없고 부끄러워 (경찰) 신분을 밝히지 못했다.

이	이/NNP
후보자는	후보자/NNG+는/JX
이날	이날/NNG
여야	여야/NNG
의원들이	의원/NNG+들/XSN+이/JKS
음주	음주/NNG
교통사고	교통사고/NNG
당시	당시/NNG
수사기록과	수사/NNG+기록/NNG+과/JC
징계기록	징계/NNG+기록/NNG
제출을	제출/NNG+을/JKO
요구하자	요구/NNG+하/XSV+자/EC
“음주운전	“/SS+음주/NNG+운전/NNG
조사를	조사/NNG+를/JKO
받는데	받/VV+는데/EC
너무	너무/MAG
정신이	정신/NNG+이/JKS
없고	없/VA+고/EC
부끄러워	부끄럽/VA+어/EC
(경찰)	(/SS+경찰/NNG+)/SS
신분을	신분/NNG+을/JKO
밝히지	밝히/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.352.4.2
그로 인해 징계 기록은 없다”고 밝혔다.

그로	그/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
징계	징계/NNG
기록은	기록/NNG+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
