# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.350
metadata : {}


# id : NWRW1800000038.350.1.1
공정위 전속고발권 일부 폐지, 금융소비자보호원 신설

공정위	공정위/NNG
전속고발권	전속/NNG+고발/NNG+권/XSN
일부	일부/NNG
폐지,	폐지/NNG+,/SP
금융소비자보호원	금융/NNG+소비자/NNG+보호원/NNG
신설	신설/NNG


# id : NWRW1800000038.350.2.1
與野 합의… 상반기 중 추진

與野	與野/SH
합의…	합의/NNG+…/SE
상반기	상반기/NNG
중	중/NNB
추진	추진/NNG


# id : NWRW1800000038.350.3.1
여야는 17일 올해 상반기까지 담합 기업에 대한 공정거래위원회의 전속고발권을 일부 폐지하고, 금융소비자보호원 신설을 추진하기 위한 구체적인 계획을 수립하기로 합의했다.

여야는	여야/NNG+는/JX
17일	17/SN+일/NNB
올해	올해/NNG
상반기까지	상반기/NNG+까지/JX
담합	담합/NNG
기업에	기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공정거래위원회의	공정/NNG+거래/NNG+위원회/NNG+의/JKG
전속고발권을	전속/NNG+고발/NNG+권/XSN+을/JKO
일부	일부/NNG
폐지하고,	폐지/NNG+하/XSV+고/EC+,/SP
금융소비자보호원	금융/NNG+소비자/NNG+보호원/NNG
신설을	신설/NNG+을/JKO
추진하기	추진/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
계획을	계획/NNG+을/JKO
수립하기로	수립/NNG+하/XSV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.350.3.2
대선에서 양당 공통의 경제 민주화 공약에 대해 "국회 주도로 조속히 추진하겠다"고 여야가 약속한 것이다.

대선에서	대선/NNG+에서/JKB
양당	양당/NNG
공통의	공통/NNG+의/JKG
경제	경제/NNG
민주화	민주/NNG+화/XSN
공약에	공약/NNG+에/JKB
대해	대하/VV+아/EC
"국회	"/SS+국회/NNG
주도로	주도/NNG+로/JKB
조속히	조속히/MAG
추진하겠다"고	추진/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
여야가	여야/NNG+가/JKS
약속한	약속/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.350.4.1
여야는 우선 기업이 담합 행위로 공정거래법을 위반할 경우 중소기업청장·조달청장·감사원장에게 '고발 요청권'을 부여하고 이 요청을 받은 공정거래위원장은 의무적으로 검찰에 고발토록 하는 방안에 합의했다.

여야는	여야/NNG+는/JX
우선	우선/MAG
기업이	기업/NNG+이/JKS
담합	담합/NNG
행위로	행위/NNG+로/JKB
공정거래법을	공정/NNG+거래법/NNG+을/JKO
위반할	위반/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
중소기업청장·조달청장·감사원장에게	중소기업청장/NNG+·/SP+조달청장/NNG+·/SP+감사원장/NNG+에게/JKB
'고발	'/SS+고발/NNG
요청권'을	요청/NNG+권/XSN+'/SS+을/JKO
부여하고	부여/NNG+하/XSV+고/EC
이	이/MMD
요청을	요청/NNG+을/JKO
받은	받/VV+은/ETM
공정거래위원장은	공정/NNG+거래/NNG+위원장/NNG+은/JX
의무적으로	의무/NNG+적/XSN+으로/JKB
검찰에	검찰/NNG+에/JKB
고발토록	고발/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
방안에	방안/NNG+에/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.350.4.2
여야는 '공정위 전속고발권 폐지'를 골자로 하는 공정거래법 개정안을 6월 임시국회에서 처리하기로 했다.

여야는	여야/NNG+는/JX
'공정위	'/SS+공정위/NNG
전속고발권	전속/NNG+고발/NNG+권/XSN
폐지'를	폐지/NNG+'/SS+를/JKO
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
공정거래법	공정/NNG+거래법/NNG
개정안을	개정안/NNG+을/JKO
6월	6/SN+월/NNB
임시국회에서	임시/NNG+국회/NNG+에서/JKB
처리하기로	처리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.350.5.1
여야는 또 "금융소비자보호원 신설 문제를 비롯한 전반적인 금융감독체계 개편에 관해 정부 측에 올 상반기 중에 계획서를 제출하도록 요구한다"는 데도 합의했다.

여야는	여야/NNG+는/JX
또	또/MAG
"금융소비자보호원	"/SS+금융/NNG+소비자/NNG+보호원/NNG
신설	신설/NNG
문제를	문제/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
금융감독체계	금융/NNG+감독/NNG+체계/NNG
개편에	개편/NNG+에/JKB
관해	관하/VV+아/EC
정부	정부/NNG
측에	측/NNB+에/JKB
올	올/NNG
상반기	상반기/NNG
중에	중/NNB+에/JKB
계획서를	계획서/NNG+를/JKO
제출하도록	제출/NNG+하/XSV+도록/EC
요구한다"는	요구/NNG+하/XSV+ㄴ다/EF+"/SS+는/ETM
데도	데/NNB+도/JX
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.350.5.2
금융회사가 소비자(금융상품 가입자)에게 설명을 제대로 하지 않은 채 투자 상품을 판매하는 '불완전 판매' 등을 좀 더 강력하게 제재하기 위한 조치로, 현재 금감원 내부기구인 금융소비자보호처를 별도 기구인 '금융소비자보호원'으로 독립시키겠다는 것이다.

금융회사가	금융/NNG+회사/NNG+가/JKS
소비자(금융상품	소비자/NNG+(/SS+금융/NNG+상품/NNG
가입자)에게	가입자/NNG+)/SS+에게/JKB
설명을	설명/NNG+을/JKO
제대로	제대로/MAG
하지	하/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
투자	투자/NNG
상품을	상품/NNG+을/JKO
판매하는	판매/NNG+하/XSV+는/ETM
'불완전	'/SS+불/XPN+완전/NNG
판매'	판매/NNG+'/SS
등을	등/NNB+을/JKO
좀	좀/MAG
더	더/MAG
강력하게	강력/NNG+하/XSA+게/EC
제재하기	제재/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
조치로,	조치/NNG+로/JKB+,/SP
현재	현재/MAG
금감원	금감원/NNG
내부기구인	내부/NNG+기구/NNG+이/VCP+ㄴ/ETM
금융소비자보호처를	금융/NNG+소비자/NNG+보호처/NNG+를/JKO
별도	별도/NNG
기구인	기구/NNG+이/VCP+ㄴ/ETM
'금융소비자보호원'으로	'/SS+금융/NNG+소비자/NNG+보호원/NNG+'/SS+으로/JKB
독립시키겠다는	독립/NNG+시키/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.350.5.3
공정위의 전속고발권 일부 폐지와 금융소비자보호원 신설은 양당이 대선 때 공약했으며, 박근혜 대통령직인수위원회의 140대 국정과제에도 포함됐다.

공정위의	공정위/NNG+의/JKG
전속고발권	전속/NNG+고발/NNG+권/XSN
일부	일부/NNG
폐지와	폐지/NNG+와/JC
금융소비자보호원	금융/NNG+소비자/NNG+보호원/NNG
신설은	신설/NNG+은/JX
양당이	양당/NNG+이/JKS
대선	대선/NNG
때	때/NNG
공약했으며,	공약/NNG+하/XSV+았/EP+으며/EC+,/SP
박근혜	박근혜/NNP
대통령직인수위원회의	대통령직/NNG+인수/NNG+위원회/NNG+의/JKG
140대	140/SN+대/NNB
국정과제에도	국정/NNG+과제/NNG+에/JKB+도/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.350.6.1
여야는 중소기업청의 위상을 강화하기 위해 중기청장을 국무회의에 배석하도록 하기로 했다.

여야는	여야/NNG+는/JX
중소기업청의	중소기업청/NNG+의/JKG
위상을	위상/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
중기청장을	중기청장/NNG+을/JKO
국무회의에	국무/NNG+회의/NNG+에/JKB
배석하도록	배석/NNG+하/XSV+도록/EC
하기로	하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.350.7.1
또 우정사업본부는 우정청으로 승격하지 않고 미래부 산하에 두기로 했다.

또	또/MAG
우정사업본부는	우정/NNG+사업/NNG+본부/NNG+는/JX
우정청으로	우정청/NNG+으로/JKB
승격하지	승격/NNG+하/XSV+지/EC
않고	않/VX+고/EC
미래부	미래부/NNG
산하에	산하/NNG+에/JKB
두기로	두/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.350.7.2
하지만 대통령령으로 별도의 우정사업본부 형태로 운영토록 하고, 인사와 조직에 대한 우정사업본부장의 권한도 한층 강화하기로 했다.

하지만	하지만/MAJ
대통령령으로	대통령령/NNG+으로/JKB
별도의	별도/NNG+의/JKG
우정사업본부	우정/NNG+사업/NNG+본부/NNG
형태로	형태/NNG+로/JKB
운영토록	운영/NNG+하/XSV+도록/EC
하고,	하/VX+고/EC+,/SP
인사와	인사/NNG+와/JC
조직에	조직/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우정사업본부장의	우정/NNG+사업/NNG+본부장/NNG+의/JKG
권한도	권한/NNG+도/JX
한층	한층/MAG
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


