# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.357
metadata : {}


# id : NWRW1800000052.357.1.1
국민의당, 박선숙·김수민 면담도 않고 “문제 없어”

국민의당,	국민의당/NNP+,/SP
박선숙·김수민	박선숙/NNP+·/SP+김수민/NNP
면담도	면담/NNG+도/JX
않고	않/VV+고/EC
“문제	“/SS+문제/NNG
없어”	없/VA+어/EF+”/SS


# id : NWRW1800000052.357.2.1
진상조사단 중간 발표 “당에 들어온 돈 없다”

진상조사단	진상/NNG+조사단/NNG
중간	중간/NNG
발표	발표/NNG
“당에	“/SS+당/NNG+에/JKB
들어온	들어오/VV+ㄴ/ETM
돈	돈/NNG
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000052.357.3.1
자체 조사 한계…왕주현 사무부총장 16일 검찰 출석

자체	자체/NNG
조사	조사/NNG
한계…왕주현	한계/NNG+…/SE+왕주현/NNP
사무부총장	사무/NNG+부총장/NNG
16일	16/SN+일/NNB
검찰	검찰/NNG
출석	출석/NNG


# id : NWRW1800000052.357.4.1
선거 홍보비 리베이트 의혹에 대해 자체 진상조사를 벌이고 있는 국민의당이 15일 ‘김수민 의원이 대표로 있던 디자인회사 브랜드호텔이 광고대행·공보물 업체로부터 받은 돈은 당으로 유입되지 않았다’는 중간 조사 결과를 발표했다.

선거	선거/NNG
홍보비	홍보비/NNG
리베이트	리베이트/NNG
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
자체	자체/NNG
진상조사를	진상/NNG+조사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
국민의당이	국민의당/NNP+이/JKS
15일	15/SN+일/NNB
‘김수민	‘/SS+김수민/NNP
의원이	의원/NNG+이/JKS
대표로	대표/NNG+로/JKB
있던	있/VA+던/ETM
디자인회사	디자인/NNG+회사/NNG
브랜드호텔이	브랜드호텔/NNP+이/JKS
광고대행·공보물	광고/NNG+대행/NNG+·/SP+공보물/NNG
업체로부터	업체/NNG+로부터/JKB
받은	받/VV+은/ETM
돈은	돈/NNG+은/JX
당으로	당/NNG+으로/JKB
유입되지	유입/NNG+되/XSV+지/EC
않았다’는	않/VX+았/EP+다/EF+’/SS+는/ETM
중간	중간/NNG
조사	조사/NNG
결과를	결과/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.357.4.2
검찰은 이날 리베이트 사건과 관련해 선관위에 고발당한 왕주현 국민의당 사무부총장에게 출석을 통보했으나 왕 부총장은 응하지 않았다.

검찰은	검찰/NNG+은/JX
이날	이날/NNG
리베이트	리베이트/NNG
사건과	사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
선관위에	선관위/NNG+에/JKB
고발당한	고발/NNG+당하/XSV+ㄴ/ETM
왕주현	왕주현/NNP
국민의당	국민의당/NNP
사무부총장에게	사무/NNG+부총장/NNG+에게/JKB
출석을	출석/NNG+을/JKO
통보했으나	통보/NNG+하/XSV+았/EP+으나/EC
왕	왕/NNP
부총장은	부총장/NNG+은/JX
응하지	응하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.357.4.3
그는 박선숙 당시 사무총장과 함께 허위 계약서 작성 등을 사전에 논의하고 공보물 업체 등에 리베이트를 요구한 혐의를 받고 있다.

그는	그/NP+는/JX
박선숙	박선숙/NNP
당시	당시/NNG
사무총장과	사무총장/NNG+과/JKB
함께	함께/MAG
허위	허위/NNG
계약서	계약서/NNG
작성	작성/NNG
등을	등/NNB+을/JKO
사전에	사전/NNG+에/JKB
논의하고	논의/NNG+하/XSV+고/EC
공보물	공보물/NNG
업체	업체/NNG
등에	등/NNB+에/JKB
리베이트를	리베이트/NNG+를/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.357.5.1
진상조사단 단장을 맡고 있는 이상돈 의원은 15일 오전 국회 국민의당 대표실에서 기자간담회를 열고 “선거공보물 인쇄업체와 광고대행업체에서 브랜드호텔로 들어온 돈은 계좌에 그대로 남아 있고 국민의당 누구에게도 나간 적이 없다”고 말했다.

진상조사단	진상/NNG+조사단/NNG
단장을	단장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
이상돈	이상돈/NNP
의원은	의원/NNG+은/JX
15일	15/SN+일/NNB
오전	오전/NNG
국회	국회/NNG
국민의당	국민의당/NNP
대표실에서	대표실/NNG+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열고	열/VV+고/EC
“선거공보물	“/SS+선거/NNG+공보물/NNG
인쇄업체와	인쇄업체/NNG+와/JC
광고대행업체에서	광고/NNG+대행업체/NNG+에서/JKB
브랜드호텔로	브랜드호텔/NNP+로/JKB
들어온	들어오/VV+ㄴ/ETM
돈은	돈/NNG+은/JX
계좌에	계좌/NNG+에/JKB
그대로	그대로/MAG
남아	남/VV+아/EC
있고	있/VX+고/EC
누구에게도	누구/NP+에게/JKB+도/JX
나간	나가/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.357.5.2
국민의당이 이들 업체에 일감을 몰아주고 김 의원의 브랜드호텔을 통해 리베이트를 전달받은 것이 아니냐는 의혹을 부인한 것이다.

국민의당이	국민의당/NNP+이/JKS
이들	이/NP+들/XSN
업체에	업체/NNG+에/JKB
일감을	일감/NNG+을/JKO
몰아주고	몰아주/VV+고/EC
김	김/NNP
의원의	의원/NNG+의/JKG
브랜드호텔을	브랜드호텔/NNP+을/JKO
통해	통하/VV+아/EC
리베이트를	리베이트/NNG+를/JKO
전달받은	전달/NNG+받/XSV+은/ETM
것이	것/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
의혹을	의혹/NNG+을/JKO
부인한	부인/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.357.5.3
이 의원은 김수민 의원과 그의 지도 교수였던 김아무개 교수 등이 포함된 홍보티에프(TF)는 국민의당이 아닌 브랜드호텔 소속으로 이들이 업체들로부터 돈을 받은 것은 당과 무관하다는 기존 입장을 거듭 강조했다.

이	이/NNP
의원은	의원/NNG+은/JX
김수민	김수민/NNP
의원과	의원/NNG+과/JC
그의	그/NP+의/JKG
지도	지도/NNG
교수였던	교수/NNG+이/VCP+었/EP+던/ETM
김아무개	김/NNP+아무개/NP
교수	교수/NNG
등이	등/NNB+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
홍보티에프(TF)는	홍보/NNG+티에프/NNG+(/SS+TF/SL+)/SS+는/JX
국민의당이	국민의당/NNP+이/JKS
아닌	아니/VCN+ㄴ/ETM
브랜드호텔	브랜드호텔/NNP
소속으로	소속/NNG+으로/JKB
이들이	이/NP+들/XSN+이/JKS
업체들로부터	업체/NNG+들/XSN+로부터/JKB
돈을	돈/NNG+을/JKO
받은	받/VV+은/ETM
것은	것/NNB+은/JX
당과	당/NNG+과/JKB
무관하다는	무관하/VA+다는/ETM
기존	기존/NNG
입장을	입장/NNG+을/JKO
거듭	거듭/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.357.6.1
그러나 이번 자체 조사 결과는 수사 대상자인 김아무개 교수와 브랜드호텔의 일방적 주장을 토대로 한 데다, 핵심 당사자인 박선숙·김수민 의원에 대해서는 면담조차 이뤄지지 않은 상태에서 발표한 것이다.

그러나	그러나/MAJ
이번	이번/NNG
자체	자체/NNG
조사	조사/NNG
결과는	결과/NNG+는/JX
수사	수사/NNG
대상자인	대상자/NNG+이/VCP+ㄴ/ETM
김아무개	김/NNP+아무개/NP
교수와	교수/NNG+와/JC
브랜드호텔의	브랜드호텔/NNP+의/JKG
일방적	일방/NNG+적/XSN
주장을	주장/NNG+을/JKO
토대로	토대/NNG+로/JKB
한	하/VV+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
핵심	핵심/NNG
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
박선숙·김수민	박선숙/NNP+·/SP+김수민/NNP
의원에	의원/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
면담조차	면담/NNG+조차/JX
이뤄지지	이뤄지/VV+지/EC
않은	않/VX+은/ETM
상태에서	상태/NNG+에서/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.357.6.2
선거공보물 인쇄업체인 ㅂ업체의 대표와도 연락이 닿지 않아 만나지 못했다고 한다.

선거공보물	선거/NNG+공보물/NNG
인쇄업체인	인쇄업체/NNG+이/VCP+ㄴ/ETM
ㅂ업체의	ㅂ/NNG+업체/NNG+의/JKG
대표와도	대표/NNG+와/JKB+도/JX
연락이	연락/NNG+이/JKS
닿지	닿/VV+지/EC
않아	않/VX+아/EC
만나지	만나/VV+지/EC
못했다고	못하/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.357.7.1
이 의원은 선관위 고발의 핵심 내용 중 하나인 박선숙 의원 등의 사전 지시 및 공모 여부에 대해선 “우리가 조사할 사안이 아니다”라고 선을 긋는 등 자체 조사의 한계를 드러냈다.

이	이/NNP
의원은	의원/NNG+은/JX
선관위	선관위/NNG
고발의	고발/NNG+의/JKG
핵심	핵심/NNG
내용	내용/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
박선숙	박선숙/NNP
의원	의원/NNG
등의	등/NNB+의/JKG
사전	사전/NNG
지시	지시/NNG
및	및/MAG
공모	공모/NNG
여부에	여부/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“우리가	“/SS+우리/NP+가/JKS
조사할	조사/NNG+하/XSV+ㄹ/ETM
사안이	사안/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
선을	선/NNG+을/JKO
긋는	긋/VV+는/ETM
등	등/NNB
자체	자체/NNG
조사의	조사/NNG+의/JKG
한계를	한계/NNG+를/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.357.7.2
브랜드호텔이 조사단에 제출했다는 통장 외에 별도 계좌나 현금으로 자금이 오갔을 수도 있다는 의혹에 대해서는 “물어봤는데 (별도 거래는) 없다는 것”이라고 말했다.

브랜드호텔이	브랜드호텔/NNP+이/JKS
조사단에	조사단/NNG+에/JKB
제출했다는	제출/NNG+하/XSV+았/EP+다는/ETM
통장	통장/NNG
외에	외/NNB+에/JKB
별도	별도/NNG
계좌나	계좌/NNG+나/JC
현금으로	현금/NNG+으로/JKB
자금이	자금/NNG+이/JKS
오갔을	오가/VV+았/EP+을/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
의혹에	의혹/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“물어봤는데	“/SS+물어보/VV+았/EP+는데/EC
(별도	(/SS+별도/NNG
거래는)	거래/NNG+는/JX+)/SS
없다는	없/VA+다는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.357.7.3
이 의원은 “(브랜드호텔은) 젊은이들이 만든 회사로 제가 느끼기에는 원대한 음모를 (도모)할 만하지 않다”면서 “두 개(광고대행·공보물) 업체는 나이 서른 된 사람들이 운영하는 곳이고 계약서 없이 신의관계로 일했다가 일이 터진 것”이라고 말했다.

이	이/NNP
의원은	의원/NNG+은/JX
“(브랜드호텔은)	“/SS+(/SS+브랜드호텔/NNP+은/JX+)/SS
젊은이들이	젊은이/NNG+들/XSN+이/JKS
만든	만들/VV+ㄴ/ETM
회사로	회사/NNG+로/JKB
제가	제/NP+가/JKS
느끼기에는	느끼/VV+기/ETN+에/JKB+는/JX
원대한	원대하/VA+ㄴ/ETM
음모를	음모/NNG+를/JKO
(도모)할	(/SS+도모/NNG+)/SS+하/VV+ㄹ/ETM
만하지	만/NNB+하/XSA+지/EC
않다”면서	않/VX+다/EF+”/SS+면서/EC
“두	“/SS+두/MMN
개(광고대행·공보물)	개/NNB+(/SS+광고/NNG+대행/NNG+·/SP+공보물/NNG+)/SS
업체는	업체/NNG+는/JX
나이	나이/NNG
서른	서른/NR
된	되/VV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
곳이고	곳/NNG+이/VCP+고/EC
계약서	계약서/NNG
없이	없이/MAG
신의관계로	신의/NNG+관계/NNG+로/JKB
일했다가	일/NNG+하/XSV+았/EP+다가/EC
일이	일/NNG+이/JKS
터진	터지/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.357.7.4
사후 계약서에 대해선 “총선이 시급하니 먼저 일을 시작하고 계약서는 나중에 작성한 것”이라고 옹호하기도 했다.

사후	사후/NNG
계약서에	계약서/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“총선이	“/SS+총선/NNG+이/JKS
시급하니	시급하/VA+니/EC
먼저	먼저/MAG
일을	일/NNG+을/JKO
시작하고	시작/NNG+하/XSV+고/EC
계약서는	계약서/NNG+는/JX
나중에	나중/NNG+에/JKB
작성한	작성/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
옹호하기도	옹호/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.357.8.1
