# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.77
metadata : {}


# id : NWRW1800000028.77.1.1
복지부 ‘가족업무’ 여성부로 이관

복지부	복지부/NNG
‘가족업무’	‘/SS+가족/NNG+업무/NNG+’/SS
여성부로	여성부/NNG+로/JKB
이관	이관/NNG


# id : NWRW1800000028.77.2.1
정부는 보건복지가족부의 가족·청소년 업무를 여성부로 이관하는 내용을 담은 직제개정령안을 9일 열린 국무회의에서 의결했다고 밝혔다.

정부는	정부/NNG+는/JX
보건복지가족부의	보건/NNG+복지/NNG+가족부/NNG+의/JKG
가족·청소년	가족/NNG+·/SP+청소년/NNG
업무를	업무/NNG+를/JKO
여성부로	여성부/NNG+로/JKB
이관하는	이관/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
직제개정령안을	직제/NNG+개정령/NNG+안/NNG+을/JKO
9일	9/SN+일/NNB
열린	열리/VV+ㄴ/ETM
국무회의에서	국무/NNG+회의/NNG+에서/JKB
의결했다고	의결/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.77.2.2
이에 따라 여성부는 보건복지가족부가 맡아왔던 가족·청소년 업무와 담당 인력(102명)을 이관받아 1실·2관·8과 규모의 ‘청소년가족정책실’을 설치·운영한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
여성부는	여성부/NNG+는/JX
보건복지가족부가	보건/NNG+복지/NNG+가족부/NNG+가/JKS
맡아왔던	맡/VV+아/EC+오/VX+았/EP+던/ETM
가족·청소년	가족/NNG+·/SP+청소년/NNG
업무와	업무/NNG+와/JC
담당	담당/NNG
인력(102명)을	인력/NNG+(/SS+102/SN+명/NNB+)/SS+을/JKO
이관받아	이관/NNG+받/XSV+아/EC
1실·2관·8과	1/SN+실/NNG+·/SP+2관/NNG+·/SP+8/SN+과/NNG
규모의	규모/NNG+의/JKG
‘청소년가족정책실’을	‘/SS+청소년/NNG+가족/NNG+정책실/NNG+’/SS+을/JKO
설치·운영한다.	설치/NNG+·/SP+운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.77.2.3
명칭도 여성부에서 여성가족부로 바뀐다.

명칭도	명칭/NNG+도/JX
여성부에서	여성부/NNG+에서/JKB
여성가족부로	여성/NNG+가족부/NNG+로/JKB
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.77.2.4
보건복지가족부는 ‘보건복지부’로 이름을 바꾸고, 기존의 저출산고령사회정책국을 1실·3관·11과 규모의 저출산고령사회정책실로 확대·개편할 계획이다.

보건복지가족부는	보건/NNG+복지/NNG+가족부/NNG+는/JX
‘보건복지부’로	‘/SS+보건/NNG+복지부/NNG+’/SS+로/JKB
이름을	이름/NNG+을/JKO
바꾸고,	바꾸/VV+고/EC+,/SP
기존의	기존/NNG+의/JKG
저출산고령사회정책국을	저/XPN+출산/NNG+고령/NNG+사회/NNG+정책국/NNG+을/JKO
1실·3관·11과	1/SN+실/NNG+·/SP+3관/NNG+·/SP+11/SN+과/NNG
규모의	규모/NNG+의/JKG
저출산고령사회정책실로	저/XPN+출산/NNG+고령/NNG+사회/NNG+정책실/NNG+로/JKB
확대·개편할	확대/NNG+·/SP+개편/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.77.2.5
양 부처의 개정 직제는 19일부터 시행된다.

양	양/MMN
부처의	부처/NNG+의/JKG
개정	개정/NNG
직제는	직제/NNG+는/JX
19일부터	19/SN+일/NNB+부터/JX
시행된다.	시행/NNG+되/XSV+ㄴ다/EF+./SF


