# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.205
metadata : {}


# id : NWRW1800000052.205.1.1
구리·양주 시장 재선거…13일 함께 뽑아요

구리·양주	구리/NNP+·/SP+양주/NNP
시장	시장/NNG
재선거…13일	재/XPN+선거/NNG+…/SE+13/SN+일/NNB
함께	함께/MAG
뽑아요	뽑/VV+아요/EF


# id : NWRW1800000052.205.2.1
[한겨레] “구리·양주시장도 뽑아요.”

[한겨레]	[/SS+한겨레/NNP+]/SS
“구리·양주시장도	“/SS+구리/NNP+·/SP+양주/NNP+시장/NNG+도/JX
뽑아요.”	뽑/VV+아요/EF+./SF+”/SS


# id : NWRW1800000052.205.3.1
20대 총선일인 13일, 선거법 위반 확정 판결로 시장이 중도하차한 경기도 구리·양주시장 재선거도 치러진다.

20대	20/SN+대/NNB
총선일인	총선일/NNG+이/VCP+ㄴ/ETM
13일,	13/SN+일/NNB+,/SP
선거법	선거법/NNG
위반	위반/NNG
확정	확정/NNG
판결로	판결/NNG+로/JKB
시장이	시장/NNG+이/JKS
중도하차한	중도/NNG+하차/NNG+하/XSV+ㄴ/ETM
경기도	경기도/NNP
구리·양주시장	구리/NNP+·/SP+양주/NNP+시장/NNG
재선거도	재/XPN+선거/NNG+도/JX
치러진다.	치르/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.205.4.1
구리시장 재선거는 구리시 행정지원국장을 지낸 새누리당 백경현(57) 후보와 박영순 전 시장의 부인인 더불어민주당 김점숙(65) 후보가 접전을 벌이는 가운데, 구리월드디자인시티 추진 범시민연대 공동대표를 지낸 국민의당 백현종(50) 후보와 무소속 박수천(59) 후보가 추격하는 양상이다.

구리시장	구리시장/NNG
재선거는	재/XPN+선거/NNG+는/JX
구리시	구리시/NNP
행정지원국장을	행정/NNG+지원국장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
새누리당	새누리당/NNP
백경현(57)	백경현/NNP+(/SS+57/SN+)/SS
후보와	후보/NNG+와/JC
박영순	박영순/NNP
전	전/MMD
시장의	시장/NNG+의/JKG
부인인	부인/NNG+이/VCP+ㄴ/ETM
더불어민주당	더불어민주당/NNP
김점숙(65)	김점숙/NNP+(/SS+65/SN+)/SS
후보가	후보/NNG+가/JKS
접전을	접전/NNG+을/JKO
벌이는	벌이/VV+는/ETM
가운데,	가운데/NNG+,/SP
구리월드디자인시티	구리월드디자인시티/NNP
추진	추진/NNG
범시민연대	범/XPN+시민/NNG+연대/NNG
공동대표를	공동/NNG+대표/NNG+를/JKO
국민의당	국민의당/NNP
백현종(50)	백현종/NNP+(/SS+50/SN+)/SS
무소속	무/XPN+소속/NNG
박수천(59)	박수천/NNP+(/SS+59/SN+)/SS
추격하는	추격/NNG+하/XSV+는/ETM
양상이다.	양상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.205.5.1
선거의 최대 쟁점은 박 전 시장이 16년 동안 시장으로 재임하면서 역점 추진해온 구리월드디자인시티 조성사업이다.

선거의	선거/NNG+의/JKG
최대	최대/NNG
쟁점은	쟁점/NNG+은/JX
박	박/NNP
전	전/MMD
시장이	시장/NNG+이/JKS
16년	16/SN+년/NNB
동안	동안/NNG
시장으로	시장/NNG+으로/JKB
재임하면서	재임/NNG+하/XSV+면서/EC
역점	역점/NNG
추진해온	추진/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
구리월드디자인시티	구리월드디자인시티/NNP
조성사업이다.	조성/NNG+사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.205.5.2
새누리당 백 후보는 “구리월드디자인시티 부지인 토평동 일대를 창조문화융합밸리로 개발하겠다”며, “박 전 시장이 못다 이룬 구리월드디자인시티 사업을 2년 안에 착공시키겠다”는 더불어민주당 김 후보와 맞서고 있다.

새누리당	새누리당/NNP
백	백/NNP
후보는	후보/NNG+는/JX
“구리월드디자인시티	“/SS+구리월드디자인시티/NNP
부지인	부지/NNG+이/VCP+ㄴ/ETM
토평동	토평동/NNP
일대를	일대/NNG+를/JKO
창조문화융합밸리로	창조/NNG+문화/NNG+융합/NNG+밸리/NNG+로/JKB
개발하겠다”며,	개발/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC+,/SP
“박	“/SS+박/NNP
전	전/MMD
시장이	시장/NNG+이/JKS
못다	못다/MAG
이룬	이루/VV+ㄴ/ETM
구리월드디자인시티	구리월드디자인시티/NNP
사업을	사업/NNG+을/JKO
2년	2/SN+년/NNB
안에	안/NNG+에/JKB
착공시키겠다”는	착공/NNG+시키/XSV+겠/EP+다/EF+”/SS+는/ETM
더불어민주당	더불어민주당/NNP
김	김/NNP
후보와	후보/NNG+와/JKB
맞서고	맞서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.205.5.3
국민의당 백 후보도 “구리월드디자인시티 사업을 성공시킬 적임자”라며 지지를 호소하고 있다.

국민의당	국민의당/NNP
백	백/NNP
후보도	후보/NNG+도/JX
“구리월드디자인시티	“/SS+구리월드디자인시티/NNP
사업을	사업/NNG+을/JKO
성공시킬	성공/NNG+시키/XSV+ㄹ/ETM
적임자”라며	적임자/NNG+”/SS+이/VCP+라며/EC
지지를	지지/NNG+를/JKO
호소하고	호소/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.205.6.1
22년 동안 행정관료 출신이 시장직을 이어온 양주시장 재선거는 이번에도 공직 선후배가 개발 공약을 내세우며 대결을 펼치고 있다.

22년	22/SN+년/NNB
동안	동안/NNG
행정관료	행정/NNG+관료/NNG
출신이	출신/NNG+이/JKS
시장직을	시장직/NNG+을/JKO
이어온	잇/VV+어/EC+오/VX+ㄴ/ETM
양주시장	양주/NNP+시장/NNG
재선거는	재/XPN+선거/NNG+는/JX
이번에도	이번/NNG+에/JKB+도/JX
공직	공직/NNG
선후배가	선후배/NNG+가/JKS
개발	개발/NNG
공약을	공약/NNG+을/JKO
내세우며	내세우/VV+며/EC
대결을	대결/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.205.6.2
양주시시설관리공단 이사장을 지낸 새누리당 정동환(61) 후보와 양주시 도시국장 출신의 더불어민주당 이성호(58) 후보는 의정부공고 동문이기도 하다.

양주시시설관리공단	양주시/NNP+시설/NNG+관리/NNG+공단/NNG
이사장을	이사장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
새누리당	새누리당/NNP
정동환(61)	정동환/NNP+(/SS+61/SN+)/SS
후보와	후보/NNG+와/JC
양주시	양주시/NNP
도시국장	도시/NNG+국장/NNG
출신의	출신/NNG+의/JKG
더불어민주당	더불어민주당/NNP
이성호(58)	이성호/NNP+(/SS+58/SN+)/SS
후보는	후보/NNG+는/JX
의정부공고	의정부공고/NNP
동문이기도	동문/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000052.205.6.3
여기에 무소속 이항원(60) 후보가 가세했다.

여기에	여기/NP+에/JKB
무소속	무/XPN+소속/NNG
이항원(60)	이항원/NNP+(/SS+60/SN+)/SS
후보가	후보/NNG+가/JKS
가세했다.	가세/NNG+하/XSV+았/EP+다/EF+./SF


