# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.316
metadata : {}


# id : NWRW1800000030.316.1.1
[기자수첩] 민주당 의원 50여명 모인 '막걸리 파티'에 가보니

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
민주당	민주당/NNP
의원	의원/NNG
50여명	50/SN+여/XSN+명/NNB
모인	모이/VV+ㄴ/ETM
'막걸리	'/SS+막걸리/NNG
파티'에	파티/NNG+'/SS+에/JKB
가보니	가/VV+아/EC+보/VX+니/EC


# id : NWRW1800000030.316.2.1
지난달 29일 밤 10시 30분쯤 서울 여의도 국회 앞의 한 설렁탕집.

지난달	지난달/NNG
29일	29/SN+일/NNB
밤	밤/NNG
10시	10/SN+시/NNB
30분쯤	30/SN+분/NNB+쯤/XSN
서울	서울/NNP
여의도	여의도/NNP
국회	국회/NNG
앞의	앞/NNG+의/JKG
한	한/MMN
설렁탕집.	설렁탕/NNG+집/NNG+./SF


# id : NWRW1800000030.316.2.2
검은색 고급 승용차 수십대가 인근 1차선 도로까지 나와 긴 행렬을 이뤘다.

검은색	검은색/NNG
고급	고급/NNG
승용차	승용차/NNG
수십대가	수십/NR+대/NNB+가/JKS
인근	인근/NNG
1차선	1/SN+차선/NNG
도로까지	도로/NNG+까지/JX
나와	나오/VV+아/EC
긴	길/VA+ㄴ/ETM
행렬을	행렬/NNG+을/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.316.2.3
손학규 대표를 비롯해 박지원 원내대표, 차기 원내대표 경선에 나서는 강봉균, 유선호, 김진표 의원 등 민주당 의원 50여명이 설렁탕집에서 '막걸리 파티'를 벌였다.

손학규	손학규/NNP
대표를	대표/NNG+를/JKO
비롯해	비롯하/VV+아/EC
박지원	박지원/NNP
원내대표,	원내/NNG+대표/NNG+,/SP
차기	차기/NNG
원내대표	원내/NNG+대표/NNG
경선에	경선/NNG+에/JKB
나서는	나서/VV+는/ETM
강봉균,	강봉균/NNP+,/SP
유선호,	유선호/NNP+,/SP
김진표	김진표/NNP
의원	의원/NNG
등	등/NNB
민주당	민주당/NNP
50여명이	50/SN+여/XSN+명/NNB+이/JKS
설렁탕집에서	설렁탕/NNG+집/NNG+에서/JKB
'막걸리	'/SS+막걸리/NNG
파티'를	파티/NNG+'/SS+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.316.2.4
한·EU FTA(자유무역협정) 비준안을 끝내 통과시키지 못하고 본회의가 끝난 뒤였다.

한·EU	한/NNP+·/SP+EU/SL
FTA(자유무역협정)	FTA/SL+(/SS+자유/NNG+무역/NNG+협정/NNG+)/SS
비준안을	비준안/NNG+을/JKO
끝내	끝내/MAG
통과시키지	통과/NNG+시키/XSV+지/EC
못하고	못하/VX+고/EC
본회의가	본회의/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤였다.	뒤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.316.3.1
손 대표가 "민주당, 대한민국, 그리고 의원 여러분을 위하여"라고 선창하자 "위하여!" 소리로 식당이 떠나갈듯했다.

손	손/NNP
대표가	대표/NNG+가/JKS
"민주당,	"/SS+민주당/NNP+,/SP
대한민국,	대한민국/NNP+,/SP
그리고	그리고/MAJ
의원	의원/NNG
여러분을	여러분/NP+을/JKO
위하여"라고	위하/VV+아/EC+"/SS+라고/JKQ
선창하자	선창/NNG+하/XSV+자/EC
"위하여!"	"/SS+위하/VV+아/EC+!/SF+"/SS
소리로	소리/NNG+로/JKB
식당이	식당/NNG+이/JKS
떠나갈듯했다.	떠나가/VV+ㄹ/ETM+듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000030.316.3.2
이틀 전 분당을(乙) 보선에서 승리한 데 이어 이날 국민참여당 유시민 대표를 제치고 대선주자 여론조사에서 2위로 오른 손 대표는 환한 표정이었다.

이틀	이틀/NNG
전	전/NNG
분당을(乙)	분당을/NNP+(/SS+乙/SH+)/SS
보선에서	보선/NNG+에서/JKB
승리한	승리/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
이날	이날/NNG
국민참여당	국민참여당/NNP
유시민	유시민/NNP
대표를	대표/NNG+를/JKO
제치고	제치/VV+고/EC
대선주자	대선/NNG+주자/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
2위로	2/SN+위/NNB+로/JKB
오른	오르/VV+ㄴ/ETM
손	손/NNP
대표는	대표/NNG+는/JX
환한	환하/VA+ㄴ/ETM
표정이었다.	표정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.316.4.1
박 원내대표는 선거 기간 수고한 의원들 이름을 거명하며 "이번 재보선에서 확인한 민심으로 내년 총선과 대선을 승리해 정권교체를 이루자"고 했고, 한 의원이 "오늘 한-EU FTA를 처리해주지 않은 것은 원내대표를 좀 더 오래하기 위한 것 아니냐"고 하자, 술기운이 오른 박 원내대표가 "하여간 저런 놈들 때문에 안 된다"고 말해 폭소가 터졌다.

박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
선거	선거/NNG
기간	기간/NNG
수고한	수고/NNG+하/XSV+ㄴ/ETM
의원들	의원/NNG+들/XSN
이름을	이름/NNG+을/JKO
거명하며	거명/NNG+하/XSV+며/EC
"이번	"/SS+이번/NNG
재보선에서	재보선/NNG+에서/JKB
확인한	확인/NNG+하/XSV+ㄴ/ETM
민심으로	민심/NNG+으로/JKB
내년	내년/NNG
총선과	총선/NNG+과/JC
대선을	대선/NNG+을/JKO
승리해	승리/NNG+하/XSV+아/EC
정권교체를	정권/NNG+교체/NNG+를/JKO
이루자"고	이루/VV+자/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
한	한/MMN
의원이	의원/NNG+이/JKS
"오늘	"/SS+오늘/NNG
한-EU	한/NNP+-/SO+EU/SL
FTA를	FTA/SL+를/JKO
처리해주지	처리/NNG+하/XSV+아/EC+주/VX+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
원내대표를	원내/NNG+대표/NNG+를/JKO
좀	좀/MAG
더	더/MAG
오래하기	오래/MAG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것	것/NNB
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
술기운이	술기운/NNG+이/JKS
오른	오르/VV+ㄴ/ETM
원내대표가	원내/NNG+대표/NNG+가/JKS
"하여간	"/SS+하여간/MAG
저런	저런/MMD
놈들	놈/NNB+들/XSN
때문에	때문/NNB+에/JKB
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
폭소가	폭소/NNG+가/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.316.4.2
이날 모임은 13일 임기가 끝나는 박 원내대표 환송회를 겸한 자리이기도 했다.

이날	이날/NNG
모임은	모임/NNG+은/JX
13일	13/SN+일/NNB
임기가	임기/NNG+가/JKS
끝나는	끝나/VV+는/ETM
박	박/NNP
원내대표	원내/NNG+대표/NNG
환송회를	환송회/NNG+를/JKO
겸한	겸/NNB+하/XSV+ㄴ/ETM
자리이기도	자리/NNG+이/VCP+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.316.5.1
설렁탕집 막걸리가 동나 인근에서 추가로 사오기도 했다.

설렁탕집	설렁탕/NNG+집/NNG
막걸리가	막걸리/NNG+가/JKS
동나	동나/VV+아/EC
인근에서	인근/NNG+에서/JKB
추가로	추가/NNG+로/JKB
사오기도	사/VV+아/EC+오/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.316.5.2
군데군데서 "국민참여당은 안 돼" 같은 소리도 흘러나왔다.

군데군데서	군데군데/NNG+서/JKB
"국민참여당은	"/SS+국민참여당/NNP+은/JX
안	안/MAG
돼"	되/VV+어/EF+"/SS
같은	같/VA+은/ETM
소리도	소리/NNG+도/JX
흘러나왔다.	흘러나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.316.5.3
12시까지 이어진 술자리의 식대 100여만원은 박 대표가 계산했다.

12시까지	12/SN+시/NNB+까지/JX
이어진	이어지/VV+ㄴ/ETM
술자리의	술자리/NNG+의/JKG
식대	식대/NNG
100여만원은	100/SN+여/XSN+만/NR+원/NNB+은/JX
박	박/NNP
대표가	대표/NNG+가/JKS
계산했다.	계산/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.316.5.4
한 당직자는 "근래 들어 이렇게 많은 의원들이 한데 모여 식사와 술을 한 건 처음"이라고 했다.

한	하/VV+ㄴ/ETM
당직자는	당직자/NNG+는/JX
"근래	"/SS+근래/NNG
들어	들/VV+어/EC
이렇게	이렇/VA+게/EC
많은	많/VA+은/ETM
의원들이	의원/NNG+들/XSN+이/JKS
한데	한데/NNG
모여	모이/VV+어/EC
식사와	식사/NNG+와/JC
술을	술/NNG+을/JKO
건	거/NNB+ㄴ/JX
처음"이라고	처음/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.316.6.1
28일 수도권의 한 중진의원은 기자에게 "민주당이 자칫 지금 승리에 도취되면 내년 총선에서 민주당이 질 것 같다"고 했다.

28일	28/SN+일/NNB
수도권의	수도/NNG+권/XSN+의/JKG
한	한/MMN
중진의원은	중진/NNG+의원/NNG+은/JX
기자에게	기자/NNG+에게/JKB
"민주당이	"/SS+민주당/NNP+이/JKS
자칫	자칫/MAG
지금	지금/MAG
승리에	승리/NNG+에/JKB
도취되면	도취/NNG+되/XSV+면/EC
내년	내년/NNG
총선에서	총선/NNG+에서/JKB
민주당이	민주당/NNP+이/JKS
질	지/VV+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.316.6.2
그러면서도 "앞에서 웃지 말고 뒤로 가서 웃으라는데 말처럼 되느냐"고 했다.

그러면서도	그러/VV+면서/EC+도/JX
"앞에서	"/SS+앞/NNG+에서/JKB
웃지	웃/VV+지/EC
말고	말/VX+고/EC
뒤로	뒤/NNG+로/JKB
가서	가/VV+아서/EC
웃으라는데	웃/VV+으라는데/EC
말처럼	말/NNG+처럼/JKB
되느냐"고	되/VV+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.316.6.3
요즘 민주당 분위기는 한 진보 논객이 "진보개혁진영, 잔치 분위기 그만둬라"고 했을 정도다.

요즘	요즘/NNG
민주당	민주당/NNP
분위기는	분위기/NNG+는/JX
한	한/MMN
진보	진보/NNG
논객이	논객/NNG+이/JKS
"진보개혁진영,	"/SS+진보/NNG+개혁/NNG+진영/NNG+,/SP
잔치	잔치/NNG
분위기	분위기/NNG
그만둬라"고	그만두/VV+어라/EF+"/SS+고/JKQ
했을	하/VV+았/EP+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.316.7.1
일부 한나라당 의원들은 4·27 재보궐 선거 전에 "이번 선거에서 한나라당이 져서 정신 좀 차리면 좋겠다"고 했었다.

일부	일부/NNG
한나라당	한나라당/NNP
의원들은	의원/NNG+들/XSN+은/JX
4·27	4/SN+·/SP+27/SN
재보궐	재/XPN+보궐/NNG
선거	선거/NNG
전에	전/NNG+에/JKB
"이번	"/SS+이번/NNG
선거에서	선거/NNG+에서/JKB
한나라당이	한나라당/NNP+이/JKS
져서	지/VV+어서/EC
정신	정신/NNG
좀	좀/MAG
차리면	차리/VV+면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000030.316.7.2
한나라당이 위기를 기회로 만들지, 아니면 민주당이 기회를 위기로 만들지 앞으로 두고 볼 일이다.

한나라당이	한나라당/NNP+이/JKS
위기를	위기/NNG+를/JKO
기회로	기회/NNG+로/JKB
만들지,	만들/VV+지/EF+,/SP
아니면	아니/VCN+면/EC
민주당이	민주당/NNP+이/JKS
기회를	기회/NNG+를/JKO
위기로	위기/NNG+로/JKB
만들지	만들/VV+지/EF
앞으로	앞/NNG+으로/JKB
두고	두/VV+고/EC
볼	보/VV+ㄹ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


