# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.156
metadata : {}


# id : NWRW1800000022.156.1.1
英경제 망가져 어딜 가든 훈수받아… 브라운 총리 '수모'

英경제	英/SH+경제/NNG
망가져	망가지/VV+어/EC
어딜	어디/NP+ㄹ/JKO
가든	가/VV+든/EC
훈수받아…	훈수/NNG+받/XSV+아/EF+…/SE
브라운	브라운/NNP
총리	총리/NNG
'수모'	'/SS+수모/NNG+'/SS


# id : NWRW1800000022.156.2.1
폴란드를 방문 중인 영국의 고든 브라운(Brown) 총리가 자국 경제를 잘 관리하지 못했다는 이유로 '모욕'을 받았다.

폴란드를	폴란드/NNP+를/JKO
방문	방문/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
영국의	영국/NNP+의/JKG
고든	고든/NNP
브라운(Brown)	브라운/NNP+(/SS+Brown/SL+)/SS
총리가	총리/NNG+가/JKS
자국	자국/NNG
경제를	경제/NNG+를/JKO
잘	잘/MAG
관리하지	관리/NNG+하/XSV+지/EC
못했다는	못하/VX+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
'모욕'을	'/SS+모욕/NNG+'/SS+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.156.3.1
12년 연속 경제 성장을 하고 있는 폴란드의 도널드 터스크(Tusk) 총리는 브라운 총리를 만난 자리에서 지난 3개 분기 동안 마이너스 성장을 기록한 영국 경제에 대해 '훈수'를 두었다고 영국 타임스가 28일 보도했다.

12년	12/SN+년/NNB
연속	연속/NNG
경제	경제/NNG
성장을	성장/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
폴란드의	폴란드/NNP+의/JKG
도널드	도널드/NNP
터스크(Tusk)	터스크/NNP+(/SS+Tusk/SL+)/SS
총리는	총리/NNG+는/JX
브라운	브라운/NNP
총리를	총리/NNG+를/JKO
만난	만나/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
3개	3/SN+개/NNB
분기	분기/NNG
동안	동안/NNG
마이너스	마이너스/NNG
기록한	기록/NNG+하/XSV+ㄴ/ETM
영국	영국/NNP
경제에	경제/NNG+에/JKB
대해	대하/VV+아/EC
'훈수'를	'/SS+훈수/NNG+'/SS+를/JKO
두었다고	두/VV+었/EP+다고/EC
타임스가	타임스/NNP+가/JKS
28일	28/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.156.4.1
터스크는 브라운과의 조찬 회동에서 "폴란드가 신용 위기를 피할 수 있었던 이유는 은행을 효율적으로 감독하고 법과 원칙을 지켰기 때문"이라면서 "경제 위기에 대처하는 방법은 경기 부양을 위해 정부 지출을 늘리는 것이 아니라 공적 자금을 효율적으로 운영하는 것"이라고 충고했다.

터스크는	터스크/NNP+는/JX
브라운과의	브라운/NNP+과/JKB+의/JKG
조찬	조찬/NNG
회동에서	회동/NNG+에서/JKB
"폴란드가	"/SS+폴란드/NNP+가/JKS
신용	신용/NNG
위기를	위기/NNG+를/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
이유는	이유/NNG+는/JX
은행을	은행/NNG+을/JKO
효율적으로	효율/NNG+적/XSN+으로/JKB
감독하고	감독/NNG+하/XSV+고/EC
법과	법/NNG+과/JC
원칙을	원칙/NNG+을/JKO
지켰기	지키/VV+었/EP+기/ETN
때문"이라면서	때문/NNB+"/SS+이/VCP+라면서/EC
"경제	"/SS+경제/NNG
위기에	위기/NNG+에/JKB
대처하는	대처/NNG+하/XSV+는/ETM
방법은	방법/NNG+은/JX
경기	경기/NNG
부양을	부양/NNG+을/JKO
위해	위하/VV+아/EC
정부	정부/NNG
지출을	지출/NNG+을/JKO
늘리는	늘리/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
공적	공/NNG+적/XSN
자금을	자금/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
충고했다.	충고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.156.5.1
브라운 총리는 불황을 타개하기 위해 지난해 200억파운드(약 40조원) 규모의 경기 부양책을 내놔 영국 경제를 빚더미에 올려놨다.

브라운	브라운/NNP
총리는	총리/NNG+는/JX
불황을	불황/NNG+을/JKO
타개하기	타개/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지난해	지난해/NNG
200억파운드(약	200/SN+억/NR+파운드/NNB+(/SS+약/MMA
40조원)	40/SN+조/NR+원/NNB+)/SS
규모의	규모/NNG+의/JKG
경기	경기/NNG
부양책을	부양책/NNG+을/JKO
내놔	내놓/VV+아/EC
영국	영국/NNP
경제를	경제/NNG+를/JKO
빚더미에	빚더미/NNG+에/JKB
올려놨다.	올려놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.156.6.1
브라운 총리가 경제 때문에 외국 정상에게 모욕을 받은 것은 이번이 처음이 아니다.

브라운	브라운/NNP
총리가	총리/NNG+가/JKS
경제	경제/NNG
때문에	때문/NNB+에/JKB
외국	외국/NNG
정상에게	정상/NNG+에게/JKB
모욕을	모욕/NNG+을/JKO
받은	받/VV+은/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이	처음/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.156.6.2
지난달 G20(주요 20개국) 정상회의에서 칠레의 미첼 바첼레트(Bachelet) 대통령은 "칠레 경제가 잘 굴러가는 것은 나쁜 때를 대비해 좋은 시절에 많이 비축해 뒀기 때문"이라며 영국이 경제 위기에 제대로 대비하지 못했음을 은근히 꼬집었다.

지난달	지난달/NNG
G20(주요	G/SL+20/SN+(/SS+주요/NNG
20개국)	20/SN+개국/NNB+)/SS
정상회의에서	정상/NNG+회의/NNG+에서/JKB
칠레의	칠레/NNP+의/JKG
미첼	미첼/NNP
바첼레트(Bachelet)	바첼레트/NNP+(/SS+Bachelet/SL+)/SS
대통령은	대통령/NNG+은/JX
"칠레	"/SS+칠레/NNP
경제가	경제/NNG+가/JKS
잘	잘/MAG
굴러가는	굴러가/VV+는/ETM
것은	것/NNB+은/JX
나쁜	나쁘/VA+ㄴ/ETM
때를	때/NNG+를/JKO
대비해	대비/NNG+하/XSV+아/EC
좋은	좋/VA+은/ETM
시절에	시절/NNG+에/JKB
많이	많이/MAG
비축해	비축/NNG+하/XSV+아/EC
뒀기	두/VX+었/EP+기/ETN
때문"이라며	때문/NNB+"/SS+이/VCP+라며/EC
영국이	영국/NNP+이/JKS
경제	경제/NNG
위기에	위기/NNG+에/JKB
제대로	제대로/MAG
대비하지	대비/NNG+하/XSV+지/EC
못했음을	못하/VX+았/EP+음/ETN+을/JKO
은근히	은근히/MAG
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


