# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.121
metadata : {}


# id : NWRW1800000048.121.1.1
“한국인·마도로스 긍지 살려 국제 해운산업 발전 이끌터”

“한국인·마도로스	“/SS+한국인/NNG+·/SP+마도로스/NNG
긍지	긍지/NNG
살려	살리/VV+어/EC
국제	국제/NNG
해운산업	해운/NNG+산업/NNG
발전	발전/NNG
이끌터”	이끌/VV+ㄹ/ETM+터/NNB+”/SS


# id : NWRW1800000048.121.2.1
한국인 첫 국제해사기구 사무총장 당선된 임기택 사장

한국인	한국인/NNG
첫	첫/MMN
국제해사기구	국제해사기구/NNP
사무총장	사무총장/NNG
당선된	당선/NNG+되/XSV+ㄴ/ETM
임기택	임기택/NNP
사장	사장/NNG


# id : NWRW1800000048.121.3.1
“저는 해양대 항해과를 졸업했기 때문에 마도로스(외항선원) 출신입니다.

“저는	“/SS+저/NP+는/JX
해양대	해양대/NNG
항해과를	항해/NNG+과/NNG+를/JKO
졸업했기	졸업/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
마도로스(외항선원)	마도로스/NNG+(/SS+외항선원/NNG+)/SS
출신입니다.	출신/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000048.121.3.2
해군 장교로 근무하고 몇년 승선생활도 했습니다.”

해군	해군/NNG
장교로	장교/NNG+로/JKB
근무하고	근무/NNG+하/XSV+고/EC
몇년	몇/NR+년/NNB
승선생활도	승선/NNG+생활/NNG+도/JX
했습니다.”	하/VV+았/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000048.121.4.1
한국인 최초로 국제해사기구(IMO) 사무총장에 당선된 임기택(59) 부산항만공사 사장은 2일 오전 정부서울청사에서 한 기자회견에서, “많은 관심과 배려를 해주신 국민 여러분과 대한민국에 깊은 감사의 말씀을 드린다.

한국인	한국인/NNG
최초로	최초/NNG+로/JKB
국제해사기구(IMO)	국제해사기구/NNP+(/SS+IMO/SL+)/SS
사무총장에	사무총장/NNG+에/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
임기택(59)	임기택/NNP+(/SS+59/SN+)/SS
부산항만공사	부산항만공사/NNP
사장은	사장/NNG+은/JX
2일	2/SN+일/NNB
오전	오전/NNG
정부서울청사에서	정부서울청사/NNP+에서/JKB
한	한/MMN
기자회견에서,	기자/NNG+회견/NNG+에서/JKB+,/SP
“많은	“/SS+많/VA+은/ETM
관심과	관심/NNG+과/JC
배려를	배려/NNG+를/JKO
해주신	하/VV+아/EC+주/VX+시/EP+ㄴ/ETM
국민	국민/NNG
여러분과	여러분/NP+과/JKB
대한민국에	대한민국/NNP+에/JKB
깊은	깊/VA+은/ETM
감사의	감사/NNG+의/JKG
말씀을	말씀/NNG+을/JKO
드린다.	드리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.121.4.2
대한민국인의 긍지를 살릴 수 있도록 열심히 하겠다”며 이렇게 말했다.

대한민국인의	대한민국인/NNG+의/JKG
긍지를	긍지/NNG+를/JKO
살릴	살리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
열심히	열심히/MAG
하겠다”며	하/VV+겠/EP+다/EF+”/SS+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.121.5.1
경남 마산 출신으로 4년7개월 동안 유조선, 곡물운반선, 광물운반선 등 다양한 외항선 생활을 한 그는, 지난달 30일 영국 런던에서 치러진 차기 사무총장 선거에서 덴마크 등 쟁쟁한 5개 나라 후보를 누르고 선출됐다.

경남	경남/NNP
마산	마산/NNP
출신으로	출신/NNG+으로/JKB
4년7개월	4/SN+년/NNB+7/SN+개월/NNB
동안	동안/NNG
유조선,	유조선/NNG+,/SP
곡물운반선,	곡물/NNG+운반선/NNG+,/SP
광물운반선	광물/NNG+운반선/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
외항선	외항선/NNG
생활을	생활/NNG+을/JKO
한	하/VV+ㄴ/ETM
그는,	그/NP+는/JX+,/SP
지난달	지난달/NNG
30일	30/SN+일/NNB
영국	영국/NNP
런던에서	런던/NNP+에서/JKB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
차기	차기/NNG
사무총장	사무총장/NNG
선거에서	선거/NNG+에서/JKB
덴마크	덴마크/NNP
쟁쟁한	쟁쟁하/VA+ㄴ/ETM
5개	5/SN+개/NNB
나라	나라/NNG
후보를	후보/NNG+를/JKO
누르고	누르/VV+고/EC
