# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.170
metadata : {}


# id : NWRW1800000038.170.1.1
공중보건의, 마약류 훔쳐 투약… 환각상태 진료 의혹

공중보건의,	공중/NNG+보건의/NNG+,/SP
마약류	마약/NNG+류/XSN
훔쳐	훔치/VV+어/EC
투약…	투약/NNG+…/SE
환각상태	환각/NNG+상태/NNG
진료	진료/NNG
의혹	의혹/NNG


# id : NWRW1800000038.170.2.1
작년에도 1000만원 벌금형 "진통제로 쓴 것" 혐의 부인

작년에도	작년/NNG+에/JKB+도/JX
1000만원	1000/SN+만/NR+원/NNB
벌금형	벌금형/NNG
"진통제로	"/SS+진통제/NNG+로/JKB
쓴	쓰/VV+ㄴ/ETM
것"	것/NNB+"/SS
혐의	혐의/NNG
부인	부인/NNG


# id : NWRW1800000038.170.3.1
종합병원에서 아르바이트하면서 마약류로 분류되는 약품을 몰래 빼돌려 투약해 온 공중보건의가 붙잡혔다.

종합병원에서	종합/NNG+병원/NNG+에서/JKB
아르바이트하면서	아르바이트/NNG+하/XSV+면서/EC
마약류로	마약/NNG+류/XSN+로/JKB
분류되는	분류/NNG+되/XSV+는/ETM
약품을	약품/NNG+을/JKO
몰래	몰래/MAG
빼돌려	빼돌리/VV+어/EC
투약해	투약/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
공중보건의가	공중/NNG+보건의/NNG+가/JKS
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.170.3.2
이 공중보건의는 작년에도 같은 범행을 저질러 벌금형을 받았지만 별다른 제재 없이 공중보건의로 계속 근무해온 것으로 나타났다.

이	이/MMD
공중보건의는	공중/NNG+보건의/NNG+는/JX
작년에도	작년/NNG+에/JKB+도/JX
같은	같/VA+은/ETM
범행을	범행/NNG+을/JKO
저질러	저지르/VV+어/EC
벌금형을	벌금형/NNG+을/JKO
받았지만	받/VV+았/EP+지만/EC
별다른	별다르/VA+ㄴ/ETM
제재	제재/NNG
없이	없이/MAG
공중보건의로	공중/NNG+보건의/NNG+로/JKB
계속	계속/MAG
근무해온	근무/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.170.4.1
경기 안산단원경찰서는 29일 이런 혐의로 안산시의 한 보건진료소 공중보건의 이모(34)씨를 구속했다고 밝혔다.

경기	경기/NNP
안산단원경찰서는	안산단원경찰서/NNP+는/JX
29일	29/SN+일/NNB
이런	이런/MMD
혐의로	혐의/NNG+로/JKB
안산시의	안산시/NNP+의/JKG
한	한/MMN
보건진료소	보건/NNG+진료소/NNG
공중보건의	공중/NNG+보건의/NNG
이모(34)씨를	이/NNP+모/NP+(/SS+34/SN+)/SS+씨/NNB+를/JKO
구속했다고	구속/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.170.4.2
이씨는 지난 3월 충남과 서울의 종합병원에서 일당을 받는 당직의사로 근무하던 중 마약류로 분류된 주사 앰풀 9병을 몰래 빼돌린 혐의를 받고 있다.

이씨는	이/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
충남과	충남/NNP+과/JC
서울의	서울/NNP+의/JKG
종합병원에서	종합/NNG+병원/NNG+에서/JKB
일당을	일당/NNG+을/JKO
받는	받/VV+는/ETM
당직의사로	당직/NNG+의사/NNG+로/JKB
근무하던	근무/NNG+하/XSV+던/ETM
중	중/NNB
마약류로	마약/NNG+류/XSN+로/JKB
분류된	분류/NNG+되/XSV+ㄴ/ETM
주사	주사/NNG
앰풀	앰풀/NNG
9병을	9/SN+병/NNG+을/JKO
몰래	몰래/MAG
빼돌린	빼돌리/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.170.4.3
이 약품들은 펜타닐·모르핀황산염수화물·염산페치딘 등으로 마취 보조나 급성 통증 완화에 처방되고 있다.

이	이/MMD
