# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.4
metadata : {}


# id : NWRW1800000054.4.1.1
날씨보다… 에어컨 시장이 먼저 달아올랐다

날씨보다…	날씨/NNG+보다/JKB+…/SE
에어컨	에어컨/NNG
시장이	시장/NNG+이/JKS
먼저	먼저/MAG
달아올랐다	달아오르/VV+았/EP+다/EF


# id : NWRW1800000054.4.2.1
작년 여름 폭염 학습효과에 연휴 매장마다 손님들 북적

작년	작년/NNG
여름	여름/NNG
폭염	폭염/NNG
학습효과에	학습/NNG+효과/NNG+에/JKB
연휴	연휴/NNG
매장마다	매장/NNG+마다/JX
손님들	손/NNG+님/XSN+들/XSN
북적	북적/MAG


# id : NWRW1800000054.4.3.1
5월 들어 때 이른 에어컨 대전(大戰)이 벌어지고 있다.

5월	5/SN+월/NNB
들어	들/VV+어/EC
때	때/NNG
이른	이르/VA+ㄴ/ETM
에어컨	에어컨/NNG
대전(大戰)이	대전/NNG+(/SS+大戰/SH+)/SS+이/JKS
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.4.3.2
최근 평년 기온을 웃도는 고온 현상이 계속되자 서둘러 에어컨을 마련하려는 수요가 한여름 때 만큼이나 많아진 것이다.

최근	최근/NNG
평년	평년/NNG
기온을	기온/NNG+을/JKO
웃도는	웃돌/VV+는/ETM
고온	고온/NNG
현상이	현상/NNG+이/JKS
계속되자	계속/NNG+되/XSV+자/EC
서둘러	서두르/VV+어/EC
에어컨을	에어컨/NNG+을/JKO
마련하려는	마련/NNG+하/XSV+려는/ETM
수요가	수요/NNG+가/JKS
한여름	한/XPN+여름/NNG
때	때/NNG
만큼이나	만큼/JKB+이나/JX
많아진	많아지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.4.3.3
지난 3일엔 서울 낮 기온이 평소 7월 말 수준인 30.2도를 나타내며 85년 만의 최고를 기록했다.

지난	지나/VV+ㄴ/ETM
3일엔	3/SN+일/NNB+에/JKB+ㄴ/JX
서울	서울/NNP
낮	낮/NNG
기온이	기온/NNG+이/JKS
평소	평소/NNG
7월	7/SN+월/NNB
말	말/NNB
수준인	수준/NNG+이/VCP+ㄴ/ETM
30.2도를	30/SN+./SP+2/SN+도/NNB+를/JKO
나타내며	나타내/VV+며/EC
85년	85/SN+년/NNB
만의	만/NNB+의/JKG
최고를	최고/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.4.4.1
전자제품 유통업체인 롯데하이마트는 4일 "이달 1~3일 전국 매장의 에어컨 판매량이 4월 말 주말 3일과 비교해 두 배로 급증했다"고 밝혔다.

전자제품	전자/NNG+제품/NNG
