# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.380
metadata : {}


# id : NWRW1800000022.380.1.1
녹색산업·中企에 5년간 4조 투입 수출 기반 조성;최경환 지경부 장관

녹색산업·中企에	녹색/NNG+산업/NNG+·/SP+中企/SH+에/JKB
5년간	5/SN+년/NNB+간/XSN
4조	4/SN+조/NR
투입	투입/NNG
수출	수출/NNG
기반	기반/NNG
조성;최경환	조성/NNG+;/SW+최경환/NNP
지경부	지경부/NNG
장관	장관/NNG


# id : NWRW1800000022.380.2.1
최경환 지식경제부 장관은 28일 "불황형 무역흑자는 끝났다"며 "연말까지 400억 달러 이상 무역흑자를 달성할 것"이라고 말했다.

최경환	최경환/NNP
지식경제부	지식/NNG+경제부/NNG
장관은	장관/NNG+은/JX
28일	28/SN+일/NNB
"불황형	"/SS+불황/NNG+형/XSN
무역흑자는	무역/NNG+흑자/NNG+는/JX
끝났다"며	끝나/VV+았/EP+다/EF+"/SS+며/EC
"연말까지	"/SS+연말/NNG+까지/JX
400억	400/SN+억/NR
달러	달러/NNB
이상	이상/NNG
무역흑자를	무역/NNG+흑자/NNG+를/JKO
달성할	달성/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.380.3.1
최 장관은 이날 과천 정부청사에서 기획재정부 등 관계부처와 업종별 단체, 수출보험공사 등 지원기관 관계자들이 참석한 가운데 열린 수출대책위원회 회의에서 이처럼 말했다.

최	최/NNP
장관은	장관/NNG+은/JX
이날	이날/NNG
과천	과천/NNP
정부청사에서	정부/NNG+청사/NNG+에서/JKB
기획재정부	기획/NNG+재정부/NNG
등	등/NNB
관계부처와	관계/NNG+부처/NNG+와/JC
업종별	업종/NNG+별/XSN
단체,	단체/NNG+,/SP
수출보험공사	수출/NNG+보험/NNG+공사/NNG
지원기관	지원/NNG+기관/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
열린	열리/VV+ㄴ/ETM
수출대책위원회	수출/NNG+대책/NNG+위원회/NNG
회의에서	회의/NNG+에서/JKB
이처럼	이/NP+처럼/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.380.4.1
최 장관은 "세계적인 무역 규모는 30% 정도 감소한 상황이지만 우리는 연말까지 14% 내외 감소에 그칠 전망"이라며 "물량 기준으로는 이미 전년 수준을 회복하거나 능가하는 상황"이라고 말했다.

최	최/NNP
장관은	장관/NNG+은/JX
"세계적인	"/SS+세계/NNG+적/XSN+이/VCP+ㄴ/ETM
무역	무역/NNG
규모는	규모/NNG+는/JX
30%	30/SN+%/SW
정도	정도/NNG
감소한	감소/NNG+하/XSV+ㄴ/ETM
상황이지만	상황/NNG+이/VCP+지만/EC
우리는	우리/NP+는/JX
연말까지	연말/NNG+까지/JX
14%	14/SN+%/SW
내외	내외/NNG
감소에	감소/NNG+에/JKB
그칠	그치/VV+ㄹ/ETM
전망"이라며	전망/NNG+"/SS+이/VCP+라며/EC
"물량	"/SS+물량/NNG
기준으로는	기준/NNG+으로/JKB+는/JX
이미	이미/MAG
전년	전년/NNG
수준을	수준/NNG+을/JKO
회복하거나	회복/NNG+하/XSV+거나/EC
능가하는	능가/NNG+하/XSV+는/ETM
상황"이라고	상황/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.380.5.1
최 장관은 "그러나 수출 환경은 계속 낙관하기 힘들다"며 "이제까지 환율 효과를 본 게 사실인데 환율은 하락하는 상황이고, 유가 등 원재료 가격도 상당히 부담되는 수준까지 오른 상황"이라고 했다.

최	최/NNP
장관은	장관/NNG+은/JX
"그러나	"/SS+그러나/MAJ
수출	수출/NNG
환경은	환경/NNG+은/JX
계속	계속/MAG
낙관하기	낙관/NNG+하/XSV+기/ETN
힘들다"며	힘들/VA+다/EF+"/SS+며/EC
"이제까지	"/SS+이제/NNG+까지/JX
환율	환율/NNG
효과를	효과/NNG+를/JKO
본	보/VV+ㄴ/ETM
게	거/NNB+이/JKS
사실인데	사실/NNG+이/VCP+ㄴ데/EC
환율은	환율/NNG+은/JX
하락하는	하락/NNG+하/XSV+는/ETM
상황이고,	상황/NNG+이/VCP+고/EC+,/SP
유가	유가/NNG
등	등/NNB
원재료	원재료/NNG
가격도	가격/NNG+도/JX
상당히	상당히/MAG
부담되는	부담/NNG+되/XSV+는/ETM
수준까지	수준/NNG+까지/JX
오른	오르/VV+ㄴ/ETM
상황"이라고	상황/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.380.6.1
한편 이날 회의에서 지경부는 2010년부터 5년간 4조원을 투입해 무역 거래 기반을 조성, 중소기업과 녹색산업 등 새로운 산업 분야의 수출을 지원하겠다는 계획을 밝혔다.

한편	한편/MAG
이날	이날/NNG
회의에서	회의/NNG+에서/JKB
지경부는	지경부/NNG+는/JX
2010년부터	2010/SN+년/NNB+부터/JX
5년간	5/SN+년/NNB+간/XSN
4조원을	4/SN+조/NR+원/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
무역	무역/NNG
거래	거래/NNG
기반을	기반/NNG+을/JKO
조성,	조성/NNG+,/SP
중소기업과	중소기업/NNG+과/JC
녹색산업	녹색/NNG+산업/NNG
등	등/NNB
새로운	새롭/VA+ㄴ/ETM
산업	산업/NNG
분야의	분야/NNG+의/JKG
수출을	수출/NNG+을/JKO
