# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.83
metadata : {}


# id : NWRW1800000036.83.1.1
꽉 막힌 파키스탄 보급로

꽉	꽉/MAG
막힌	막히/VV+ㄴ/ETM
파키스탄	파키스탄/NNP
보급로	보급로/NNG


# id : NWRW1800000036.83.2.1
[한겨레] 자르다리 ‘배짱 버티기’

[한겨레]	[/SS+한겨레/NNP+]/SS
자르다리	자르다리/NNP
‘배짱	‘/SS+배짱/NNG
버티기’	버티기/NNG+’/SS


# id : NWRW1800000036.83.3.1
오바마 ‘노골적인 냉대’

오바마	오바마/NNP
‘노골적인	‘/SS+노골/NNG+적/XSN+이/VCP+ㄴ/ETM
냉대’	냉대/NNG+’/SS


# id : NWRW1800000036.83.4.1
“아주 잠깐, 회담장에 들어가면서 봤다”, “보급로 문제의 해결은 기대하지도 않았다.”

“아주	“/SS+아주/MAG
잠깐,	잠깐/MAG+,/SP
회담장에	회담장/NNG+에/JKB
들어가면서	들어가/VV+면서/EC
봤다”,	보/VV+았/EP+다/EF+”/SS+,/SP
“보급로	“/SS+보급로/NNG
문제의	문제/NNG+의/JKG
해결은	해결/NNG+은/JX
기대하지도	기대/NNG+하/XSV+지/EC+도/JX
않았다.”	않/VX+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000036.83.5.1
버락 오바마 미국 대통령이 작심한 듯 파키스탄의 아시프 알리 자르다리 정부에 대한 못마땅한 심기를 쏟아냈다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
작심한	작심/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB
파키스탄의	파키스탄/NNP+의/JKG
아시프	아시프/NNP
알리	알리/NNP
자르다리	자르다리/NNP
정부에	정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
못마땅한	못마땅하/VA+ㄴ/ETM
심기를	심기/NNG+를/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.83.5.2
지난 20~21일 미국 시카고에서 열린 북대서양조약기구(나토) 정상회의에서다.

지난	지나/VV+ㄴ/ETM
20~21일	20/SN+~/SO+21/SN+일/NNB
미국	미국/NNP
시카고에서	시카고/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
북대서양조약기구(나토)	북대서양조약기구/NNP+(/SS+나토/NNP+)/SS
정상회의에서다.	정상/NNG+회의/NNG+에서/JKB+이/VCP+다/EF+./SF


