# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.250
metadata : {}


# id : NWRW1800000028.250.1.1
“결혼 허락해달라” 애인 집서 인질극

“결혼	“/SS+결혼/NNG
허락해달라”	허락/NNG+하/XSV+아/EC+달/VX+라/EF+”/SS
애인	애인/NNG
집서	집/NNG+서/JKB
인질극	인질극/NNG


# id : NWRW1800000028.250.2.1
23일 오후 한 20대 남성이 여자친구의 집에 난입해 자신과의 교제를 반대하는 여자친구의 어머니에게 흉기를 휘두른 뒤 여자친구를 붙들고 24일 새벽까지 인질극을 벌였다.

23일	23/SN+일/NNB
오후	오후/NNG
한	한/MMN
20대	20/SN+대/NNB
남성이	남성/NNG+이/JKS
여자친구의	여자/NNG+친구/NNG+의/JKG
집에	집/NNG+에/JKB
난입해	난입/NNG+하/XSV+아/EC
자신과의	자신/NNG+과/JKB+의/JKG
교제를	교제/NNG+를/JKO
반대하는	반대/NNG+하/XSV+는/ETM
어머니에게	어머니/NNG+에게/JKB
흉기를	흉기/NNG+를/JKO
휘두른	휘두르/VV+ㄴ/ETM
뒤	뒤/NNG
여자친구를	여자/NNG+친구/NNG+를/JKO
붙들고	붙들/VV+고/EC
24일	24/SN+일/NNB
새벽까지	새벽/NNG+까지/JX
인질극을	인질극/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.250.3.1
서울 중랑경찰서는 이날 오후 4시께 인터넷 설치기사로 일하던 박아무개(25)씨가 여자친구인 김아무개(26)씨의 중랑구 ㅎ아파트 집에 흉기를 들고 들어가 김씨와의 결혼을 허락해 줄 것을 요구하며 인질극을 벌였다고 밝혔다.

서울	서울/NNP
중랑경찰서는	중랑경찰서/NNP+는/JX
이날	이날/NNG
오후	오후/NNG
4시께	4/SN+시/NNB+께/XSN
인터넷	인터넷/NNG
설치기사로	설치/NNG+기사/NNG+로/JKB
일하던	일/NNG+하/XSV+던/ETM
