# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.247
metadata : {}


# id : NWRW1800000028.247.1.1
‘휴가지 논란’ 오바마, 이번엔 멕시코만으로

‘휴가지	‘/SS+휴가지/NNG
논란’	논란/NNG+’/SS
오바마,	오바마/NNP+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
멕시코만으로	멕시코만/NNP+으로/JKB


# id : NWRW1800000028.247.2.1
버락 오바마 미국 대통령이 다음달 14~ 15일 원유유출 피해지역인 멕시코만 연안으로 가족휴가를 가기로 했다고 백악관이 22일 밝혔다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
다음달	다음/NNG+달/NNG
14~	14/SN+~/SO
15일	15/SN+일/NNB
원유유출	원유/NNG+유출/NNG
피해지역인	피해/NNG+지역/NNG+이/VCP+ㄴ/ETM
멕시코만	멕시코만/NNP
연안으로	연안/NNG+으로/JKB
가족휴가를	가족/NNG+휴가/NNG+를/JKO
가기로	가/VV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
백악관이	백악관/NNP+이/JKS
22일	22/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.247.3.1
이는 오바마 대통령과 부인 미셸이 최근 멕시코만을 방문해 피해를 보고 있는 현지 주민들을 위해 멕시코만 일대 관광지에서 휴가를 보낼 것을 미국인들에게 호소하면서 정작 자신들은 지난 16~18일 동북부 메인주에서 주말휴가를 보내 비판 여론이 인 것을 의식한 것으로 보인다.

이는	이/NP+는/JX
오바마	오바마/NNP
대통령과	대통령/NNG+과/JC
부인	부인/NNG
미셸이	미셸/NNP+이/JKS
최근	최근/MAG
멕시코만을	멕시코만/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
피해를	피해/NNG+를/JKO
보고	보/VV+고/EC
있는	있/VX+는/ETM
현지	현지/NNG
주민들을	주민/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
멕시코만	멕시코만/NNP
일대	일대/NNG
관광지에서	관광지/NNG+에서/JKB
휴가를	휴가/NNG+를/JKO
보낼	보내/VV+ㄹ/ETM
것을	것/NNB+을/JKO
미국인들에게	미국인/NNG+들/XSN+에게/JKB
호소하면서	호소/NNG+하/XSV+면서/EC
정작	정작/MAG
자신들은	자신/NNG+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
16~18일	16/SN+~/SO+18/SN+일/NNB
동북부	동북부/NNG
메인주에서	메인주/NNP+에서/JKB
주말휴가를	주말/NNG+휴가/NNG+를/JKO
보내	보내/VV+어/EC
비판	비판/NNG
여론이	여론/NNG+이/JKS
인	일/VV+ㄴ/ETM
의식한	의식/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.247.3.2
오바마 가족이 머물기로 한 곳은 아직 공개되지 않았다.

오바마	오바마/NNP
가족이	가족/NNG+이/JKS
머물기로	머물/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
아직	아직/MAG
공개되지	공개/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.247.4.1
오바마 대통령은 멕시코만 원유유출 사고 이후 지금까지 4차례, 미셸은 1차례 멕시코만 연안을 방문했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
멕시코만	멕시코만/NNP
원유유출	원유/NNG+유출/NNG
사고	사고/NNG
이후	이후/NNG
지금까지	지금/NNG+까지/JX
4차례,	4/SN+차례/NNG+,/SP
미셸은	미셸/NNP+은/JX
1차례	1/SN+차례/NNG
연안을	연안/NNG+을/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.247.4.2
오바마 부부는 현지의 해산물 식당을 찾아 식사하면서 침체된 지역경기 활성화를 위해 더 많은 관광객이 멕시코만을 찾아야 한다고 주장해왔다.

오바마	오바마/NNP
부부는	부부/NNG+는/JX
현지의	현지/NNG+의/JKG
해산물	해산물/NNG
식당을	식당/NNG+을/JKO
찾아	찾/VV+아/EC
식사하면서	식사/NNG+하/XSV+면서/EC
침체된	침체/NNG+되/XSV+ㄴ/ETM
지역경기	지역/NNG+경기/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
더	더/MAG
많은	많/VA+은/ETM
관광객이	관광객/NNG+이/JKS
멕시코만을	멕시코만/NNP+을/JKO
찾아야	찾/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.247.5.1
