# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.219
metadata : {}


# id : NWRW1800000025.219.1.1
1기 조광래호, 젊은 피 6명 첫 승선

1기	1/SN+기/NNG
조광래호,	조광래호/NNP+,/SP
젊은	젊/VA+은/ETM
피	피/NNG
6명	6/SN+명/NNB
첫	첫/MMN
승선	승선/NNG


# id : NWRW1800000025.219.2.1
젊은 피 발탁과 이동국(전북) 제외.

젊은	젊/VA+은/ETM
피	피/NNG
발탁과	발탁/NNG+과/JC
이동국(전북)	이동국/NNP+(/SS+전북/NNP+)/SS
제외.	제외/NNG+./SF


# id : NWRW1800000025.219.3.1
축구대표팀 조광래 감독이 11일 수원에서 열리는 나이지리아와의 평가전에 출전할 25명의 명단을 5일 발표했다.

축구대표팀	축구/NNG+대표/NNG+팀/NNG
조광래	조광래/NNP
감독이	감독/NNG+이/JKS
11일	11/SN+일/NNB
수원에서	수원/NNP+에서/JKB
열리는	열리/VV+는/ETM
나이지리아와의	나이지리아/NNP+와/JKB+의/JKG
평가전에	평가전/NNG+에/JKB
출전할	출전/NNG+하/XSV+ㄹ/ETM
25명의	25/SN+명/NNB+의/JKG
명단을	명단/NNG+을/JKO
5일	5/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.219.3.2
새 대표팀을 살펴보면 젊은 선수들의 대거 발탁과 빠른 축구를 펼치기 위한 기존 선수들의 제외가 눈에 띈다.

새	새/MMA
대표팀을	대표/NNG+팀/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
젊은	젊/VA+은/ETM
선수들의	선수/NNG+들/XSN+의/JKG
대거	대거/MAG
발탁과	발탁/NNG+과/JC
빠른	빠르/VA+ㄴ/ETM
축구를	축구/NNG+를/JKO
펼치기	펼치/VV+기/ETN
위한	위하/VV+ㄴ/ETM
기존	기존/NNG
제외가	제외/NNG+가/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.219.4.1
조 감독은 19세 동갑내기 지동원(전남)과 윤빛가람(경남)의 발탁에 대해 “새로운 출발에는 새로운 변화가 필요하다.

조	조/NNP
감독은	감독/NNG+은/JX
19세	19/SN+세/NNB
동갑내기	동갑내기/NNG
지동원(전남)과	지동원/NNP+(/SS+전남/NNP+)/SS+과/JC
