# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.306
metadata : {}


# id : NWRW1800000056.306.1.1
[유레카] 로봇과 노동자 / 구본권

[유레카]	[/SS+유레카/NNG+]/SS
로봇과	로봇/NNG+과/JC
노동자	노동자/NNG
/	//SP
구본권	구본권/NNP


# id : NWRW1800000056.306.2.1
인천공항에는 2월부터 국내 업체가 만든 로봇 두 종류가 돌아다니고 있다.

인천공항에는	인천공항/NNP+에/JKB+는/JX
2월부터	2/SN+월/NNB+부터/JX
국내	국내/NNG
업체가	업체/NNG+가/JKS
만든	만들/VV+ㄴ/ETM
로봇	로봇/NNG
두	두/MMN
종류가	종류/NNG+가/JKS
돌아다니고	돌아다니/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.306.2.2
안내 로봇과 청소 로봇이다.

안내	안내/NNG
로봇과	로봇/NNG+과/JC
청소	청소/NNG
로봇이다.	로봇/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.306.2.3
여행객이 항공권을 안내 로봇에 읽히면 탑승시각, 게이트 정보, 목적지 날씨 등을 한국어·영어·중국어·일본어로 안내한다.

여행객이	여행객/NNG+이/JKS
항공권을	항공/NNG+권/XSN+을/JKO
안내	안내/NNG
로봇에	로봇/NNG+에/JKB
읽히면	읽히/VV+면/EC
탑승시각,	탑승/NNG+시각/NNG+,/SP
게이트	게이트/NNG
정보,	정보/NNG+,/SP
목적지	목적지/NNG
날씨	날씨/NNG
등을	등/NNB+을/JKO
한국어·영어·중국어·일본어로	한국어/NNP+·/SP+영어/NNP+·/SP+중국어/NNP+·/SP+일본어/NNP+로/JKB
안내한다.	안내/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.306.2.4
두 로봇은 테스트를 마치는 올가을 정식으로 업무를 개시할 예정이다.

두	두/MMN
로봇은	로봇/NNG+은/JX
테스트를	테스트/NNG+를/JKO
마치는	마치/VV+는/ETM
올가을	올가을/NNG
정식으로	정식/NNG+으로/JKB
업무를	업무/NNG+를/JKO
개시할	개시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.306.3.1
인천공항은 2005년부터 12년 연속 세계 공항서비스 평가 1위를 차지했다.

인천공항은	인천공항/NNP+은/JX
2005년부터	2005/SN+년/NNB+부터/JX
12년	12/SN+년/NNB
연속	연속/NNG
세계	세계/NNG
공항서비스	공항/NNG+서비스/NNG
평가	평가/NNG
1위를	1/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.306.3.2
공항 시설과 연결 항공편 만족도는 물론 대기시간 최소화와 빠르고 친절한 서비스가 비결이다.

공항	공항/NNG
시설과	시설/NNG+과/JC
연결	연결/NNG
항공편	항공편/NNG
만족도는	만족도/NNG+는/JX
물론	물론/MAG
대기시간	대기/NNG+시간/NNG
최소화와	최소/NNG+화/XSN+와/JC
빠르고	빠르/VA+고/EC
친절한	친절/NNG+하/XSA+ㄴ/ETM
서비스가	서비스/NNG+가/JKS
비결이다.	비결/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.306.3.3
자동화 코너를 이용하면 체크인 카운터에 줄을 설 필요 없이 탑승권 발급, 수화물 위탁, 출입국 심사를 짧은 시간에 처리할 수 있다.

자동화	자동/NNG+화/XSN
코너를	코너/NNG+를/JKO
이용하면	이용/NNG+하/XSV+면/EC
체크인	체크인/NNG
카운터에	카운터/NNG+에/JKB
줄을	줄/NNG+을/JKO
설	서/VV+ㄹ/ETM
필요	필요/NNG
없이	없이/MAG
탑승권	탑승/NNG+권/XSN
발급,	발급/NNG+,/SP
수화물	수화물/NNG
위탁,	위탁/NNG+,/SP
출입국	출입국/NNG
심사를	심사/NNG+를/JKO
짧은	짧/VA+은/ETM
시간에	시간/NNG+에/JKB
처리할	처리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.306.3.4
