# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.119
metadata : {}


# id : NWRW1800000056.119.1.1
[단독] 이 한장의 서명지…되살아난 26년전 ‘작은 통일’의 감격

[단독]	[/SS+단독/NNG+]/SS
이	이/MMD
한장의	한/MMN+장/NNB+의/JKG
서명지…되살아난	서명지/NNG+…/SE+되살아나/VV+ㄴ/ETM
26년전	26/SN+년/NNB+전/NNG
‘작은	‘/SS+작/VA+은/ETM
통일’의	통일/NNG+’/SS+의/JKG
감격	감격/NNG


# id : NWRW1800000056.119.2.1
[한겨레] 91년 지바탁구선수권 단일팀 남북선수들 집단서명지 나와

[한겨레]	[/SS+한겨레/NNP+]/SS
91년	91/SN+년/NNB
지바탁구선수권	지바/NNP+탁구/NNG+선수/NNG+권/XSN
단일팀	단일팀/NNG
남북선수들	남북/NNP+선수/NNG+들/XSN
집단서명지	집단/NNG+서명지/NNG
나와	나오/VV+아/EF


# id : NWRW1800000056.119.3.1
아리랑연구가 김연갑씨가 일본서 입수해 <한겨레>에 공개

아리랑연구가	아리랑/NNG+연구가/NNG
김연갑씨가	김연갑/NNP+씨/NNB+가/JKS
일본서	일본/NNP+서/JKB
입수해	입수/NNG+하/XSV+아/EC
<한겨레>에	</SS+한겨레/NNP+>/SS+에/JKB
공개	공개/NNG


# id : NWRW1800000056.119.4.1
푸른 한반도 둘레로 현정화, 유순복 등 추억의 이름들

푸른	푸르/VA+ㄴ/ETM
한반도	한반도/NNP
둘레로	둘레/NNG+로/JKB
현정화,	현정화/NNP+,/SP
유순복	유순복/NNP
등	등/NNB
추억의	추억/NNG+의/JKG
이름들	이름/NNG+들/XSN


# id : NWRW1800000056.119.5.1
현정화 감독 “함께 서명한 기록…반갑고 감회 새롭다”

현정화	현정화/NNP
감독	감독/NNG
“함께	“/SS+함께/MAG
서명한	서명/NNG+하/XSV+ㄴ/ETM
기록…반갑고	기록/NNG+…/SE+반갑/VA+고/EC
감회	감회/NNG
새롭다”	새롭/VA+다/EF+”/SS


# id : NWRW1800000056.119.6.1
대회 직후 기념용으로 같이 모여 서명한 것으로 추정

대회	대회/NNG
직후	직후/NNG
기념용으로	기념/NNG+용/XSN+으로/JKB
같이	같이/MAG
모여	모이/VV+어/EC
서명한	서명/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정	추정/NNG


# id : NWRW1800000056.119.7.1
‘작은 통일’로 불렸던 사건.

‘작은	‘/SS+작/VA+은/ETM
통일’로	통일/NNG+’/SS+로/JKB
불렸던	불리/VV+었/EP+던/ETM
사건.	사건/NNG+./SF


# id : NWRW1800000056.119.7.2
26년 전 남북 탁구 단일팀 우승의 감격을 되살리는 한장의 사료가 세상에 나왔다.

26년	26/SN+년/NNB
전	전/NNG
남북	남북/NNP
탁구	탁구/NNG
단일팀	단일팀/NNG
우승의	우승/NNG+의/JKG
감격을	감격/NNG+을/JKO
되살리는	되살리/VV+는/ETM
한장의	한/MMN+장/NNB+의/JKG
사료가	사료/NNG+가/JKS
세상에	세상/NNG+에/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.119.7.3
1991년 4월 일본 지바 세계탁구선수권대회 단일팀 출전 당시 푸른 한반도 지도를 배경으로 남북 선수와 임원들이 나란히 손수 이름을 적은 육필서명지다.

1991년	1991/SN+년/NNB
4월	4/SN+월/NNB
일본	일본/NNP
지바	지바/NNP
세계탁구선수권대회	세계/NNG+탁구/NNG+선수/NNG+권/XSN+대회/NNG
단일팀	단일팀/NNG
출전	출전/NNG
당시	당시/NNG
푸른	푸르/VA+ㄴ/ETM
한반도	한반도/NNP
지도를	지도/NNG+를/JKO
배경으로	배경/NNG+으로/JKB
남북	남북/NNP
선수와	선수/NNG+와/JC
임원들이	임원/NNG+들/XSN+이/JKS
나란히	나란히/MAG
손수	손수/MAG
이름을	이름/NNG+을/JKO
적은	적/VV+은/ETM
육필서명지다.	육필/NNG+서명지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.119.8.1
김연갑(63) 한겨레아리랑연합회 상임이사는 4일 <한겨레>에 91년 대회 당시 참가한 남북 선수, 임원 20여명의 친필 이름이 적힌 서명지를 공개했다.

김연갑(63)	김연갑/NNP+(/SS+63/SN+)/SS
한겨레아리랑연합회	한겨레아리랑연합회/NNP
