# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.337
metadata : {}


# id : NWRW1800000052.337.1.1
‘일부 비박, 친박·진박에 밀린다’…여론조사 유출 파문

‘일부	‘/SS+일부/NNG
비박,	비/XPN+박/NNP+,/SP
친박·진박에	친/XPN+박/NNP+·/SP+진박/NNG+에/JKB
밀린다’…여론조사	밀리/VV+ㄴ다/EF+’/SS+…/SE+여론/NNG+조사/NNG
유출	유출/NNG
파문	파문/NNG


# id : NWRW1800000052.337.2.1
새누리, 언론 조사와 다른 결과

새누리,	새누리/NNP+,/SP
언론	언론/NNG
조사와	조사/NNG+와/JKB
다른	다르/VA+ㄴ/ETM
결과	결과/NNG


# id : NWRW1800000052.337.3.1
“특정한 의도 가진 유출”

“특정한	“/SS+특정/NNG+하/XSA+ㄴ/ETM
의도	의도/NNG
가진	가지/VV+ㄴ/ETM
유출”	유출/NNG+”/SS


# id : NWRW1800000052.337.4.1
비박계, 공관위원 문책 목소리

비박계,	비/XPN+박/NNP+계/XSN+,/SP
공관위원	공관위원/NNG
문책	문책/NNG
목소리	목소리/NNG


# id : NWRW1800000052.337.5.1
선관위 “조사 뒤 수사 의뢰”

선관위	선관위/NNG
“조사	“/SS+조사/NNG
뒤	뒤/NNG
수사	수사/NNG
의뢰”	의뢰/NNG+”/SS


# id : NWRW1800000052.337.6.1
4·13 총선 ‘공천 살생부’ 파문으로 김무성 대표가 사과까지 하는 파란을 겪은 새누리당에 이번에는 ‘여론조사 대량 유출’ 사태가 벌어졌다.

4·13	4/SN+·/SP+13/SN
총선	총선/NNG
‘공천	‘/SS+공천/NNG
살생부’	살생부/NNG+’/SS
파문으로	파문/NNG+으로/JKB
김무성	김무성/NNP
대표가	대표/NNG+가/JKS
사과까지	사과/NNG+까지/JX
하는	하/VV+는/ETM
파란을	파란/NNG+을/JKO
겪은	겪/VV+은/ETM
새누리당에	새누리당/NNP+에/JKB
이번에는	이번/NNG+에/JKB+는/JX
‘여론조사	‘/SS+여론/NNG+조사/NNG
대량	대량/NNG
유출’	유출/NNG+’/SS
사태가	사태/NNG+가/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.337.6.2
새누리당 내에서 “특정한 의도를 가진 유출”이라며 당 공천관리위원회(공관위)의 책임을 요구하는 목소리가 나오고, 중앙선거관리위원회가 조사를 벌이기로 하는 등 파장이 예상된다.

새누리당	새누리당/NNP
내에서	내/NNB+에서/JKB
“특정한	“/SS+특정/NNG+하/XSA+ㄴ/ETM
의도를	의도/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
유출”이라며	유출/NNG+”/SS+이/VCP+라며/EC
당	당/NNG
공천관리위원회(공관위)의	공천/NNG+관리/NNG+위원회/NNG+(/SS+공관위/NNG+)/SS+의/JKG
책임을	책임/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
목소리가	목소리/NNG+가/JKS
나오고,	나오/VV+고/EC+,/SP
중앙선거관리위원회가	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG+가/JKS
조사를	조사/NNG+를/JKO
벌이기로	벌이/VV+기/ETN+로/JKB
하는	하/VV+는/ETM
등	등/NNB
파장이	파장/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.337.7.1
3일 새누리당 안팎에서는 지역별 공천 신청자 명단과 여론조사 수치가 적힌 3~4쪽의 문건이 카카오톡 등 에스엔에스(SNS)를 통해 광범위하게 유포됐다.

3일	3/SN+일/NNB
새누리당	새누리당/NNP
안팎에서는	안팎/NNG+에서/JKB+는/JX
지역별	지역/NNG+별/XSN
공천	공천/NNG
신청자	신청자/NNG
명단과	명단/NNG+과/JC
여론조사	여론/NNG+조사/NNG
수치가	수치/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
3~4쪽의	3/SN+~/SO+4/SN+쪽/NNG+의/JKG
문건이	문건/NNG+이/JKS
카카오톡	카카오톡/NNP
등	등/NNB
에스엔에스(SNS)를	에스엔에스/NNG+(/SS+SNS/SL+)/SS+를/JKO
통해	통하/VV+아/EC
광범위하게	광범위/NNG+하/XSA+게/EC
유포됐다.	유포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.337.7.2
새누리당 공관위(위원장 이한구)가 다음주 1차 경선 실시를 목표로 자격심사와 경선 대상 지역 및 우선추천·단수추천 지역 선정 작업을 진행하는 가운데 벌어진 일이다.

새누리당	새누리당/NNP
공관위(위원장	공관위/NNG+(/SS+위원장/NNG
이한구)가	이한구/NNP+)/SS+가/JKS
다음주	다음/NNG+주/NNG
1차	1/SN+차/NNB
경선	경선/NNG
실시를	실시/NNG+를/JKO
목표로	목표/NNG+로/JKB
자격심사와	자격/NNG+심사/NNG+와/JC
대상	대상/NNG
지역	지역/NNG
및	및/MAG
우선추천·단수추천	우선/NNG+추천/NNG+·/SP+단수/NNG+추천/NNG
선정	선정/NNG
작업을	작업/NNG+을/JKO
진행하는	진행/NNG+하/XSV+는/ETM
가운데	가운데/NNG
벌어진	벌어지/VV+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.337.8.1
이 문건에는 수도권과 영남, 충청권 등 50~60곳의 지역구 이름과 현역 의원을 포함한 후보자 이름, 여론조사 수치가 적혀 있다.

이	이/MMD
문건에는	문건/NNG+에/JKB+는/JX
수도권과	수도/NNG+권/XSN+과/JC
영남,	영남/NNP+,/SP
충청권	충청/NNP+권/XSN
등	등/NNB
50~60곳의	50/SN+~/SO+60/SN+곳/NNG+의/JKG
지역구	지역구/NNG
이름과	이름/NNG+과/JC
현역	현역/NNG
의원을	의원/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
후보자	후보자/NNG
이름,	이름/NNG+,/SP
여론조사	여론/NNG+조사/NNG
수치가	수치/NNG+가/JKS
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.337.8.2
출처는 명기돼 있지 않다.

출처는	출처/NNG+는/JX
명기돼	명기/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000052.337.8.3
그러나 당의 한 핵심 인사는 “당 부설 여의도연구원에서 공천 심사를 위해 실시한 사전 자동응답(ARS) 여론조사 결과가 맞다”고 확인했다.

그러나	그러나/MAJ
당의	당/NNG+의/JKG
한	한/MMN
핵심	핵심/NNG
인사는	인사/NNG+는/JX
“당	“/SS+당/NNG
부설	부설/NNG
여의도연구원에서	여의도연구원/NNP+에서/JKB
공천	공천/NNG
심사를	심사/NNG+를/JKO
위해	위하/VV+아/EC
실시한	실시/NNG+하/XSV+ㄴ/ETM
사전	사전/NNG
자동응답(ARS)	자동/NNG+응답/NNG+(/SS+ARS/SL+)/SS
여론조사	여론/NNG+조사/NNG
결과가	결과/NNG+가/JKS
맞다”고	맞/VV+다/EF+”/SS+고/JKQ
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.337.8.4
새누리당이 경선에 참여할 후보군을 추려내기 위해 지난주 실시한 여론조사 결과라는 것이다.

새누리당이	새누리당/NNP+이/JKS
경선에	경선/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
후보군을	후보군/NNG+을/JKO
추려내기	추리/VV+어/EC+내/VX+기/ETN
위해	위하/VV+아/EC
지난주	지난주/NNG
실시한	실시/NNG+하/XSV+ㄴ/ETM
여론조사	여론/NNG+조사/NNG
결과라는	결과/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.337.9.1
이 문건에는 공교롭게도 최근 언론사들의 여론조사 결과에 견줘, 일부 비박근혜계 현역 의원들이 친박근혜계 또는 ‘진박’(진실한 친박) 후보에게 밀리거나, 격차가 좁혀진 것으로 적혀 있다.

이	이/MMD
문건에는	문건/NNG+에/JKB+는/JX
공교롭게도	공교롭/VA+게/EC+도/JX
최근	최근/NNG
언론사들의	언론사/NNG+들/XSN+의/JKG
여론조사	여론/NNG+조사/NNG
결과에	결과/NNG+에/JKB
견줘,	견주/VV+어/EC+,/SP
일부	일부/NNG
비박근혜계	비/XPN+박근혜/NNP+계/XSN
현역	현역/NNG
의원들이	의원/NNG+들/XSN+이/JKS
친박근혜계	친/XPN+박근혜/NNP+계/XSN
또는	또는/MAG
