# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.368
metadata : {}


# id : NWRW1800000054.368.1.1
[NEWS&VIEW] 인권 결의안 찬반 놓고 북한에 입장 물어봤나

[NEWS&VIEW]	[/SS+NEWS/SL+&/SW+VIEW/SL+]/SS
인권	인권/NNG
결의안	결의안/NNG
찬반	찬반/NNG
놓고	놓/VV+고/EC
북한에	북한/NNP+에/JKB
입장	입장/NNG
물어봤나	물어보/VV+았/EP+나/EC


# id : NWRW1800000054.368.2.1
文(문재인)·宋(송민순) 진실게임 풀 열쇠는 '北에 보낸 전통문'

文(문재인)·宋(송민순)	文/SH+(/SS+문재인/NNP+)/SS+·/SP+宋/SH+(/SS+송민순/NNP+)/SS
진실게임	진실/NNG+게임/NNG
풀	풀/VV+ㄹ/ETM
열쇠는	열쇠/NNG+는/JX
'北에	'/SS+北/SH+에/JKB
보낸	보내/VV+ㄴ/ETM
전통문'	전통문/NNG+'/SS


# id : NWRW1800000054.368.3.1
대선을 18일 남긴 정치권에 '송민순 회고록' 논란이 재점화됐다.

대선을	대선/NNG+을/JKO
18일	18/SN+일/NNB
남긴	남기/VV+ㄴ/ETM
정치권에	정치/NNG+권/XSN+에/JKB
'송민순	'/SS+송민순/NNP
회고록'	회고록/NNG+'/SS
논란이	논란/NNG+이/JKS
재점화됐다.	재/XPN+점화/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.368.4.1
송민순 전 외교통상부 장관은 21일 2007년 유엔 북한 인권 결의안 표결을 앞두고 북한이 우리 정부에 보낸 메시지가 담긴 문건을 공개했다.

송민순	송민순/NNP
전	전/MMD
외교통상부	외교/NNG+통상부/NNG
장관은	장관/NNG+은/JX
21일	21/SN+일/NNB
2007년	2007/SN+년/NNB
유엔	유엔/NNP
북한	북한/NNP
인권	인권/NNG
결의안	결의안/NNG
표결을	표결/NNG+을/JKO
앞두고	앞두/VV+고/EC
북한이	북한/NNP+이/JKS
우리	우리/NP
정부에	정부/NNG+에/JKB
보낸	보내/VV+ㄴ/ETM
메시지가	메시지/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
문건을	문건/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.368.4.2
송 전 장관이 "2007년 11월 20일 싱가포르 순방 수행 시 노무현 전 대통령에게 건네받았다"며 공개한 이 문건에 따르면 북측은 '(남측이) 결의안에 찬성할 경우 북남 관계에 위태로운 사태가 초래될 것'이라고 밝히고 있다.

송	송/NNP
전	전/MMD
장관이	장관/NNG+이/JKS
"2007년	"/SS+2007/SN+년/NNB
11월	11/SN+월/NNB
20일	20/SN+일/NNB
싱가포르	싱가포르/NNP
순방	순방/NNG
수행	수행/NNG
시	시/NNB
노무현	노무현/NNP
대통령에게	대통령/NNG+에게/JKB
건네받았다"며	건네받/VV+았/EP+다/EF+"/SS+며/EC
공개한	공개/NNG+하/XSV+ㄴ/ETM
이	이/MMD
문건에	문건/NNG+에/JKB
따르면	따르/VV+면/EC
북측은	북측/NNG+은/JX
'(남측이)	'/SS+(/SS+남측/NNG+이/JKS+)/SS
결의안에	결의안/NNG+에/JKB
찬성할	찬성/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
북남	북남/NNP
관계에	관계/NNG+에/JKB
위태로운	위태롭/VA+ㄴ/ETM
사태가	사태/NNG+가/JKS
초래될	초래/NNG+되/XSV+ㄹ/ETM
것'이라고	것/NNB+'/SS+이라고/JKQ
밝히고	밝히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.368.4.3
정치권 등에선 "문재인 더불어민주당 후보 주장대로 이미 내려진 기권 결정을 북측에 통보한 것에 대한 답신이라고 보기엔 뭔가 부자연스럽다"는 말이 나왔다.

정치권	정치/NNG+권/XSN
등에선	등/NNB+에서/JKB+ㄴ/JX
"문재인	"/SS+문재인/NNP
더불어민주당	더불어민주당/NNP
후보	후보/NNG
주장대로	주장/NNG+대로/JX
이미	이미/MAG
내려진	내려지/VV+ㄴ/ETM
기권	기권/NNG
결정을	결정/NNG+을/JKO
북측에	북측/NNG+에/JKB
통보한	통보/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
답신이라고	답신/NNG+이/VCP+라고/EC
보기엔	보/VV+기/ETN+에/JKB+ㄴ/JX
뭔가	뭐/NP+이/VCP+ㄴ가/EF
부자연스럽다"는	부자연스럽/VA+다/EF+"/SS+는/ETM
말이	말/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.368.4.4
북한에 유리한 기권 결정을 내리고 그 같은 사실을 북측에 알렸는데, 북한이 '찬성 말라'는 메시지를 보내온 것은 앞뒤가 맞지 않는다는 것이다.

북한에	북한/NNP+에/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
기권	기권/NNG
결정을	결정/NNG+을/JKO
내리고	내리/VV+고/EC
그	그/MMD
같은	같/VA+은/ETM
사실을	사실/NNG+을/JKO
북측에	북측/NNG+에/JKB
알렸는데,	알리/VV+었/EP+는데/EC+,/SP
북한이	북한/NNP+이/JKS
'찬성	'/SS+찬성/NNG
말라'는	말/VV+라/EF+'/SS+는/ETM
메시지를	메시지/NNG+를/JKO
보내온	보내오/VV+ㄴ/ETM
것은	것/NNB+은/JX
앞뒤가	앞뒤/NNG+가/JKS
맞지	맞/VV+지/EC
않는다는	않/VX+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.368.5.1
송 전 장관은 작년 10월 발간한 회고록 '빙하는 움직인다'에서 당시 청와대 비서실장이던 문재인 후보가 유엔 결의안 표결을 앞두고 '(북측 의견을) 일단 남북 경로로 확인해보자'고 했다고 썼고, 이에 대해 문 후보는 "북한에 의견을 물어본 게 아니라 (이미 내려진 기권 결정을) 통보한 것"이라며 송 전 장관의 주장을 부인해왔다.

송	송/NNP
전	전/MMD
장관은	장관/NNG+은/JX
작년	작년/NNG
10월	10/SN+월/NNB
발간한	발간/NNG+하/XSV+ㄴ/ETM
회고록	회고록/NNG
'빙하는	'/SS+빙하/NNG+는/JX
움직인다'에서	움직이/VV+ㄴ다/EF+'/SS+에서/JKB
당시	당시/NNG
청와대	청와대/NNP
비서실장이던	비서실장/NNG+이/VCP+던/ETM
문재인	문재인/NNP
후보가	후보/NNG+가/JKS
유엔	유엔/NNP
결의안	결의안/NNG
