# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.341
metadata : {}


# id : NWRW1800000041.341.1.1
무개차 등장에 “비바, 파파” 연호… 교황 8번 멈춰 축복

무개차	무개차/NNG
등장에	등장/NNG+에/JKB
“비바,	“/SS+비바/NNG+,/SP
파파”	파파/NNG+”/SS
연호…	연호/NNG+…/SE
교황	교황/NNG
8번	8/SN+번/NNB
멈춰	멈추/VV+어/EC
축복	축복/NNG


# id : NWRW1800000041.341.2.1
[시민과 함께]대전 성모승천대축일 미사 5만 참가자 흰 손수건 흔들며 환영… “존엄성 모독 죽음문화 배척” 강론

[시민과	[/SS+시민/NNG+과/JKB
함께]대전	함께/MAG+]/SS+대전/NNP
성모승천대축일	성모/NNG+승천/NNG+대/XPN+축일/NNG
미사	미사/NNG
5만	5/SN+만/NR
참가자	참가자/NNG
흰	희/VA+ㄴ/ETM
손수건	손수건/NNG
흔들며	흔들/VV+며/EC
환영…	환영/NNG+…/SE
“존엄성	“/SS+존엄/NNG+성/XSN
모독	모독/NNG
죽음문화	죽음/NNG+문화/NNG
배척”	배척/NNG+”/SS
강론	강론/NNG


# id : NWRW1800000041.341.3.1
15일 오전 10시 20분경 프란치스코 교황이 무개차를 타고 대전월드컵경기장 안으로 들어서자 5만 명이 넘는 참가자들은 “비바, 파파(교황 만세)!”를 연호하며 환영했다.

15일	15/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
20분경	20/SN+분/NNB+경/XSN
프란치스코	프란치스코/NNP
교황이	교황/NNG+이/JKS
무개차를	무개차/NNG+를/JKO
타고	타/VV+고/EC
대전월드컵경기장	대전월드컵경기장/NNP
안으로	안/NNG+으로/JKB
들어서자	들어서/VV+자/EC
5만	5/SN+만/NR
명이	명/NNB+이/JKS
넘는	넘/VV+는/ETM
참가자들은	참가자/NNG+들/XSN+은/JX
“비바,	“/SS+비바/NNG+,/SP
파파(교황	파파/NNG+(/SS+교황/NNG
만세)!”를	만세/IC+)/SS+!/SF+”/SS+를/JKO
연호하며	연호/NNG+하/XSV+며/EC
환영했다.	환영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.341.3.2
교황이 집전하는 성모승천대축일 미사를 위해 대전 충청 지역은 물론이고 멀리 제주에서까지 온 신도들이었다.

교황이	교황/NNG+이/JKS
집전하는	집전/NNG+하/XSV+는/ETM
성모승천대축일	성모/NNG+승천/NNG+대/XPN+축일/NNG
미사를	미사/NNG+를/JKO
위해	위하/VV+아/EC
대전	대전/NNP
충청	충청/NNP
지역은	지역/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
멀리	멀리/MAG
제주에서까지	제주/NNP+에서/JKB+까지/JX
온	오/VV+ㄴ/ETM
신도들이었다.	신도/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.341.4.1
교황은 무개차를 타고 경기장 트랙을 천천히 돌며 평신도들과 한층 가까이 다가서려는 모습을 보였고, 신도들은 ‘당신과 함께 예수님을 따릅니다!’라는 글귀와 교황의 얼굴이 그려진 흰 손수건을 일제히 흔들었다.

교황은	교황/NNG+은/JX
무개차를	무개차/NNG+를/JKO
타고	타/VV+고/EC
경기장	경기장/NNG
트랙을	트랙/NNG+을/JKO
천천히	천천히/MAG
돌며	돌/VV+며/EC
평신도들과	평신도/NNG+들/XSN+과/JKB
한층	한층/MAG
가까이	가까이/MAG
다가서려는	다가서/VV+려는/ETM
모습을	모습/NNG+을/JKO
보였고,	보이/VV+었/EP+고/EC+,/SP
신도들은	신도/NNG+들/XSN+은/JX
‘당신과	‘/SS+당신/NP+과/JKB
함께	함께/MAG
예수님을	예수/NNP+님/XSN+을/JKO
따릅니다!’라는	따르/VV+ㅂ니다/EF+!/SF+’/SS+이/VCP+라는/ETM
글귀와	글귀/NNG+와/JC
교황의	교황/NNG+의/JKG
얼굴이	얼굴/NNG+이/JKS
그려진	그리/VV+어/EC+지/VX+ㄴ/ETM
흰	희/VA+ㄴ/ETM
손수건을	손수건/NNG+을/JKO
일제히	일제히/MAG
흔들었다.	흔들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.341.4.2
한 신도가 자신의 아이를 교황에게 내어 보이자 교황은 무개차를 잠시 세운 뒤 손으로 머리를 쓰다듬고 입을 맞춰 주었다.

한	한/MMN
신도가	신도/NNG+가/JKS
자신의	자신/NNG+의/JKG
아이를	아이/NNG+를/JKO
교황에게	교황/NNG+에게/JKB
내어	내/VV+어/EC
보이자	보이/VV+자/EC
교황은	교황/NNG+은/JX
무개차를	무개차/NNG+를/JKO
잠시	잠시/MAG
세운	세우/VV+ㄴ/ETM
뒤	뒤/NNG
손으로	손/NNG+으로/JKB
머리를	머리/NNG+를/JKO
쓰다듬고	쓰다듬/VV+고/EC
입을	입/NNG+을/JKO
맞춰	맞추/VV+어/EC
주었다.	주/VX+었/EP+다/EF+./SF


