# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.79
metadata : {}


# id : NWRW1800000025.79.1.1
삼성생명, 국민銀에 꿀맛 2연승

삼성생명,	삼성생명/NNP+,/SP
국민銀에	국민銀/NNP+에/JKB
꿀맛	꿀맛/NNG
2연승	2/SN+연승/NNG


# id : NWRW1800000025.79.2.1
경기 종료 22초를 남기고 스코어는 72-75.

경기	경기/NNG
종료	종료/NNG
22초를	22/SN+초/NNB+를/JKO
남기고	남기/VV+고/EC
스코어는	스코어/NNG+는/JX
72-75.	72/SN+-/SO+75/SN+./SF


# id : NWRW1800000025.79.2.2
뒤지고 있던 삼성생명으로선 3점 슛밖에 없었다.

뒤지고	뒤지/VV+고/EC
있던	있/VX+던/ETM
삼성생명으로선	삼성생명/NNP+으로서/JKB+ㄴ/JX
3점	3/SN+점/NNB
슛밖에	슛/NNG+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.79.2.3
해결사로 올 시즌 3점 슛 1위인 박정은이 나섰다.

해결사로	해결사/NNG+로/JKB
올	올/NNG
시즌	시즌/NNG
3점	3/SN+점/NNB
슛	슛/NNG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
박정은이	박정은/NNP+이/JKS
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.79.2.4
박정은은 3점 슛 라인 부근에서 자신을 막으려 달려드는 국민은행 센터 김수연을 피해 몇 걸음 뒤로 물러나며 힘차게 공을 던졌고 포물선을 그린 공은 종료 버저와 함께 백보드를 맞고 림으로 빨려 들어갔다.

박정은은	박정은/NNP+은/JX
3점	3/SN+점/NNB
슛	슛/NNG
라인	라인/NNG
부근에서	부근/NNG+에서/JKB
자신을	자신/NNG+을/JKO
막으려	막/VV+으려/EC
달려드는	달려들/VV+는/ETM
국민은행	국민은행/NNP
센터	센터/NNG
김수연을	김수연/NNP+을/JKO
피해	피하/VV+아/EC
몇	몇/NR
걸음	걸음/NNG
뒤로	뒤/NNG+로/JKB
물러나며	물러나/VV+며/EC
힘차게	힘차/VA+게/EC
공을	공/NNG+을/JKO
던졌고	던지/VV+었/EP+고/EC
포물선을	포물선/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
공은	공/NNG+은/JX
종료	종료/NNG
버저와	버저/NNG+와/JKB
함께	함께/MAG
백보드를	백보드/NNG+를/JKO
맞고	맞/VV+고/EC
림으로	림/NNG+으로/JKB
빨려	빨리/VV+어/EC
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.79.3.1
22일 천안 KB인재개발원에서 열린 삼성생명과 국민은행의 여자프로농구 4강 플레이오프(5전 3선승제) 2차전.

22일	22/SN+일/NNB
천안	천안/NNP
KB인재개발원에서	KB인재개발원/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
삼성생명과	삼성생명/NNP+과/JC
국민은행의	국민은행/NNP+의/JKG
여자프로농구	여자/NNG+프로/NNG+농구/NNG
4강	4/SN+강/NNB
플레이오프(5전	플레이오프/NNG+(/SS+5/SN+전/NNB
3선승제)	3/SN+선승/NNG+제/XSN+)/SS
2차전.	2/SN+차전/NNB+./SF


# id : NWRW1800000025.79.3.2
삼성생명이 4쿼터 종료 버저와 함께 터진 박정은(19득점, 10리바운드)의 극적인 동점포로 경기를 연장으로 몰고 간 끝에 85-82로 이겼다.

삼성생명이	삼성생명/NNP+이/JKS
4쿼터	4/SN+쿼터/NNB
종료	종료/NNG
버저와	버저/NNG+와/JKB
함께	함께/MAG
터진	터지/VV+ㄴ/ETM
박정은(19득점,	박정은/NNP+(/SS+19/SN+득점/NNG+,/SP
10리바운드)의	10/SN+리바운드/NNG+)/SS+의/JKG
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
동점포로	동점포/NNG+로/JKB
경기를	경기/NNG+를/JKO
연장으로	연장/NNG+으로/JKB
몰고	몰/VV+고/EC
간	가/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
85-82로	85/SN+-/SO+82/SN+로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.79.3.3
2승을 먼저 챙긴 삼성생명은 남은 3경기에서 1승만 보태면 5시즌 연속 챔피언결정전에 진출한다.

2승을	2/SN+승/NNB+을/JKO
먼저	먼저/MAG
챙긴	챙기/VV+ㄴ/ETM
삼성생명은	삼성생명/NNP+은/JX
남은	남/VV+은/ETM
3경기에서	3/SN+경기/NNG+에서/JKB
1승만	1/SN+승/NNB+만/JX
보태면	보태/VV+면/EC
5시즌	5/SN+시즌/NNG
연속	연속/NNG
챔피언결정전에	챔피언/NNG+결정전/NNG+에/JKB
진출한다.	진출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.79.4.1
박정은의 동점포로 분위기를 반전시킨 삼성생명은 연장 시작하자마자 킴벌리 로벌슨(21득점), 이종애(21득점)가 연속 6점을 올리며 승리를 굳혔다.

박정은의	박정은/NNP+의/JKG
동점포로	동점포/NNG+로/JKB
분위기를	분위기/NNG+를/JKO
반전시킨	반전/NNG+시키/XSV+ㄴ/ETM
삼성생명은	삼성생명/NNP+은/JX
연장	연장/NNG
시작하자마자	시작/NNG+하/XSV+자마자/EC
킴벌리	킴벌리/NNP
로벌슨(21득점),	로벌슨/NNP+(/SS+21/SN+득점/NNG+)/SS+,/SP
이종애(21득점)가	이종애/NNP+(/SS+21/SN+득점/NNG+)/SS+가/JKS
연속	연속/NNG
6점을	6/SN+점/NNB+을/JKO
올리며	올리/VV+며/EC
승리를	승리/NNG+를/JKO
굳혔다.	굳히/VV+었/EP+다/EF+./SF


