# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.64
metadata : {}


# id : NWRW1800000053.64.1.1
“지방의회 사무처 직원 인사권 독립시켜야”

“지방의회	“/SS+지방/NNG+의회/NNG
사무처	사무처/NNG
직원	직원/NNG
인사권	인사/NNG+권/XSN
독립시켜야”	독립/NNG+시키/XSV+어야/EC+”/SS


# id : NWRW1800000053.64.2.1
[지방의회 26년… 권한-기능 업그레이드하자]<하> 양준욱 서울시의회 의장 의원 교육연수 연차별로 시행… 연구단체 활성화 위해 지원 확대

[지방의회	[/SS+지방/NNG+의회/NNG
26년…	26/SN+년/NNB+…/SE
권한-기능	권한/NNG+-/SO+기능/NNG
업그레이드하자]<하>	업그레이드/NNG+하/XSV+자/EC+]/SS+</SS+하/NNG+>/SS
양준욱	양준욱/NNP
서울시의회	서울시의회/NNP
의장	의장/NNG
의원	의원/NNG
교육연수	교육/NNG+연수/NNG
연차별로	연차/NNG+별/XSN+로/JKB
시행…	시행/NNG+…/SE
연구단체	연구/NNG+단체/NNG
활성화	활성/NNG+화/XSN
위해	위하/VV+아/EC
지원	지원/NNG
확대	확대/NNG


# id : NWRW1800000053.64.3.1
지방의회가 자신의 존재감을 가장 두드러지게 알린 것은 2011년 오세훈 당시 서울시장과 서울시의회의 ‘전면 무상급식’ 갈등이었다.

지방의회가	지방/NNG+의회/NNG+가/JKS
자신의	자신/NNG+의/JKG
존재감을	존재감/NNG+을/JKO
가장	가장/MAG
두드러지게	두드러지/VV+게/EC
알린	알리/VV+ㄴ/ETM
것은	것/NNB+은/JX
2011년	2011/SN+년/NNB
오세훈	오세훈/NNP
당시	당시/NNG
서울시장과	서울시장/NNG+과/JKB
서울시의회의	서울시의회/NNP+의/JKG
‘전면	‘/SS+전면/NNG
무상급식’	무상/NNG+급식/NNG+’/SS
갈등이었다.	갈등/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.64.3.2
오 전 시장은 시의회의 전면 무상급식안과 시의 순차적 단계적 무상급식안을 주민투표에 부쳐 결정하자고 제안했다.

오	오/NNP
전	전/MMD
시장은	시장/NNG+은/JX
시의회의	시/NNG+의회/NNG+의/JKG
전면	전면/NNG
무상급식안과	무상/NNG+급식/NNG+안/NNG+과/JC
시의	시/NNG+의/JKG
순차적	순차/NNG+적/XSN
단계적	단계/NNG+적/XSN
무상급식안을	무상/NNG+급식/NNG+안/NNG+을/JKO
주민투표에	주민/NNG+투표/NNG+에/JKB
부쳐	부치/VV+어/EC
결정하자고	결정/NNG+하/XSV+자고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.64.3.3
그해 8월 실시한 주민투표 최종 투표율은 25.7%.

그해	그해/NNG
8월	8/SN+월/NNB
실시한	실시/NNG+하/XSV+ㄴ/ETM
주민투표	주민/NNG+투표/NNG
최종	최종/NNG
투표율은	투표/NNG+율/XSN+은/JX
25.7%.	25/SN+./SP+7/SN+%/SW+./SF


# id : NWRW1800000053.64.3.4
개표 기준(전체 투표의 33.3%)을 채우지 못해 투표함도 열지 못했다.

개표	개표/NNG
기준(전체	기준/NNG+(/SS+전체/NNG
투표의	투표/NNG+의/JKG
33.3%)을	33/SN+./SP+3/SN+%/SW+)/SS+을/JKO
채우지	채우/VV+지/EC
못해	못하/VX+아/EC
투표함도	투표함/NNG+도/JX
열지	열/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.64.3.5
오 전 시장은 이틀 뒤 시장직을 내놨다.

오	오/NNP
전	전/MMD
시장은	시장/NNG+은/JX
이틀	이틀/NNG
뒤	뒤/NNG
시장직을	시장직/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.64.4.1
당시 서울시의회 부의장이던 양준욱 서울시의회 의장(60)은 10일 “무상급식뿐만 아니라 누리과정 문제에서도 시의회의 역할과 영향력은 많이 커졌다”고 평가했다.

당시	당시/NNG
서울시의회	서울시의회/NNP
부의장이던	부의장/NNG+이/VCP+던/ETM
양준욱	양준욱/NNP
의장(60)은	의장/NNG+(/SS+60/SN+)/SS+은/JX
10일	10/SN+일/NNB
“무상급식뿐만	“/SS+무상/NNG+급식/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
누리과정	누리/NNG+과정/NNG
문제에서도	문제/NNG+에서/JKB+도/JX
시의회의	시/NNG+의회/NNG+의/JKG
역할과	역할/NNG+과/JC
영향력은	영향력/NNG+은/JX
많이	많이/MAG
커졌다”고	커지/VV+었/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.64.4.2
다음은 일문일답.

다음은	다음/NNG+은/JX
일문일답.	일문일답/NNG+./SF


