# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.95
metadata : {}


# id : NWRW1800000026.95.1.1
[6·25전쟁 60주년][나와 6·25] ⑧신군식씨 '난 인민군 소위였다';인민군에서 국군장교로… 난 스스로 조국을 선택했다

[6·25전쟁	[/SS+6/SN+·/SP+25/SN+전쟁/NNG
60주년][나와	60/SN+주년/NNB+]/SS+[/SS+나/NP+와/JC
6·25]	6/SN+·/SP+25/SN+]/SS
⑧신군식씨	⑧/SW+신군식/NNP+씨/NNB
'난	'/SS+나/NP+ㄴ/JX
인민군	인민군/NNG
소위였다';인민군에서	소위/NNG+이/VCP+었/EP+다/EF+'/SS+;/SP+인민군/NNG+에서/JKB
국군장교로…	국군/NNG+장교/NNG+로/JKB+…/SE
난	나/NP+ㄴ/JX
스스로	스스로/MAG
조국을	조국/NNG+을/JKO
선택했다	선택/NNG+하/XSV+았/EP+다/EF


# id : NWRW1800000026.95.2.1
평북 의주에 살던 우리 가족은 1947년 느닷없이 추방당했다.

평북	평북/NNP
의주에	의주/NNP+에/JKB
살던	살/VV+던/ETM
우리	우리/NP
가족은	가족/NNG+은/JX
1947년	1947/SN+년/NNB
느닷없이	느닷없이/MAG
추방당했다.	추방/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.95.2.2
공산당은 우리 집 땅이 많다며 "유산계급은 재산을 다 내놓고 떠나라"고 했다.

공산당은	공산당/NNP+은/JX
우리	우리/NP
집	집/NNG
땅이	땅/NNG+이/JKS
많다며	많/VA+다며/EC
"유산계급은	"/SS+유산/NNG+계급/NNG+은/JX
재산을	재산/NNG+을/JKO
다	다/MAG
내놓고	내놓/VV+고/EC
떠나라"고	떠나/VV+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.95.2.3
전 재산을 빼앗긴 우리 가족은 황해도 해주로 쫓겨났다.

전	전/MMN
재산을	재산/NNG+을/JKO
빼앗긴	빼앗기/VV+ㄴ/ETM
우리	우리/NP
가족은	가족/NNG+은/JX
황해도	황해도/NNP
해주로	해주/NNP+로/JKB
쫓겨났다.	쫓겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.95.2.4
감수성이 예민할 때부터 나는 공산당에 대한 반감이 높은 편이었다.

감수성이	감수/NNG+성/XSN+이/JKS
예민할	예민하/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
나는	나/NP+는/JX
공산당에	공산당/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
반감이	반감/NNG+이/JKS
