# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.378
metadata : {}


# id : NWRW1800000026.378.1.1
안선주 日여자골프 상금왕

안선주	안선주/NNP
日여자골프	日/SH+여자/NNG+골프/NNG
상금왕	상금왕/NNG


# id : NWRW1800000026.378.2.1
안선주(23)가 한국인 첫 일본여자프로골프투어 상금왕에 올랐다.

안선주(23)가	안선주/NNP+(/SS+23/SN+)/SS+가/JKS
한국인	한국인/NNG
첫	첫/MMN
일본여자프로골프투어	일본/NNP+여자/NNG+프로/NNG+골프/NNG+투어/NNG
상금왕에	상금왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.378.2.2
21일 일본여자프로골프투어 엘레에어 레이디스 오픈에서 안선주는 공동 13위(5언더파)에 머물렀지만, 138만엔을 받아 시즌 상금 1억3282만엔으로 최종전 결과에 관계없이 상금왕을 확정했다.

21일	21/SN+일/NNB
일본여자프로골프투어	일본/NNP+여자/NNG+프로/NNG+골프/NNG+투어/NNG
엘레에어	엘레에어/NNP
레이디스	레이디스/NNG
오픈에서	오픈/NNG+에서/JKB
안선주는	안선주/NNP+는/JX
공동	공동/NNG
13위(5언더파)에	13/SN+위/NNB+(/SS+5/SN+언더/NNG+파/NNG+)/SS+에/JKB
머물렀지만,	머무르/VV+었/EP+지만/EC+,/SP
138만엔을	138/SN+만/NR+엔/NNB+을/JKO
받아	받/VV+아/EC
시즌	시즌/NNG
상금	상금/NNG
1억3282만엔으로	1/SN+억/NR+3282/SN+만/NR+엔/NNB+으로/JKB
최종전	최종전/NNG
결과에	결과/NNG+에/JKB
관계없이	관계없이/MAG
상금왕을	상금왕/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.378.2.3
외국인 선수가 상금왕에 오른 것은 1991년 투아이위(대만)에 이어 두 번째다.

외국인	외국인/NNG
선수가	선수/NNG+가/JKS
상금왕에	상금왕/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
것은	것/NNB+은/JX
1991년	1991/SN+년/NNB
투아이위(대만)에	투아이위/NNP+(/SS+대만/NNP+)/SS+에/JKB
이어	잇/VV+어/EC
두	두/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.378.2.4
올해 일본 투어에 데뷔한 안선주는 4승을 올리며 신인왕과 상금왕을 동시에 차지했다.

올해	올해/NNG
일본	일본/NNP
투어에	투어/NNG+에/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
안선주는	안선주/NNP+는/JX
4승을	4/SN+승/NNB+을/JKO
올리며	올리/VV+며/EC
신인왕과	신인왕/NNG+과/JC
상금왕을	상금왕/NNG+을/JKO
동시에	동시/NNG+에/JKB
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.378.2.5
이 대회 우승은 3라운드에서 6타를 줄이며 합계 13언더파 203타를 기록한 김나리(25)가 차지했다.

이	이/MMD
대회	대회/NNG
우승은	우승/NNG+은/JX
3라운드에서	3/SN+라운드/NNG+에서/JKB
6타를	6/SN+타/NNG+를/JKO
줄이며	줄이/VV+며/EC
합계	합계/NNG
13언더파	13/SN+언더/NNG+파/NNG
203타를	203/SN+타/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
김나리(25)가	김나리/NNP+(/SS+25/SN+)/SS+가/JKS
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.378.2.6
올 시즌 한국 선수가 거둔 14승째였다.

올	올/NNG
시즌	시즌/NNG
한국	한국/NNP
선수가	선수/NNG+가/JKS
거둔	거두/VV+ㄴ/ETM
14승째였다.	14/SN+승/NNB+째/XSN+이/VCP+었/EP+다/EF+./SF


