# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.127
metadata : {}


# id : NWRW1800000026.127.1.1
[천안함 함미 인양] 외신 반응;"천안함 침몰, 美 9·11 테러와 비교될 만한 비극" "北소행 드러나도 한국 효과적 대응수단 거의 없어"

[천안함	[/SS+천안함/NNP
함미	함미/NNG
인양]	인양/NNG+]/SS
외신	외신/NNG
반응;"천안함	반응/NNG+;/SW+"/SS+천안함/NNP
침몰,	침몰/NNG+,/SP
美	美/SH
9·11	9/SN+·/SP+11/SN
테러와	테러/NNG+와/JKB
비교될	비교/NNG+되/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
비극"	비극/NNG+"/SS
"北소행	"/SS+北/SH+소행/NNG
드러나도	드러나/VV+아도/EC
한국	한국/NNP
효과적	효과/NNG+적/XSN
대응수단	대응/NNG+수단/NNG
거의	거의/MAG
없어"	없/VA+어/EF+"/SS


# id : NWRW1800000026.127.2.1
미국 워싱턴포스트와 영국 로이터통신 등 외신들은 천안함 함미의 인양 소식을 신속히 보도하면서 침몰의 원인이 북한의 공격으로 드러날 경우 한반도 정세에 미칠 파장을 면밀히 분석했다.

미국	미국/NNP
워싱턴포스트와	워싱턴포스트/NNP+와/JC
영국	영국/NNP
로이터통신	로이터통신/NNP
등	등/NNB
외신들은	외신/NNG+들/XSN+은/JX
천안함	천안함/NNP
함미의	함미/NNG+의/JKG
인양	인양/NNG
소식을	소식/NNG+을/JKO
신속히	신속히/MAG
보도하면서	보도/NNG+하/XSV+면서/EC
침몰의	침몰/NNG+의/JKG
원인이	원인/NNG+이/JKS
북한의	북한/NNP+의/JKG
공격으로	공격/NNG+으로/JKB
드러날	드러나/VV+ㄹ/ETM
경우	경우/NNG
한반도	한반도/NNP
정세에	정세/NNG+에/JKB
미칠	미치/VV+ㄹ/ETM
파장을	파장/NNG+을/JKO
면밀히	면밀히/MAG
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.127.3.1
워싱턴포스트는 15일 인터넷판에서 "천안함이 어뢰에 맞아 침몰했을 수 있다는 (김태영) 한국 국방장관의 최근 발언 이후 북한에 대해 의혹이 쏠리고 있다"며 "북한이 침몰의 배후로 드러나더라도 한국 정부가 택할 수 있는 효과적 대응수단은 거의 없다"고 분석했다.

워싱턴포스트는	워싱턴포스트/NNP+는/JX
15일	15/SN+일/NNB
인터넷판에서	인터넷판/NNG+에서/JKB
"천안함이	"/SS+천안함/NNP+이/JKS
어뢰에	어뢰/NNG+에/JKB
맞아	맞/VV+아/EC
침몰했을	침몰/NNG+하/XSV+았/EP+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
(김태영)	(/SS+김태영/NNP+)/SS
한국	한국/NNP
국방장관의	국방/NNG+장관/NNG+의/JKG
최근	최근/MAG
발언	발언/NNG
이후	이후/NNG
북한에	북한/NNP+에/JKB
